resume_id,matched_code,start_date,end_date,university_level,split,start_year,end_year
0,1324.8.3,Q1 2016,Q2 2019,Master,train,2016,2019
0,2263.3,Q1 2017,Q2 2019,Master,train,2017,2019
17,5230.1,Q1 1999,Q1 2019,Bachelor,train,1999,2019
17,5312.1,Q2 2019,Q3 2019,Bachelor,train,2019,2019
68,3343.1,Q1 2018,Q2 2019,Secondary school,train,2018,2019
72,3113.1,Q3 2018,Q1 2019,Master,train,2018,2019
80,2431.4,Q1 1999,Q1 2019,Secondary school,train,1999,2019
83,9112.2,Q1 2018,Q1 2019,Secondary school,train,2018,2019
86,2432.9,Q1 2018,Q1 2019,Master,train,2018,2019
139,3259.2,Q4 2018,Q1 2019,Secondary school,train,2018,2019
159,2144.1.2,Q1 2018,Q1 2019,Bachelor,train,2018,2019
219,4312.7,Q1 2015,Q1 2019,Bachelor,train,2015,2019
222,3332.3,Q1 2010,Q1 2019,Master,train,2010,2019
222,3343.1,Q2 2017,Q1 2019,Master,train,2017,2019
222,3412.4.4,Q3 2018,Q1 2019,Master,train,2018,2019
256,2651.1,Q1 2010,Q3 2019,Secondary school,train,2010,2019
257,2635.3.16,Q4 2017,Q1 2019,No tertiary qualification,train,2017,2019
284,5223.6,Q1 2016,Q2 2019,Secondary school,train,2016,2019
284,5153.1,Q1 2018,Q1 2019,Secondary school,train,2018,2019
287,2635.3.15,Q4 2018,Q1 2019,Bachelor,train,2018,2019
294,9112.2,Q1 2002,Q1 2019,Secondary school,train,2002,2019
302,2341.1,Q1 2012,Q2 2019,Bachelor,train,2012,2019
302,2342.1,Q1 2012,Q2 2019,Bachelor,train,2012,2019
302,2352.1.4,Q1 2012,Q2 2019,Bachelor,train,2012,2019
302,5312.1,Q1 2012,Q2 2019,Bachelor,train,2012,2019
306,3343.1,Q4 2018,Q1 2019,Secondary school,train,2018,2019
312,5223.6,Q4 2018,Q1 2019,Master,train,2018,2019
313,5222.1.1,Q1 2018,Q1 2019,Bachelor,train,2018,2019
313,5223.6,Q1 2018,Q1 2019,Bachelor,train,2018,2019
319,9321.1,Q1 2015,Q1 2019,Bachelor,train,2015,2019
319,3313.1,Q1 2018,Q1 2019,Bachelor,train,2018,2019
319,2431.10.4,Q4 2019,Q1 2020,Bachelor,train,2019,2020
323,2166.9,Q1 2019,Q2 2019,Bachelor,train,2019,2019
423,5165.1.1,Q3 2019,Q4 2019,No tertiary qualification,train,2019,2019
427,8172.5.3,Q1 2018,Q1 2019,No tertiary qualification,train,2018,2019
435,2221.2,Q1 2018,Q1 2019,Bachelor,train,2018,2019
449,3422.4.6,Q2 2015,Q1 2019,Bachelor,train,2015,2019
449,3423.2,Q3 2015,Q1 2019,Bachelor,train,2015,2019
449,3423.2.1,Q4 2018,Q1 2019,Bachelor,train,2018,2019
495,3412.1,Q1 2018,Q1 2019,No tertiary qualification,train,2018,2019
501,3323.2,Q1 2018,Q1 2019,Secondary school,train,2018,2019
513,4222.1,Q1 2018,Q1 2019,Master,train,2018,2019
515,5132.1,Q1 2016,Q1 2019,Bachelor,train,2016,2019
526,0110.7,Q1 2017,Q1 2019,Secondary school,train,2017,2019
536,3432.1.1,Q1 2016,Q3 2019,Bachelor,train,2016,2019
561,5223.6,Q1 2018,Q1 2019,Secondary school,train,2018,2019
564,9329.1,Q4 2018,Q1 2019,No tertiary qualification,train,2018,2019
573,2310.1.19,Q4 2010,Q1 2019,Master,train,2010,2019
573,4211.2,Q1 2017,Q1 2019,Master,train,2017,2019
579,5311.1,Q3 2016,Q2 2019,Bachelor,train,2016,2019
579,5312.1,Q3 2018,Q2 2019,Bachelor,train,2018,2019
589,2431.10.4,Q4 2018,Q2 2019,Bachelor,train,2018,2019
643,5230.1,Q1 2016,Q3 2019,Bachelor,train,2016,2019
663,9333.8,Q1 2014,Q1 2019,No tertiary qualification,train,2014,2019
665,9333.2,Q1 2014,Q3 2019,No tertiary qualification,train,2014,2019
698,3343.1,Q4 2018,Q1 2019,No tertiary qualification,train,2018,2019
701,9333.8.1,Q1 2018,Q1 2019,Secondary school,train,2018,2019
721,2330.1.12,Q1 2018,Q1 2019,Bachelor,train,2018,2019
728,9112.2,Q1 2019,Q2 2019,Bachelor,train,2019,2019
737,5321.1,Q1 2009,Q3 2019,Bachelor,train,2009,2019
749,9111.1,Q1 2017,Q1 2019,Secondary school,train,2017,2019
774,2166.14,Q1 2012,Q1 2019,Bachelor,train,2012,2019
774,3423.2,Q1 2013,Q1 2019,Bachelor,train,2013,2019
774,3423.2.3,Q1 2017,Q1 2019,Bachelor,train,2017,2019
774,3422.4.6,Q1 2018,Q1 2019,Bachelor,train,2018,2019
774,2341.1,Q4 2018,Q1 2019,Bachelor,train,2018,2019
798,3252.1,Q1 2016,Q1 2019,Bachelor,train,2016,2019
801,5223.6,Q4 2018,Q1 2019,No tertiary qualification,train,2018,2019
801,5223.6,Q1 2019,Q2 2019,No tertiary qualification,train,2019,2019
817,9112.3,Q2 2019,Q3 2019,Bachelor,train,2019,2019
817,9412.1,Q2 2019,Q3 2019,Bachelor,train,2019,2019
817,5311.1.2,Q4 2019,Q1 2020,Bachelor,train,2019,2020
823,2619.7,Q1 2015,Q1 2019,Master,train,2015,2019
823,3332.2,Q1 2018,Q1 2019,Master,train,2018,2019
827,2423.6,Q1 2019,Q3 2019,No tertiary qualification,train,2019,2019
827,2423.6,Q2 2019,Q3 2019,No tertiary qualification,train,2019,2019
