masco_version,masco_6d_code,masco_occupation_title_en,masco_4d_code,masco_unit_group_title_en,masco_2013_code_or_status,source_pdf_page,source_printed_page,title_extraction_method
2020,0111-01,Medical Officer,0111,Professional Duty Officers (Ma),2211-05,442,428,systematic_index_text_layer
2020,0111-02,Dental Officer,0111,Professional Duty Officers (Ma),0111-02,442,428,systematic_index_text_layer
2020,0111-03,Pharmacy Officer,0111,Professional Duty Officers (Ma),0111-03,442,428,systematic_index_text_layer
2020,0121-01,Royal Malay Regiment Officer,0121,General Duty Officers (Ma),0121-01,442,428,systematic_index_text_layer
2020,0121-02,Royal Ranger Regiment Officer,0121,General Duty Officers (Ma),0121-02,442,428,systematic_index_text_layer
2020,0121-03,Royal Armoured Corps Officer,0121,General Duty Officers (Ma),0121-03,442,428,systematic_index_text_layer
2020,0121-04,Royal Signals Regiment Officer,0121,General Duty Officers (Ma),0121-04,442,428,systematic_index_text_layer
2020,0121-05,Royal Engineer Regiment Officer,0121,General Duty Officers (Ma),0121-05,442,428,systematic_index_text_layer
2020,0121-06,Royal Artillery Regiment Officer,0121,General Duty Officers (Ma),0121-06,442,428,systematic_index_text_layer
2020,0121-07,General Services Corps Officer,0121,General Duty Officers (Ma),0121-07,442,428,systematic_index_text_layer
2020,0121-08,Royal Medical Corps Officer,0121,General Duty Officers (Ma),0121-08,442,428,systematic_index_text_layer
2020,0121-09,Royal Military Police Corps Officer,0121,General Duty Officers (Ma),0121-09,442,428,systematic_index_text_layer
2020,0121-10,Royal Intelligence Corps Officer,0121,General Duty Officers (Ma),0121-10,442,428,systematic_index_text_layer
2020,0121-11,Royal Logistics Corps Officer,0121,General Duty Officers (Ma),0121-11,442,428,systematic_index_text_layer
2020,0121-12,Royal Ordnance Corps Officer,0121,General Duty Officers (Ma),0121-12,442,428,systematic_index_text_layer
2020,0121-13,Royal Electrical and Mechanical Engineer Corps Officer,0121,General Duty Officers (Ma),0121-13,442,428,systematic_index_text_layer
2020,0121-14,Armed Forces Religious Corps Officer,0121,General Duty Officers (Ma),0121-14,442,428,systematic_index_text_layer
2020,0121-15,Territorial Army Regiment Officer,0121,General Duty Officers (Ma),0121-15,442,428,systematic_index_text_layer
2020,0121-16,Border Regiment Officer,0121,General Duty Officers (Ma),0121-16,442,428,systematic_index_text_layer
2020,0131-01,Member of the Infantry,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-02,Member of the Infantry Assistance Weapon,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-03,Member of Transportation Management,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-04,Krew Mekanize,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-05,Military Clerk,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-06,Member of Infantry,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-07,Physical Trainer,0131,Personnel Of Other Ranks (Ma),0321-17,443,429,systematic_index_text_layer
2020,0131-08,Serang Pioneer,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-09,Team Crew,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-10,Member of the Brass Band,0131,Personnel Of Other Ranks (Ma),0221-14,443,429,systematic_index_text_layer
2020,0131-11,Member of the Special Movement,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-12,Armor Crew,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-13,Communication and Information Technician,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-14,Communication and Information System,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-15,Spokesman Kombat Semboyan,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-16,Scratches,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-17,Surveyor,0131,Personnel Of Other Ranks (Ma),2165-08,443,429,systematic_index_text_layer
2020,0131-18,Bricklayers,0131,Personnel Of Other Ranks (Ma),7112-01,443,429,systematic_index_text_layer
2020,0131-19,Pipe Worker,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-20,Metal Worker,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-21,Wood Worker and Joiner,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-22,Painters and Decorators,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-23,Plant Driver,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-24,Fitter Combustion and Pam,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-25,Plant Supervisor,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-26,Electrician,0131,Personnel Of Other Ranks (Ma),7411-04,443,429,systematic_index_text_layer
2020,0131-27,Destruction Technician,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-28,Gunners,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-29,Ballistic Data Processing,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-30,Artillery Surveyor,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-31,Artillery Detectors,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-32,Members of the Shot Control,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-33,Member of the Air Defense Artillery,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-34,Radar Operator,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-35,Military Accounting Clerk,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-36,Military Accounting System,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-37,Educational Assistant,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-38,Combat Reporters,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-39,Paramedics,0131,Personnel Of Other Ranks (Ma),2241-01,443,429,systematic_index_text_layer
2020,0131-40,Assistant Medical Officer,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-41,Trained Nurse,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-42,Assistant Environmental Health Officer,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-43,Medical Laboratory Technologist,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-44,Radiographer,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-45,Assistant Pharmaceutical Officer,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-46,Dental Technologist,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-47,Dental Nurse,0131,Personnel Of Other Ranks (Ma),3251-04,443,429,systematic_index_text_layer
2020,0131-48,Physiotherapist Medical,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-49,"Medical Therapist, Occupational",0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-50,Assistant Veterinary Officer Grade G29,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-51,Military Police Member,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-52,Security and Response Members,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-53,The Nerves of the Nervous War,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-54,Imagery Intelligence,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-55,Strategic Intelligence,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-56,Operation Human Intelligence,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-57,Special Intelligence Operations,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-58,Army Chef,0131,Personnel Of Other Ranks (Ma),New,443,429,systematic_index_text_layer
2020,0131-59,Logistic Technician,0131,Personnel Of Other Ranks (Ma),0321-18,444,430,systematic_index_text_layer
2020,0131-60,Bullet Technician,0131,Personnel Of Other Ranks (Ma),New,444,430,systematic_index_text_layer
2020,0131-61,Printing Technician,0131,Personnel Of Other Ranks (Ma),New,444,430,systematic_index_text_layer
2020,0131-62,Automotive Engineering Technician,0131,Personnel Of Other Ranks (Ma),New,444,430,systematic_index_text_layer
2020,0131-63,Electronic Engineering Technician,0131,Personnel Of Other Ranks (Ma),3114-02,444,430,systematic_index_text_layer
2020,0131-64,Weapons Engineering Technician,0131,Personnel Of Other Ranks (Ma),New,444,430,systematic_index_text_layer
2020,0131-65,Manufacturing Engineering Technician,0131,Personnel Of Other Ranks (Ma),New,444,430,systematic_index_text_layer
2020,0131-66,Return Engineering Engineer,0131,Personnel Of Other Ranks (Ma),New,444,430,systematic_index_text_layer
2020,0131-67,Avionic Engineering Technician,0131,Personnel Of Other Ranks (Ma),New,444,430,systematic_index_text_layer
2020,0131-68,Aeromechanical Engineering Technician,0131,Personnel Of Other Ranks (Ma),New,444,430,systematic_index_text_layer
2020,0131-69,Aircraft Engineering Engineer,0131,Personnel Of Other Ranks (Ma),New,444,430,systematic_index_text_layer
2020,0131-70,Military Islamic Affairs Adviser,0131,Personnel Of Other Ranks (Ma),New,444,430,systematic_index_text_layer
2020,0211-01,Executive Officer,0211,General Duty Officers (Rmn),0211-01,444,430,systematic_index_text_layer
2020,0211-02,Technical Officer,0211,General Duty Officers (Rmn),0211-02,444,430,systematic_index_text_layer
2020,0211-03,Supply Officer,0211,General Duty Officers (Rmn),0211-03,444,430,systematic_index_text_layer
2020,0221-01,Member of Surface Warfare,0221,Personnel Of Other Ranks (Rmn),0221-01,444,430,systematic_index_text_layer
2020,0221-02,Member of Submarine Warfare (Weapon),0221,Personnel Of Other Ranks (Rmn),New,444,430,systematic_index_text_layer
2020,0221-03,Member of Submarine Warfare (Control),0221,Personnel Of Other Ranks (Rmn),0221-03,444,430,systematic_index_text_layer
2020,0221-04,Member of Warfare Tactical Plotters,0221,Personnel Of Other Ranks (Rmn),0221-04,444,430,systematic_index_text_layer
