source_id,source_name,publisher,version,local_file,bytes,sha256,source_url,licence,licence_url,usage_note
ESCO-1.2.1,European Skills Competences Qualifications and Occupations,European Commission,1.2.1,ESCO/occupationSkillRelations_en.csv,27986628,e1a46511f0ef4d505f106f1d41f528ef76d289f93e59d4d0cbaac38986102c44,https://esco.ec.europa.eu/en/use-esco/download,European Commission reuse policy / Decision 2011/833/EU,https://esco.ec.europa.eu/en/use-esco/download/privacy-statement,Global skill enrichment only
ESCO-1.2.1,European Skills Competences Qualifications and Occupations,European Commission,1.2.1,ESCO/occupations_en.csv,3047703,8034348d84b6d1dd24a5bcf9609186ecbba0a85457ee2eacd65bddec33a51b4a,https://esco.ec.europa.eu/en/use-esco/download,European Commission reuse policy / Decision 2011/833/EU,https://esco.ec.europa.eu/en/use-esco/download/privacy-statement,Global occupation matching only
MASCO-2020,Malaysia Standard Classification of Occupations 2020,Department of Statistics Malaysia / Ministry of Human Resources,2020,MASCO/MASCO2020_role_crosswalk.csv,328791,76199366317a4a1957415d6bc9c698d9752dd2eddbf4a9e137dc09e7dcb88433,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf,No explicit open-data licence confirmed in supplied files,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf,Rights review required before external bulk release
NOC-2021-V1,National Occupational Classification,Statistics Canada and Employment and Social Development Canada,2021 Version 1.0,NOC/noc_2021_v1_elements.csv,5129133,50c3e31a90b0150cc5b8efd29ec020c2fd9ea5fc5b0a171ed65d3cd9a0abf32f,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,Statistics Canada Open Licence,https://www.statcan.gc.ca/en/terms-conditions/open-licence,Global duty and requirement enrichment only
ONET-31.0,O*NET Database,"U.S. Department of Labor, Employment and Training Administration",31.0,ONET/essential_skills.csv,2328135,68c4d31d8c55077238395dca40cc4e6d32e6a608b5474bb8264b1f98ae415bd7,https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,https://www.onetcenter.org/license_db.html,Global skill enrichment only
ONET-31.0,O*NET Database,"U.S. Department of Labor, Employment and Training Administration",31.0,ONET/occupation_data.csv,268030,a09eae1d6609686e44e05b7290993a1c8b523d8ca224bc0eedc194c855c3ee02,https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,https://www.onetcenter.org/license_db.html,Global occupation matching only
ONET-31.0,O*NET Database,"U.S. Department of Labor, Employment and Training Administration",31.0,ONET/task_statements.csv,3461375,4568e14d8db6f05551ad37e056e909b13ebae4a26bcb5ff915bb5f281d582c57,https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,https://www.onetcenter.org/license_db.html,Global task enrichment only
ONET-31.0,O*NET Database,"U.S. Department of Labor, Employment and Training Administration",31.0,ONET/transferable_skills.csv,6081245,f17d0419e818a3bf2f55076510c76c4aef01cc8f5aee2670d2f44f6f44ac60f7,https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,https://www.onetcenter.org/license_db.html,Global skill enrichment only
GITHUB-30SECONDS-INTERVIEWS,30 Seconds of Interviews,Stefan Fejes and contributors,commit da235b6185721161b7ebc413075b76dc70339ccf,OPEN_QA/30_seconds_LICENSE.txt,1070,682a5bdf25425347f6baa326b990771235cd30de66a8a179639e6586d3334319,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,MIT License,https://github.com/Chalarangelo/30-seconds-of-interviews/blob/da235b6185721161b7ebc413075b76dc70339ccf/LICENSE,Licence notice
GITHUB-30SECONDS-INTERVIEWS,30 Seconds of Interviews,Stefan Fejes and contributors,commit da235b6185721161b7ebc413075b76dc70339ccf,OPEN_QA/30_seconds_questions.json,159764,efb421437ce684a9fcd42345693013df0d721afe7d20c7cf4a8425a280e356a7,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,MIT License,https://github.com/Chalarangelo/30-seconds-of-interviews/blob/da235b6185721161b7ebc413075b76dc70339ccf/LICENSE,Open technical interview Q&A
