role_id,task_rank,onet_task_id,task_type,task,source
R01,1,21662,Core,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,O*NET 31.0 Task Statements
R01,2,21669,Core,"Develop or direct software system testing or validation procedures, programming, or documentation.",O*NET 31.0 Task Statements
R01,3,21664,Core,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",O*NET 31.0 Task Statements
R01,4,21670,Core,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",O*NET 31.0 Task Statements
R01,5,21673,Core,"Prepare reports or correspondence concerning project specifications, activities, or status.",O*NET 31.0 Task Statements
R01,6,21661,Core,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",O*NET 31.0 Task Statements
R01,7,21676,Core,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",O*NET 31.0 Task Statements
R01,8,21667,Core,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",O*NET 31.0 Task Statements
R02,1,16150,Core,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",O*NET 31.0 Task Statements
R02,2,16139,Core,"Maintain or update business intelligence tools, databases, dashboards, systems, or methods.",O*NET 31.0 Task Statements
R02,3,16140,Core,Manage timely flow of business intelligence information to users.,O*NET 31.0 Task Statements
R02,4,16134,Core,"Provide technical support for existing reports, dashboards, or other tools.",O*NET 31.0 Task Statements
R02,5,16141,Core,Identify and analyze industry or geographic trends with business strategy implications.,O*NET 31.0 Task Statements
R02,6,16142,Core,"Document specifications for business intelligence or information technology reports, dashboards, or other outputs.",O*NET 31.0 Task Statements
R02,7,16144,Core,"Create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs.",O*NET 31.0 Task Statements
R02,8,16146,Core,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",O*NET 31.0 Task Statements
R03,1,18861,Core,"Interpret and explain human resources policies, procedures, laws, standards, or regulations.",O*NET 31.0 Task Statements
R03,2,18859,Core,Hire employees and process hiring-related paperwork.,O*NET 31.0 Task Statements
R03,3,18864,Core,"Maintain current knowledge of Equal Employment Opportunity (EEO) and affirmative action guidelines and laws, such as the Americans with Disabilities Act (ADA).",O*NET 31.0 Task Statements
R03,4,18866,Core,"Prepare or maintain employment records related to events, such as hiring, termination, leaves, transfers, or promotions, using human resources management system software.",O*NET 31.0 Task Statements
R03,5,18852,Core,"Address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",O*NET 31.0 Task Statements
R03,6,18868,Core,Review employment applications and job orders to match applicants with job requirements.,O*NET 31.0 Task Statements
R03,7,18860,Core,"Inform job applicants of details such as duties and responsibilities, compensation, benefits, schedules, working conditions, or promotion opportunities.",O*NET 31.0 Task Statements
R03,8,18871,Core,"Select qualified job applicants or refer them to managers, making hiring recommendations when appropriate.",O*NET 31.0 Task Statements
R04,1,20328,Core,Manage tracking and reporting of search-related activities and provide analyses to marketing executives.,O*NET 31.0 Task Statements
R04,2,20329,Core,"Optimize digital assets, such as text, graphics, or multimedia assets, for search engine optimization (SEO) or for display and usability on internet-connected devices.",O*NET 31.0 Task Statements
R04,3,16192,Core,"Collect and analyze Web metrics, such as visits, time on site, page views per visit, transaction volume and revenue, traffic mix, click-through rates, conversion rates, cost per acquisition, or cost per click.",O*NET 31.0 Task Statements
R04,4,16182,Core,Participate in the development or implementation of online marketing strategy.,O*NET 31.0 Task Statements
R04,5,16190,Core,Optimize Web site exposure by analyzing search engine patterns to direct online placement of keywords or other content.,O*NET 31.0 Task Statements
