skill_id,alias,alias_source
DIGCOMP_1_2,"evaluating data, information & digital content",canonical_variant_or_curated
DIGCOMP_1_2,"evaluating data, information and digital content",canonical_variant_or_curated
DIGCOMP_1_3,"managing data, information & digital content",canonical_variant_or_curated
DIGCOMP_1_3,"managing data, information and digital content",canonical_variant_or_curated
DIGCOMP_2_1,interacting through digital technologies,canonical_variant_or_curated
DIGCOMP_2_2,sharing through digital technologies,canonical_variant_or_curated
DIGCOMP_2_4,collaborating through digital technologies,canonical_variant_or_curated
DIGCOMP_2_5,netiquette,canonical_variant_or_curated
DIGCOMP_3_1,developing digital content,canonical_variant_or_curated
DIGCOMP_3_2,integrating & re-elaborating digital content,canonical_variant_or_curated
DIGCOMP_3_2,integrating and re-elaborating digital content,canonical_variant_or_curated
DIGCOMP_3_3,copyright & licences,canonical_variant_or_curated
DIGCOMP_3_3,copyright and licences,canonical_variant_or_curated
DIGCOMP_3_4,programming,canonical_variant_or_curated
DIGCOMP_4_2,protecting personal data & privacy,canonical_variant_or_curated
DIGCOMP_4_2,protecting personal data and privacy,canonical_variant_or_curated
DIGCOMP_4_3,protecting health & well-being,canonical_variant_or_curated
DIGCOMP_4_3,protecting health and well-being,canonical_variant_or_curated
DIGCOMP_5_1,solving technical problems,canonical_variant_or_curated
DIGCOMP_5_2,identifying needs & technological responses,canonical_variant_or_curated
DIGCOMP_5_2,identifying needs and technological responses,canonical_variant_or_curated
DIGCOMP_5_3,creatively using digital technologies,canonical_variant_or_curated
DIGCOMP_5_4,identifying digital competence gaps,canonical_variant_or_curated
ONET_2_A_1_a,reading comprehension,canonical_variant_or_curated
ONET_2_A_1_b,active listening,canonical_variant_or_curated
ONET_2_A_1_b,hearing people out,canonical_variant_or_curated
ONET_2_A_1_b,listening attentively,canonical_variant_or_curated
ONET_2_A_1_c,writing,canonical_variant_or_curated
ONET_2_A_1_d,speaking,canonical_variant_or_curated
ONET_2_A_1_e,mathematics,canonical_variant_or_curated
ONET_2_A_2_a,critical thinking,canonical_variant_or_curated
ONET_2_A_2_b,active learning,canonical_variant_or_curated
ONET_2_A_2_c,learning strategies,canonical_variant_or_curated
ONET_2_A_2_d,checking wellbeing,canonical_variant_or_curated
ONET_2_A_2_d,monitoring,canonical_variant_or_curated
ONET_2_A_2_d,tracking progress,canonical_variant_or_curated
ONET_2_B_1_a,empathy,canonical_variant_or_curated
ONET_2_B_1_a,reading social cues,canonical_variant_or_curated
ONET_2_B_1_a,social perceptiveness,canonical_variant_or_curated
ONET_2_B_1_b,coordinating,canonical_variant_or_curated
ONET_2_B_1_b,coordination,canonical_variant_or_curated
ONET_2_B_1_b,schedule coordination,canonical_variant_or_curated
ONET_2_B_1_c,persuasion,canonical_variant_or_curated
ONET_2_B_1_d,handling disputes,canonical_variant_or_curated
ONET_2_B_1_d,negotiating,canonical_variant_or_curated
ONET_2_B_1_d,negotiation,canonical_variant_or_curated
ONET_2_B_1_e,coaching,canonical_variant_or_curated
ONET_2_B_1_e,instructing,canonical_variant_or_curated
ONET_2_B_1_e,teaching,canonical_variant_or_curated
ONET_2_B_1_e,tutoring,canonical_variant_or_curated
ONET_2_B_1_f,care orientation,canonical_variant_or_curated
ONET_2_B_1_f,helping others,canonical_variant_or_curated
ONET_2_B_1_f,service orientation,canonical_variant_or_curated
ONET_2_B_2_i,complex problem solving,canonical_variant_or_curated
ONET_2_B_2_i,handling emergencies,canonical_variant_or_curated
ONET_2_B_2_i,solving difficult problems,canonical_variant_or_curated
ONET_2_B_3_a,operations analysis,canonical_variant_or_curated
ONET_2_B_3_b,technology design,canonical_variant_or_curated
ONET_2_B_3_e,programming,canonical_variant_or_curated
ONET_2_B_4_e,decision making,canonical_variant_or_curated
ONET_2_B_4_e,judgment & decision making,canonical_variant_or_curated
ONET_2_B_4_e,judgment and decision making,canonical_variant_or_curated
ONET_2_B_4_e,making sound choices,canonical_variant_or_curated
ONET_2_B_4_g,systems analysis,canonical_variant_or_curated
ONET_2_B_4_h,systems evaluation,canonical_variant_or_curated
ONET_2_B_5_a,juggling schedules,canonical_variant_or_curated
ONET_2_B_5_a,managing time,canonical_variant_or_curated
ONET_2_B_5_a,scheduling,canonical_variant_or_curated
ONET_2_B_5_a,time management,canonical_variant_or_curated
ONET_2_B_5_b,budgeting,canonical_variant_or_curated
ONET_2_B_5_b,household budget,canonical_variant_or_curated
ONET_2_B_5_b,management of financial resources,canonical_variant_or_curated
ONET_2_B_5_b,managing finances,canonical_variant_or_curated
ONET_2_B_5_d,management of personnel resources,canonical_variant_or_curated
ONET_2_B_5_d,people management,canonical_variant_or_curated
ONET_2_B_5_d,supervising helpers,canonical_variant_or_curated
