role_id,role_title,sector_id,sector,mapping_purpose,mapping_method,evidence_basis,rationale,review_status
R01,Software Developer,BS09,Technology,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Software Developer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R01,Software Developer,BS10,Telecommunications & Media,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Software Developer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R02,Data Analyst,BS09,Technology,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Data Analyst is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R02,Data Analyst,BS04,Financial Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Data Analyst is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R02,Data Analyst,BS10,Telecommunications & Media,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Data Analyst is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R03,Human Resources Officer,BS06,Industrial Products & Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Human Resources Officer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R03,Human Resources Officer,BS02,Consumer Products & Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Human Resources Officer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R03,Human Resources Officer,BS04,Financial Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Human Resources Officer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R04,Online Marketing Specialist,BS02,Consumer Products & Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Online Marketing Specialist is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R04,Online Marketing Specialist,BS10,Telecommunications & Media,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Online Marketing Specialist is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R04,Online Marketing Specialist,BS09,Technology,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Online Marketing Specialist is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R05,Translator,BS10,Telecommunications & Media,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Translator is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R05,Translator,BS02,Consumer Products & Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Translator is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R06,Graphic Designer,BS10,Telecommunications & Media,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Graphic Designer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R06,Graphic Designer,BS02,Consumer Products & Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Graphic Designer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R06,Graphic Designer,BS09,Technology,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Graphic Designer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R07,Accounting & Bookkeeping Clerk,BS04,Financial Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Accounting & Bookkeeping Clerk is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R07,Accounting & Bookkeeping Clerk,BS02,Consumer Products & Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Accounting & Bookkeeping Clerk is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R07,Accounting & Bookkeeping Clerk,BS08,Property,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Accounting & Bookkeeping Clerk is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R08,Customer Contact Centre Officer,BS04,Financial Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Customer Contact Centre Officer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R08,Customer Contact Centre Officer,BS10,Telecommunications & Media,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Customer Contact Centre Officer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
R08,Customer Contact Centre Officer,BS02,Consumer Products & Services,employer relevance filter only; never a score,manual occupation-to-industry relevance mapping,MASCO occupation scope plus the standardized D7 Bursa-sector employer universe,Customer Contact Centre Officer is commonly employed in this Bursa sector; occupation and industry classifications are not one-to-one.,pending_second_reviewer
