esco_code,source_records,source_resumes,official_crosswalk_row_count,unique_onet_code_count,onet_codes,onet_titles,coverage_status,production_rule
0110.10,7,7,5,5,33-1011.00;33-1012.00;33-3012.00;33-3021.00;33-3051.00,Correctional Officers and Jailers;Detectives and Criminal Investigators;First-Line Supervisors of Correctional Officers;First-Line Supervisors of Police and Detectives;Police and Sheriff's Patrol Officers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
0110.11,1,1,0,0,,,unmatched,use published exact row
0110.12,5,5,0,0,,,unmatched,use published exact row
0110.2,4,4,1,1,33-3021.06,Intelligence Analysts,exact_single_onet,use published exact row
0110.3,4,4,0,0,,,unmatched,use published exact row
0110.4,1,1,1,1,33-3021.06,Intelligence Analysts,exact_single_onet,use published exact row
0110.7,2,2,1,1,33-3021.06,Intelligence Analysts,exact_single_onet,use published exact row
0110.9,6,5,0,0,,,unmatched,use published exact row
0210.2,23,23,2,2,33-1011.00;33-1012.00,First-Line Supervisors of Correctional Officers;First-Line Supervisors of Police and Detectives,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
0210.3,4,4,1,1,33-3021.06,Intelligence Analysts,exact_single_onet,use published exact row
0210.4,6,6,1,1,33-3021.06,Intelligence Analysts,exact_single_onet,use published exact row
0310.3,9,9,0,0,,,unmatched,use published exact row
0310.4,1,1,2,2,33-3021.06;43-5031.00,Intelligence Analysts;Public Safety Telecommunicators,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1111.1,44,41,1,1,11-1031.00,Legislators,exact_single_onet,use published exact row
1111.3,3,3,2,2,11-1011.00;11-1031.00,Chief Executives;Legislators,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1111.4,21,21,2,2,11-1011.00;11-1031.00,Chief Executives;Legislators,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1111.5,17,13,1,1,11-1031.00,Legislators,exact_single_onet,use published exact row
1111.6,28,28,2,2,11-1011.00;11-1031.00,Chief Executives;Legislators,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1112.2,11,11,1,1,11-9199.00,"Managers, All Other",exact_single_onet,use published exact row
1112.3,7,7,1,1,13-1111.00,Management Analysts,exact_single_onet,use published exact row
1112.3.1,18,18,1,1,11-9199.00,"Managers, All Other",exact_single_onet,use published exact row
1112.3.2,2,2,1,1,13-1111.00,Management Analysts,exact_single_onet,use published exact row
1112.4,1,1,6,6,11-1021.00;11-9161.00;33-1021.00;33-2011.00;33-2021.00;33-2022.00,Emergency Management Directors;Fire Inspectors and Investigators;Firefighters;First-Line Supervisors of Firefighting and Prevention Workers;Forest Fire Inspectors and Prevention Specialists;General and Operations Managers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1112.5,3,3,8,8,33-1011.00;33-1012.00;33-3021.00;33-3021.02;33-3041.00;33-3051.00;33-3052.00;43-5031.00,Detectives and Criminal Investigators;First-Line Supervisors of Correctional Officers;First-Line Supervisors of Police and Detectives;Parking Enforcement Workers;Police Identification and Records Officers;Police and Sheriff's Patrol Officers;Public Safety Telecommunicators;Transit and Railroad Police,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1112.6,14,14,2,2,11-1011.00;11-1021.00,Chief Executives;General and Operations Managers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1112.7,9,9,1,1,11-1011.00,Chief Executives,exact_single_onet,use published exact row
1114.1,2,2,1,1,13-1075.00,Labor Relations Specialists,exact_single_onet,use published exact row
1120.1,2,2,1,1,11-9199.00,"Managers, All Other",exact_single_onet,use published exact row
1120.3,20,20,1,1,11-1011.00,Chief Executives,exact_single_onet,use published exact row
1120.4,6,6,2,2,11-1011.00;11-1021.00,Chief Executives;General and Operations Managers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1120.5,2,2,3,3,11-3121.00;13-1075.00;21-1015.00,Human Resources Managers;Labor Relations Specialists;Rehabilitation Counselors,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1120.6,12,12,1,1,11-1011.00,Chief Executives,exact_single_onet,use published exact row
1211.1,14,14,2,2,11-3031.00;11-3031.01,Financial Managers;Treasurers and Controllers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1211.1.1,24,24,1,1,11-3031.01,Treasurers and Controllers,exact_single_onet,use published exact row
1211.1.2,4,4,3,3,11-3031.00;11-3031.01;43-3071.00,Financial Managers;Tellers;Treasurers and Controllers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1211.1.3,14,14,3,3,11-3031.01;13-2031.00;43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks;Budget Analysts;Treasurers and Controllers",exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1211.1.4,10,10,2,2,11-3031.00;11-3031.01,Financial Managers;Treasurers and Controllers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1212.1,102,98,2,2,11-2033.00;41-9041.00,Fundraising Managers;Telemarketers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1212.2,82,81,5,5,11-3111.00;11-3121.00;13-1071.00;13-1075.00;13-1141.00,"Compensation and Benefits Managers;Compensation, Benefits, and Job Analysis Specialists;Human Resources Managers;Human Resources Specialists;Labor Relations Specialists",exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1212.2.1,5,5,4,4,11-3111.00;11-3121.00;13-1041.03;13-1075.00,Compensation and Benefits Managers;Equal Opportunity Representatives and Officers;Human Resources Managers;Labor Relations Specialists,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1212.3,28,27,3,3,11-2033.00;21-2021.00;41-9041.00,"Directors, Religious Activities and Education;Fundraising Managers;Telemarketers",exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1213.2,4,4,2,2,11-9199.02;19-2041.01,Climate Change Policy Analysts;Compliance Managers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1213.2.1,1,1,3,3,11-9151.00;13-1141.00;43-4061.00,"Compensation, Benefits, and Job Analysis Specialists;Eligibility Interviewers, Government Programs;Social and Community Service Managers",exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1213.2.2,8,8,1,1,11-1021.00,General and Operations Managers,exact_single_onet,use published exact row
1213.3,1,1,2,2,11-3061.00;43-3061.00,Procurement Clerks;Purchasing Managers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1213.4,10,10,2,2,13-1082.00;15-1299.09,Information Technology Project Managers;Project Management Specialists,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1213.5,110,110,0,0,,,unmatched,use published exact row
1213.5.1,30,30,0,0,,,unmatched,use published exact row
1213.6,1,1,0,0,,,unmatched,use published exact row
1213.7,9,8,0,0,,,unmatched,use published exact row
1219.1,16,16,1,1,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,exact_single_onet,use published exact row
1219.1.1,21,21,2,2,11-3013.00;37-1011.00,Facilities Managers;First-Line Supervisors of Housekeeping and Janitorial Workers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1219.1.2,11,11,5,5,11-3013.01;11-9199.08;13-1199.07;33-1091.00;33-9099.02,First-Line Supervisors of Security Workers;Loss Prevention Managers;Retail Loss Prevention Specialists;Security Management Specialists;Security Managers,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1219.2,10,10,1,1,11-1011.03,Chief Sustainability Officers,exact_single_onet,use published exact row
1219.3,3,3,2,2,11-3012.00;13-1111.00,Administrative Services Managers;Management Analysts,exact_esco_one_to_many_onet,retain all official candidates; do not silently choose one O*NET code
1219.4,82,82,1,1,11-9199.00,"Managers, All Other",exact_single_onet,use published exact row
1219.5,10,10,1,1,11-3013.00,Facilities Managers,exact_single_onet,use published exact row
