model,split,role_id,role_title,precision,recall,f1,support
multinomial_naive_bayes,test,R01,Software Developer,0.0,0.0,0.0,0
multinomial_naive_bayes,test,R02,Data Analyst,0.0,0.0,0.0,1
multinomial_naive_bayes,test,R03,Human Resources Officer,0.0,0.0,0.0,5
multinomial_naive_bayes,test,R04,Online Marketing Specialist,0.37037,0.909091,0.526316,11
multinomial_naive_bayes,test,R05,Translator,0.0,0.0,0.0,3
multinomial_naive_bayes,test,R06,Graphic Designer,0.6,0.5,0.545455,6
multinomial_naive_bayes,test,R07,Accounting & Bookkeeping Clerk,0.0,0.0,0.0,4
multinomial_naive_bayes,test,R08,Customer Contact Centre Officer,0.0,0.0,0.0,2
multinomial_naive_bayes,test,R09,Secretary / Administrative Assistant,1.0,0.125,0.222222,8
multinomial_naive_bayes,test,R10,Tutor,0.333333,0.2,0.25,5
minilm_centroid,test,R01,Software Developer,0.0,0.0,0.0,0
minilm_centroid,test,R02,Data Analyst,0.0,0.0,0.0,1
minilm_centroid,test,R03,Human Resources Officer,0.0,0.0,0.0,5
minilm_centroid,test,R04,Online Marketing Specialist,0.75,0.545455,0.631579,11
minilm_centroid,test,R05,Translator,0.125,0.333333,0.181818,3
minilm_centroid,test,R06,Graphic Designer,0.6,0.5,0.545455,6
minilm_centroid,test,R07,Accounting & Bookkeeping Clerk,0.0,0.0,0.0,4
minilm_centroid,test,R08,Customer Contact Centre Officer,0.0,0.0,0.0,2
minilm_centroid,test,R09,Secretary / Administrative Assistant,0.0,0.0,0.0,8
minilm_centroid,test,R10,Tutor,0.111111,0.2,0.142857,5
