feature,idf
1213,6.0238805208462765
academic,6.0238805208462765
academic support,6.0238805208462765
account,5.176582660459073
account manager,5.176582660459073
accounting,4.819907716520341
accounting assistant,4.9252682321781664
activity,6.0238805208462765
activity leader,6.0238805208462765
administrative,3.790288299339182
administrative assistant,3.790288299339182
administrator,4.819907716520341
administrator education,5.04305126783455
advertising,5.736198448394496
advertising copywriter,6.0238805208462765
agent,4.724597536716015
agent education,4.9252682321781664
agent ict,6.0238805208462765
analyst,5.330733340286331
analyst education,5.330733340286331
and,4.9252682321781664
animator,4.819907716520341
animator education,5.04305126783455
art,6.0238805208462765
artist,6.0238805208462765
assistant,2.4403615823901665
assistant education,2.579198027244382
assistant lecturer,6.0238805208462765
assistant residential,6.0238805208462765
at,6.0238805208462765
attendant,5.736198448394496
attendant education,5.736198448394496
auditor,5.736198448394496
auditor education,5.736198448394496
babysitter,5.736198448394496
bachelor,1.733421079697885
bakery,5.736198448394496
bakery specialised,5.736198448394496
bartender,5.736198448394496
bartender education,6.0238805208462765
biology,6.0238805208462765
biology teacher,6.0238805208462765
bookkeeper,6.0238805208462765
bookkeeper education,6.0238805208462765
boxing,6.0238805208462765
boxing instructor,6.0238805208462765
business,4.9252682321781664
business consultant,6.0238805208462765
business developer,5.736198448394496
call,4.9252682321781664
call centre,4.9252682321781664
camping,6.0238805208462765
camping ground,6.0238805208462765
care,4.349904087274605
care coordinator,6.0238805208462765
care home,6.0238805208462765
care worker,4.724597536716015
cashier,5.176582660459073
cashier education,5.513054897080286
centre,4.724597536716015
centre agent,5.330733340286331
centre information,6.0238805208462765
centre manager,6.0238805208462765
chain,4.349904087274605
chain assistant,4.414442608412176
child,5.176582660459073
child care,5.330733340286331
clerk,4.557543452052849
clerk education,4.637586159726386
client,5.736198448394496
client relations,5.736198448394496
coach,4.819907716520341
coach education,5.04305126783455
commercial,5.513054897080286
commercial sales,6.0238805208462765
computer,6.0238805208462765
consultant,4.28927946545817
consultant education,4.414442608412176
contact,6.0238805208462765
contact centre,6.0238805208462765
content,5.736198448394496
content manager,5.736198448394496
controller,5.736198448394496
controller education,5.736198448394496
coordinator,4.819907716520341
coordinator education,5.176582660459073
copywriter,6.0238805208462765
copywriter education,6.0238805208462765
counter,6.0238805208462765
counter clerk,6.0238805208462765
crew,5.736198448394496
crew member,5.736198448394496
customer,4.9252682321781664
customer contact,6.0238805208462765
customer service,5.176582660459073
data,5.513054897080286
data analyst,6.0238805208462765
database,5.736198448394496
database integrator,6.0238805208462765
demonstrator,5.513054897080286
demonstrator education,5.736198448394496
designer,3.5671447480249725
designer education,3.6885056050292397
desk,6.0238805208462765
desk agent,6.0238805208462765
desktop,6.0238805208462765
desktop publisher,6.0238805208462765
developer,4.819907716520341
developer education,5.04305126783455
development,6.0238805208462765
digital,4.637586159726386
digital marketing,5.736198448394496
digital media,5.04305126783455
director,6.0238805208462765
director education,6.0238805208462765
distribution,6.0238805208462765
distribution manager,6.0238805208462765
division,6.0238805208462765
division manager,6.0238805208462765
driver,5.736198448394496
driver education,5.736198448394496
editor,6.0238805208462765
editor education,6.0238805208462765
education administrator,5.513054897080286
education bachelor,1.733421079697885
education master,2.368902618408021
