split,role_id,precision,recall,f1,support
val,R01,1.0,0.3333333333333333,0.5,3
val,R02,0.14285714285714285,0.3333333333333333,0.2,3
val,R03,0.4,0.3333333333333333,0.36363636363636365,6
val,R04,0.5384615384615384,0.4375,0.4827586206896552,16
val,R05,0.0,0.0,0.0,2
val,R06,0.0,0.0,0.0,6
val,R07,0.3333333333333333,0.5,0.4,10
val,R08,0.0,0.0,0.0,2
val,R09,0.25,0.125,0.16666666666666666,8
val,R10,0.14285714285714285,0.16666666666666666,0.15384615384615385,6
test,R01,0.0,0.0,0.0,0
test,R02,0.0,0.0,0.0,1
test,R03,0.0,0.0,0.0,5
test,R04,0.2,0.18181818181818182,0.19047619047619047,11
test,R05,0.0,0.0,0.0,3
test,R06,0.6,0.5,0.5454545454545454,6
test,R07,0.0,0.0,0.0,4
test,R08,0.0,0.0,0.0,2
test,R09,0.3333333333333333,0.125,0.18181818181818182,8
test,R10,0.4,0.4,0.4,5
