split,threshold,accepted_examples,coverage,accepted_accuracy
val,0.2,62,1.0,0.354839
val,0.3,58,0.935484,0.37931
val,0.4,43,0.693548,0.44186
val,0.5,36,0.580645,0.444444
val,0.6,26,0.419355,0.423077
val,0.7,16,0.258065,0.625
val,0.8,7,0.112903,0.571429
val,0.9,2,0.032258,0.5
test,0.2,45,1.0,0.333333
test,0.3,44,0.977778,0.340909
test,0.4,33,0.733333,0.363636
test,0.5,21,0.466667,0.428571
test,0.6,12,0.266667,0.666667
test,0.7,10,0.222222,0.7
test,0.8,8,0.177778,0.75
test,0.9,3,0.066667,1.0
