resume_id,split,role_id,target_esco_code,target_esco_title,previous_esco_codes,text,feature_definition
100888,train,R05,2643.6,translator,2310.1.5,assistant lecturer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
100934,train,R02,2511.9,ICT business analyst,1213.5;1211.1.1;2411.1;2411.1.8,1213.5 ; accounting manager ; accountant ; financial controller ; education PhD,prior standardized ESCO occupation titles plus education level; latest role excluded
101958,train,R06,2166.2,animation layout artist,2166.10,illustrator ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
102089,train,R04,2431.10.3,marketing assistant,3343.1,administrative assistant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
102156,train,R09,4120.1,secretary,3341.7,office manager ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
10232,test,R04,2431.5,business developer,2431.5,business developer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
104105,train,R04,2431.5,business developer,2359.7,e-learning developer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
10436,test,R06,2166.9,graphic designer,3431.1;5132.1;2166.9,photographer ; bartender ; graphic designer ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
104805,test,R04,2431.10.3,marketing assistant,2310.1.42;0210.2,university teaching assistant ; sergeant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
105569,train,R09,4120.1,secretary,2330.1.15;3422.3.1,physical education teacher secondary school ; football coach ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
105884,train,R04,2431.10.4,online marketer,1349.14,front of house manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
106207,train,R03,2423.6,recruitment consultant,2423.6,recruitment consultant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
106798,train,R07,4311.2,sales support assistant,2431.6,client relations manager ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
107156,train,R04,2431.1,advertising copywriter,1219.6;2431.10.4,project manager ; online marketer ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
107685,train,R10,2359.1,academic advisor,1219.6,project manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
107701,train,R03,2423.1,career guidance advisor,5164.2.1.2,horse trainer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
107806,train,R02,2511.6,enterprise architect,1221.4,commercial director ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
108025,train,R07,4311.2,sales support assistant,5223.5,sales processor ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
108052,train,R09,4120.1,secretary,5242.1,promotions demonstrator ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
108680,train,R03,2423.6,recruitment consultant,1412.1,restaurant manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
109327,train,R04,2431.10.4,online marketer,2166.7,digital media designer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
110845,train,R08,4222.1,customer contact centre information clerk,3512.1;3512.1,ICT help desk agent ; ICT help desk agent ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
111731,test,R04,2431.11,market research analyst,2431.10,marketing consultant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
112388,train,R07,4311.2,sales support assistant,4120.1,secretary ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
112962,train,R04,2431.5,business developer,2433.2;4222.1,medical sales representative ; customer contact centre information clerk ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
11337,train,R07,4311.2,sales support assistant,3313.2,bookkeeper ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
114121,train,R06,2166.9,graphic designer,7316.1,decorative painter ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
114665,train,R03,2423.6,recruitment consultant,3343.1,administrative assistant ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
115616,train,R06,2166.14,stop-motion animator,2166.14,stop-motion animator ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
115679,train,R10,2359.14,tutor,2352.1;2352.1.6,special educational needs teacher ; special educational needs teacher secondary school ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
115976,train,R04,2431.6,client relations manager,5244.1,call centre agent ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
116607,val,R09,4120.1,secretary,5223.6,shop assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
117366,train,R07,4311.2,sales support assistant,7231.6,roadside vehicle technician ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
118122,train,R04,2431.6,client relations manager,5223.6,shop assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
11904,train,R07,4311.1,billing clerk,1349.6,book publisher ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
120860,train,R08,4222.1,customer contact centre information clerk,3343.1.7,supply chain assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
121811,train,R03,2423.6,recruitment consultant,5223.4;3343.1.7,sales assistant ; supply chain assistant ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
123671,train,R02,2511.16,ICT system integration consultant,1324.3.1.5,road transport division manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
123719,train,R04,2431.6,client relations manager,2433.1,after-sales service technician ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
126744,train,R09,4120.1,secretary,2431.6,client relations manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
127253,train,R04,2431.10.4,online marketer,5131.2;3422.4.1;2431.1,waiter/waitress ; boxing instructor ; advertising copywriter ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
127477,train,R01,2512.4,software developer,2330.1.9,ICT teacher secondary school ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
128679,train,R05,2643.2,interpreter,2659.2.3;7215.1.1,puppeteer ; stagehand ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
130335,val,R04,2431.10.3,marketing assistant,5223.4,sales assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
130409,train,R04,2431.10.3,marketing assistant,3423.1;5131.1;2631.2.3;9629.7,activity leader ; restaurant host/restaurant hostess ; economic development coordinator ; usher ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
130556,val,R02,2511.16,ICT system integration consultant,2511.10,ICT consultant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
130696,train,R03,2423.6,recruitment consultant,5112.3.1,passenger fare controller ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
130920,val,R01,2512.1,cloud engineer,5223.4;2423.6;2423.6,sales assistant ; recruitment consultant ; recruitment consultant ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
132156,val,R06,2166.9,graphic designer,2634.2.2,educational psychologist ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
13230,val,R07,4311.2,sales support assistant,5223.5,sales processor ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
132895,val,R04,2431.10.3,marketing assistant,1420.3,sales account manager ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
133445,train,R04,2431.10,marketing consultant,2166.7,digital media designer ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
133921,train,R04,2431.15,product and services manager,1412.1,restaurant manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
134462,train,R01,2512.5,user interface developer,2166.9,graphic designer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
1347,val,R10,2359.7,e-learning developer,3435.12,mask maker ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
