esco_code,source_records,source_resumes,official_crosswalk_row_count,unique_onet_code_count,onet_codes,onet_titles,coverage_status,production_rule
0110.11,1,1,0,0,,,unmatched,use published exact row
0110.12,5,5,0,0,,,unmatched,use published exact row
0110.3,4,4,0,0,,,unmatched,use published exact row
0110.9,6,5,0,0,,,unmatched,use published exact row
0310.3,9,9,0,0,,,unmatched,use published exact row
1213.5,110,110,0,0,,,unmatched,use published exact row
1213.5.1,30,30,0,0,,,unmatched,use published exact row
1213.6,1,1,0,0,,,unmatched,use published exact row
1213.7,9,8,0,0,,,unmatched,use published exact row
2131.8,28,28,0,0,,,unmatched,use published exact row
2131.8.1,1,1,0,0,,,unmatched,use published exact row
2131.8.2,11,9,0,0,,,unmatched,use published exact row
2133.14,1,1,0,0,,,unmatched,use published exact row
2133.15,1,1,0,0,,,unmatched,use published exact row
2133.15.1,4,4,0,0,,,unmatched,use published exact row
2269.11,3,3,0,0,,,unmatched,use published exact row
2320.1.3,10,10,0,0,,,unmatched,use published exact row
2421.5,12,12,0,0,,,unmatched,use published exact row
3257.7,1,1,0,0,,,unmatched,use published exact row
5419.10,4,4,0,0,,,unmatched,use published exact row
5419.9,1,1,0,0,,,unmatched,use published exact row
7115.7,2,2,0,0,,,unmatched,use published exact row
7314.3,2,2,0,0,,,unmatched,use published exact row
8143.8,3,3,0,0,,,unmatched,use published exact row
