employer_id,name,sector_id,sector,has_report,report_year,report_url,recognition_score,gender_equity_score,policy_flex_score,mother_friendly_score,confidence,score_status,evidence_status,scoring_rule
1155,Malayan Banking Berhad,BS04,Financial Services,True,2025,https://maybankfoundation.com/wp-content/uploads/2026/04/maybank-sustainability-and-environmental-report-2025.pdf,40.0,0.0,0.0,12.0,Low - partial report disclosure; zero-filled: gender_equity|policy_flex,approved_score_available_zero_filled,approved_second_review,"0.30 recognition + 0.40 gender equity + 0.30 policy/flex; after the completed official-source search, an unsupported pillar is scored 0 under the user-approved 2026-08-27 zero-fill policy"
1023,CIMB Group Holdings Berhad,BS04,Financial Services,True,2024,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2024/cimb-sustainability-report-2024.pdf,0.0,0.0,100.0,30.0,Low - partial report disclosure; zero-filled: recognition|gender_equity,approved_score_available_zero_filled,approved_second_review,"0.30 recognition + 0.40 gender equity + 0.30 policy/flex; after the completed official-source search, an unsupported pillar is scored 0 under the user-approved 2026-08-27 zero-fill policy"
1295,Public Bank Berhad,BS04,Financial Services,True,2023,https://www.publicbankgroup.com/media/lfzbm2ru/2023-sustainability-report.pdf,0.0,0.0,30.0,9.0,Low - partial report disclosure; zero-filled: recognition|gender_equity,approved_score_available_zero_filled,approved_second_review,"0.30 recognition + 0.40 gender equity + 0.30 policy/flex; after the completed official-source search, an unsupported pillar is scored 0 under the user-approved 2026-08-27 zero-fill policy"
1066,RHB Bank Berhad,BS04,Financial Services,True,2024,https://www.rhbgroup.com/-/media/rhb-annual-report/2024/download/RHB-SR2024.pdf,0.0,0.0,50.0,15.0,Low - partial report disclosure; zero-filled: recognition|gender_equity,approved_score_available_zero_filled,approved_second_review,"0.30 recognition + 0.40 gender equity + 0.30 policy/flex; after the completed official-source search, an unsupported pillar is scored 0 under the user-approved 2026-08-27 zero-fill policy"
5819,Hong Leong Bank Berhad,BS04,Financial Services,True,2024,https://www.hlb.com.my/content/dam/hlb/my/docs/pdf/About-Us/Investor-Relations/agm/2024/annual-report/hlb-annual-report-2024.pdf,0.0,0.0,0.0,0.0,Low - partial report disclosure; zero-filled: recognition|gender_equity|policy_flex,approved_score_available_zero_filled,approved_second_review,"0.30 recognition + 0.40 gender equity + 0.30 policy/flex; after the completed official-source search, an unsupported pillar is scored 0 under the user-approved 2026-08-27 zero-fill policy"
1015,AMMB Holdings Berhad,BS04,Financial Services,True,2024,https://www.ambankgroup.com/docs/ambankgrouplibraries/sustainability/reports/sustainabilityreport2024.pdf,0.0,0.0,0.0,0.0,Low - partial report disclosure; zero-filled: recognition|gender_equity|policy_flex,approved_score_available_zero_filled,approved_second_review,"0.30 recognition + 0.40 gender equity + 0.30 policy/flex; after the completed official-source search, an unsupported pillar is scored 0 under the user-approved 2026-08-27 zero-fill policy"
1163,Allianz Malaysia Berhad,BS04,Financial Services,True,2024,https://www.allianz.com.my/content/dam/onemarketing/azmb/wwwallianzcommy/pdf/investor-updates/2025/AllianzMalaysiaBerhad_IAR24.pdf,60.0,0.0,30.0,27.0,Moderate - incomplete pillars; zero-filled: gender_equity,approved_score_available_zero_filled,approved_second_review,"0.30 recognition + 0.40 gender equity + 0.30 policy/flex; after the completed official-source search, an unsupported pillar is scored 0 under the user-approved 2026-08-27 zero-fill policy"
5211,Sunway Berhad,BS06,Industrial Products & Services,True,2024,https://sustainability.sunway.com.my/Interactive-PDF/Sunway-Sustainability-Report-2024.pdf,40.0,100.0,50.0,67.0,High,approved_score_available_complete_evidence,approved_second_review,"0.30 recognition + 0.40 gender equity + 0.30 policy/flex; after the completed official-source search, an unsupported pillar is scored 0 under the user-approved 2026-08-27 zero-fill policy"
4197,Sime Darby Berhad,BS02,Consumer Products & Services,True,2024,https://www.simedarby.com/sites/default/files/annualreport-pdf/simedarby_berhad_ar_2024_interactive_4.24pm.pdf,0.0,0.0,0.0,0.0,Low - partial report disclosure; zero-filled: recognition|gender_equity|policy_flex,approved_score_available_zero_filled,approved_second_review,"0.30 recognition + 0.40 gender equity + 0.30 policy/flex; after the completed official-source search, an unsupported pillar is scored 0 under the user-approved 2026-08-27 zero-fill policy"
5288,Sime Darby Property Berhad,BS08,Property,True,2025,https://www.simedarbyproperty.com/sites/default/files/2026-04/SDP%20SR2025%20%28Mobile%29.pdf,0.0,0.0,0.0,0.0,Low - partial report disclosure; zero-filled: recognition|gender_equity|policy_flex,approved_score_available_zero_filled,approved_second_review,"0.30 recognition + 0.40 gender equity + 0.30 policy/flex; after the completed official-source search, an unsupported pillar is scored 0 under the user-approved 2026-08-27 zero-fill policy"
