esco_code,esco_title,onet_soc_code,onet_title,crosswalk_source,source_url,retrieved_date
0110.10,lieutenant,33-1011.00,First-Line Supervisors of Correctional Officers,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0110.10,lieutenant,33-1012.00,First-Line Supervisors of Police and Detectives,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0110.10,lieutenant,33-3012.00,Correctional Officers and Jailers,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0110.10,lieutenant,33-3021.00,Detectives and Criminal Investigators,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0110.10,lieutenant,33-3051.00,Police and Sheriff's Patrol Officers,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0110.2,armed forces officer,33-3021.06,Intelligence Analysts,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0110.4,army general,33-3021.06,Intelligence Analysts,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0110.6,artillery officer,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0110.7,brigadier,33-3021.06,Intelligence Analysts,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0210.2,sergeant,33-1011.00,First-Line Supervisors of Correctional Officers,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0210.2,sergeant,33-1012.00,First-Line Supervisors of Police and Detectives,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0210.3,special forces officer,33-3021.06,Intelligence Analysts,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0210.4,warfare specialist,33-3021.06,Intelligence Analysts,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0310.1,air force pilot,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0310.1,air force pilot,53-2012.00,Commercial Pilots,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0310.2,bomb disposal technician,33-3021.06,Intelligence Analysts,O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
0310.2,bomb disposal technician,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",O*NET Resource Center official ESCO to O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,2026-08-26
