masco_code,masco_code_printed,role_title,source_parent_group_code,source_parent_role_id,source_page_granular_index,rating_method,source,task_text_source,embedding_text
231101,2311-01,University Lecturer Grade DS45,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231102,2311-02,Medical Lecturer Grade DU51P,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231103,2311-03,UiTM Lecturer Grade DM41,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231104,2311-04,UiTM Assistant Lecturer Grade DM29,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231105,2311-05,Dental Lecturer Grade DUG51P,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231106,2311-06,Higher Learning Education Officer Grade DH41,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231107,2311-07,Higher Learning Education Officer Grade DH29,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231108,2311-08,Lecturer,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231109,2311-09,Tutor,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231110,2311-10,Professor,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231111,2311-11,"Lecturer, College",2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231112,2311-12,"Lecturer, Polytechnic",2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231113,2311-13,"Lecturer, University",2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231114,2311-14,"Professor, University",2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231115,2311-15,"Professor, College",2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231116,2311-16,"Tutor, University",2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231117,2311-17,Pharmacy Lecturer Grade DUF45,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231118,2311-18,Higher Learning Education Officer Grade DH31,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231119,2311-19,Higher Learning Education Officer Grade DH33,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231120,2311-20,Higher Learning Education Officer Grade DH39,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231121,2311-21,Higher Learning Education Officer Grade DH43,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231122,2311-22,Higher Learning Education Officer Grade DH47,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231123,2311-23,Higher Learning Education Officer Grade DH51,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231124,2311-24,Higher Learning Education Officer Grade DH53,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
231125,2311-25,UiTM Lecturer Grade DM45,2311,R10,347,D11 unit-group inheritance permitted by task brief; exact anchor occupations retain flexible_role=true.,MASCO 2020 official PDF,D1 MASCO unit-group task section,role_title + occupation_description + task_summary
