feature,idf
 0.,2.600704232465346
 0.5,2.7404661748405044
 0.50,2.7404661748405044
 0.7,4.414442608412176
 0.75,4.414442608412176
 1.,2.1596481792544786
 1.0,4.819907716520341
 1.00,4.819907716520341
 1.2,2.44966397505248
 1.25,2.44966397505248
 1.5,4.483435479899128
 1.50,4.483435479899128
 1.7,3.9869985935852363
 1.75,3.9869985935852363
 10,5.330733340286331
 10.,5.330733340286331
 10.5,5.736198448394496
 11,4.9252682321781664
 11.,4.9252682321781664
 11.2,5.330733340286331
 11.5,6.0238805208462765
 12,5.330733340286331
 12.,5.736198448394496
 121,6.0238805208462765
 1213,6.0238805208462765
 13,5.513054897080286
 13.,5.513054897080286
 13.5,5.513054897080286
 14,5.330733340286331
 14.,5.330733340286331
 14.5,6.0238805208462765
 14.7,5.736198448394496
 15,5.736198448394496
 15.,5.736198448394496
 16,5.736198448394496
 16.,5.736198448394496
 16.2,6.0238805208462765
 19,5.513054897080286
 19.,5.513054897080286
 19.5,6.0238805208462765
 2.,2.7657839828247943
 2.0,4.724597536716015
 2.00,4.724597536716015
 2.2,3.4849066497880004
 2.25,3.4849066497880004
 2.5,4.232121051618222
 2.50,4.232121051618222
 2.7,4.414442608412176
 2.75,4.414442608412176
 24,6.0238805208462765
 24.,6.0238805208462765
 3.,2.9481055396187488
 3.0,4.637586159726386
 3.00,4.637586159726386
 3.2,3.790288299339182
 3.25,3.790288299339182
 3.5,4.28927946545817
 3.50,4.28927946545817
 3.7,4.637586159726386
 3.75,4.637586159726386
 30,6.0238805208462765
 30.,6.0238805208462765
 30.7,6.0238805208462765
 4.,3.4849066497880004
 4.0,6.0238805208462765
 4.00,6.0238805208462765
 4.2,4.232121051618222
 4.25,4.232121051618222
 4.5,4.483435479899128
 4.50,4.483435479899128
 4.7,5.330733340286331
 4.75,5.330733340286331
 5.,3.8643962714929043
 5.2,4.232121051618222
 5.25,4.232121051618222
 5.5,5.513054897080286
 5.50,5.513054897080286
 5.7,5.513054897080286
 5.75,5.513054897080286
 6.,3.8643962714929043
 6.2,4.28927946545817
 6.25,4.28927946545817
 6.5,5.513054897080286
 6.50,5.513054897080286
 6.7,5.513054897080286
 6.75,5.513054897080286
 7.,3.755196979527912
 7.0,6.0238805208462765
 7.00,6.0238805208462765
 7.2,4.557543452052849
 7.25,4.557543452052849
 7.5,4.819907716520341
 7.50,4.819907716520341
 7.7,5.330733340286331
 7.75,5.330733340286331
 8.,4.03145035615607
 8.0,6.0238805208462765
 8.00,6.0238805208462765
 8.2,4.724597536716015
 8.25,4.724597536716015
 8.5,5.513054897080286
 8.50,5.513054897080286
 8.7,5.176582660459073
 8.75,5.176582660459073
 9.,4.724597536716015
 9.2,5.330733340286331
 9.25,5.330733340286331
 9.5,5.330733340286331
 9.50,5.330733340286331
 a ,4.483435479899128
 ac,2.1808503869050817
 aca,3.0449553656086668
 acad,3.0449553656086668
 acc,3.538973871058276
 acce,5.736198448394496
 acco,3.625985248047906
 act,2.963609726154714
 acti,2.963609726154714
 ad,2.1596481792544786
 adm,2.600704232465346
 admi,2.600704232465346
 adv,3.097141118779237
 adve,5.736198448394496
 advi,3.2512917986064953
 advo,4.724597536716015
 ag,3.9869985935852363
 age,4.724597536716015
 agen,4.724597536716015
 agr,4.483435479899128
 agre,4.483435479899128
 al,5.176582660459073
 all,5.176582660459073
 allo,5.176582660459073
 an,1.1436070446132642
 ana,2.9481055396187488
 anal,2.9481055396187488
 and,1.1640681164846043
 and ,1.1640681164846043
" and,",6.0238805208462765
 ani,4.724597536716015
 anim,4.724597536716015
 ap,4.483435479899128
 app,4.483435479899128
 appl,4.483435479899128
 ar,3.1906671767900603
 are,5.736198448394496
 area,5.736198448394496
 art,3.2512917986064953
 art ,6.0238805208462765
 arti,3.2723452078043276
 as,2.173732919136218
 ask,5.330733340286331
 aski,5.330733340286331
 ass,2.173732919136218
 assi,2.1808503869050817
 at,5.176582660459073
 at ,6.0238805208462765
 att,5.513054897080286
 atte,5.736198448394496
 au,4.349904087274605
 aud,4.349904087274605
 audi,4.349904087274605
 ba,1.7153210380542674
 bab,5.736198448394496
 baby,5.736198448394496
 bac,1.7288652631620245
 bach,1.733421079697885
 bak,5.513054897080286
 bake,5.513054897080286
 bar,5.513054897080286
 bart,5.736198448394496
 bi,6.0238805208462765
 bio,6.0238805208462765
 biol,6.0238805208462765
 bo,5.176582660459073
 boo,5.736198448394496
 book,5.736198448394496
 box,6.0238805208462765
 boxi,6.0238805208462765
 br,5.736198448394496
 bu,2.4590537154023187
 bud,3.408920742810078
 budg,3.408920742810078
 bui,4.557543452052849
 buil,4.557543452052849
 bus,2.9328380674879604
 busi,2.9481055396187488
 ca,3.133508762950112
 cal,4.232121051618222
 calc,4.819907716520341
 call,4.9252682321781664
 cam,6.0238805208462765
 camp,6.0238805208462765
 car,3.625985248047906
 care,4.178053830347945
 cari,4.178053830347945
 cas,5.04305126783455
 cash,5.176582660459073
 ce,4.724597536716015
 cen,4.724597536716015
 cent,4.724597536716015
 ch,3.5115748968701617
 cha,4.232121051618222
 chai,4.349904087274605
 chi,4.178053830347945
 chil,4.178053830347945
 cl,2.4039939382192914
 cle,2.507372292673127
 clea,4.724597536716015
 cler,2.600704232465346
 cli,3.755196979527912
 clie,3.755196979527912
 clo,6.0238805208462765
 clot,6.0238805208462765
 co,1.6460292575828754
 coa,3.596132284898225
 coac,3.596132284898225
 col,2.67984155302407
 coll,2.691676010671072
 com,2.431144927285242
 comm,3.4336133554004498
 comp,2.7404661748405044
 con,2.6451559950361796
 cond,3.3848231912310176
 cons,4.232121051618222
 cont,3.6885056050292397
 coo,4.414442608412176
 coor,4.414442608412176
 cop,5.736198448394496
 copy,5.736198448394496
 cou,5.04305126783455
 coun,5.04305126783455
 cr,3.0794415416798357
 cre,3.0794415416798357
 crea,3.133508762950112
 crew,5.736198448394496
 cu,4.28927946545817
 cul,5.176582660459073
 cult,5.176582660459073
 cur,6.0238805208462765
 cus,4.9252682321781664
 cust,4.9252682321781664
 da,2.622683139184121
 dat,2.622683139184121
 data,2.622683139184121
 de,1.8860508466844368
 dec,3.4336133554004498
 deco,3.4589311633847397
 dem,5.513054897080286
 demo,5.513054897080286
 den,5.736198448394496
 dent,5.736198448394496
 dep,6.0238805208462765
 des,2.9328380674879604
 desi,2.995358424469295
 desk,5.513054897080286
 det,6.0238805208462765
 dete,6.0238805208462765
 dev,2.2704625455947687
 deve,2.2704625455947687
 di,2.066247004166078
 dia,4.9252682321781664
 diag,4.9252682321781664
 dig,2.42201244372197
 digi,2.42201244372197
 dir,4.28927946545817
 dire,4.28927946545817
 dis,3.2306725114037596
 disp,3.2723452078043276
 dist,6.0238805208462765
 div,6.0238805208462765
 divi,6.0238805208462765
 do,3.625985248047906
 doc,3.6567569067146595
 docu,3.6567569067146595
 dr,3.5671447480249725
 dri,3.5671447480249725
 drin,3.6567569067146595
 driv,5.513054897080286
 ec,4.483435479899128
 eco,4.483435479899128
 econ,4.483435479899128
 edi,5.736198448394496
 edit,5.736198448394496
 el,4.414442608412176
 ele,4.414442608412176
 elec,4.414442608412176
 em,5.04305126783455
 eme,6.0238805208462765
 emer,6.0238805208462765
 emp,5.330733340286331
 empl,5.330733340286331
 en,3.3158303197440664
 ene,6.0238805208462765
 ener,6.0238805208462765
 enf,4.819907716520341
 enfo,4.819907716520341
 eng,5.330733340286331
 enga,6.0238805208462765
 engi,5.736198448394496
 ens,4.724597536716015
 ensu,4.724597536716015
 ent,4.126760535960395
 ente,4.232121051618222
 entr,5.736198448394496
 env,5.736198448394496
 envi,5.736198448394496
 eq,3.755196979527912
 equ,3.755196979527912
 equi,3.755196979527912
 es,5.736198448394496
 est,6.0238805208462765
 esta,6.0238805208462765
 ev,2.4129626082020517
 eva,3.0116189453410747
 eval,3.0116189453410747
 eve,2.91780019012342
 even,2.91780019012342
 ex,2.91780019012342
 exe,3.152200895962264
 exec,3.152200895962264
 exp,5.513054897080286
 expe,5.736198448394496
 ext,4.724597536716015
 exte,4.724597536716015
 fa,4.724597536716015
 fab,5.736198448394496
 fabr,5.736198448394496
 fam,5.513054897080286
 fami,5.513054897080286
 fe,5.513054897080286
 fee,5.513054897080286
 feed,5.513054897080286
 fi,2.4590537154023187
 fin,2.4685324593568625
 fina,2.4781019103730135
 fo,2.2472954863132344
 fol,5.736198448394496
 foll,5.736198448394496
 foo,3.4336133554004498
 food,3.538973871058276
 foot,5.513054897080286
 for,2.547781831011003
 for ,2.600704232465346
 fore,5.513054897080286
 fr,5.04305126783455
 fro,5.04305126783455
 from,5.176582660459073
 fu,6.0238805208462765
 fur,6.0238805208462765
 fur ,6.0238805208462765
 ga,2.8458266904983307
 gar,6.0238805208462765
 garm,6.0238805208462765
 gat,2.9029851043382795
 gath,2.9029851043382795
 ge,2.294179072212085
 gen,2.294179072212085
 gene,2.294179072212085
 gi,5.330733340286331
 giv,5.330733340286331
 givi,5.330733340286331
 go,4.349904087274605
 goo,4.349904087274605
 good,4.349904087274605
 gr,3.4589311633847397
 gra,3.9869985935852363
 grap,3.9869985935852363
 gro,4.28927946545817
 grou,4.28927946545817
 ha,5.04305126783455
 hai,6.0238805208462765
 hair,6.0238805208462765
 han,5.330733340286331
 hand,5.330733340286331
 haz,5.736198448394496
 haza,5.736198448394496
 he,3.4849066497880004
 hea,3.538973871058276
 head,5.330733340286331
 heal,3.6885056050292397
 hel,6.0238805208462765
 help,6.0238805208462765
 hi,4.637586159726386
 hir,4.724597536716015
 hiri,4.724597536716015
 ho,4.178053830347945
 hom,5.04305126783455
 home,5.04305126783455
 hos,4.9252682321781664
 host,5.04305126783455
 hou,6.0238805208462765
 hous,6.0238805208462765
 hu,4.483435479899128
 hum,4.483435479899128
 huma,4.483435479899128
 ic,4.28927946545817
 ict,4.28927946545817
 ict ,4.28927946545817
 id,4.557543452052849
 ide,4.557543452052849
 iden,4.557543452052849
 il,6.0238805208462765
 ill,6.0238805208462765
 illu,6.0238805208462765
 im,3.538973871058276
 ima,3.596132284898225
 imag,3.596132284898225
 imp,6.0238805208462765
 impl,6.0238805208462765
 in,2.09861228866811
 in ,4.126760535960395
 ind,2.9793580831228534
 indi,3.0116189453410747
 indu,6.0238805208462765
 inf,3.293851413025291
 info,3.293851413025291
 ins,3.625985248047906
 insp,5.513054897080286
 inst,3.755196979527912
 int,3.9869985935852363
 inte,3.9869985935852363
 inv,6.0238805208462765
 inve,6.0238805208462765
 is,5.176582660459073
 iss,5.176582660459073
 issu,5.176582660459073
 jo,6.0238805208462765
 jou,6.0238805208462765
 jour,6.0238805208462765
 ki,6.0238805208462765
 kit,6.0238805208462765
 kitc,6.0238805208462765
 la,4.483435479899128
 lan,4.637586159726386
 lang,4.724597536716015
 law,6.0238805208462765
 le,3.755196979527912
 lea,4.724597536716015
 lead,5.330733340286331
 leat,5.736198448394496
 lec,5.330733340286331
 lect,5.330733340286331
 leg,4.414442608412176
 lega,5.330733340286331
 legi,4.724597536716015
 li,3.2306725114037596
 lia,3.538973871058276
 liai,3.538973871058276
 lif,5.176582660459073
 life,5.513054897080286
 lift,6.0238805208462765
 lis,5.330733340286331
 list,5.330733340286331
 lo,4.9252682321781664
 loa,6.0238805208462765
 load,6.0238805208462765
 log,5.330733340286331
 logi,5.330733340286331
 ma,1.4770459118711483
 mac,5.176582660459073
 mach,5.176582660459073
 mai,3.625985248047906
 main,3.625985248047906
 mak,5.736198448394496
 make,6.0238805208462765
 man,2.1666657519131256
 mana,2.173732919136218
 manu,6.0238805208462765
 mar,2.9793580831228534
 mark,2.9793580831228534
 mas,2.368902618408021
 mast,2.368902618408021
 mat,3.5671447480249725
 mate,3.9036169846461855
 matt,4.724597536716015
 me,2.832033368365995
 mec,5.513054897080286
 mech,5.513054897080286
 med,3.790288299339182
 medi,3.790288299339182
 mem,5.513054897080286
 memb,5.513054897080286
 men,3.5671447480249725
 ment,3.625985248047906
 menu,5.736198448394496
 mer,6.0238805208462765
 merc,6.0238805208462765
 met,5.736198448394496
 meta,5.736198448394496
 mi,5.736198448394496
 mig,6.0238805208462765
 migr,6.0238805208462765
 mo,2.58989331636113
 mob,5.736198448394496
 mobi,5.736198448394496
 mod,5.04305126783455
 mode,5.04305126783455
 mon,2.67984155302407
 moni,2.67984155302407
 mot,5.513054897080286
 moti,5.736198448394496
 mov,6.0238805208462765
 movi,6.0238805208462765
 mu,5.330733340286331
 mus,5.513054897080286
 musi,5.513054897080286
 ne,2.537525330843814
 nee,4.077970371790963
 need,4.077970371790963
 neg,4.483435479899128
 nego,4.483435479899128
 net,2.791759469228055
 netw,2.791759469228055
 new,6.0238805208462765
 new ,6.0238805208462765
 no,3.293851413025291
 no ,3.293851413025291
 nu,5.330733340286331
 nur,5.330733340286331
 nurs,5.330733340286331
 ob,4.414442608412176
 obj,4.414442608412176
 obje,4.414442608412176
 of,2.600704232465346
 of ,2.8050046959780754
 off,3.9869985935852363
 offi,3.9869985935852363
 on,3.1906671767900603
 on ,3.4336133554004498
 onl,4.637586159726386
 onli,4.637586159726386
