split,threshold,accepted_examples,coverage,accepted_accuracy,fallback_examples,two_tier_accuracy,selected
val,0.0,62,1.0,0.193548,0,0.193548,False
val,0.05,62,1.0,0.193548,0,0.193548,True
val,0.1,47,0.758065,0.212766,15,0.16129,False
val,0.15,24,0.387097,0.291667,38,0.112903,False
val,0.2,13,0.209677,0.384615,49,0.080645,False
val,0.25,7,0.112903,0.428571,55,0.048387,False
val,0.3,5,0.080645,0.6,57,0.048387,False
val,0.35,4,0.064516,0.75,58,0.048387,False
val,0.4,3,0.048387,1.0,59,0.048387,False
val,0.45,0,0.0,,62,0.0,False
val,0.5,0,0.0,,62,0.0,False
val,0.55,0,0.0,,62,0.0,False
val,0.6,0,0.0,,62,0.0,False
val,0.65,0,0.0,,62,0.0,False
val,0.7,0,0.0,,62,0.0,False
val,0.75,0,0.0,,62,0.0,False
val,0.8,0,0.0,,62,0.0,False
val,0.85,0,0.0,,62,0.0,False
val,0.9,0,0.0,,62,0.0,False
