feature,idf
00,3.5115748968701617
00 years,3.5115748968701617
10,5.330733340286331
10 50,5.736198448394496
11,4.9252682321781664
11 25,5.330733340286331
11 50,6.0238805208462765
12,5.736198448394496
1213,6.0238805208462765
1213 duration,6.0238805208462765
13,5.513054897080286
13 50,5.513054897080286
14,5.330733340286331
14 50,6.0238805208462765
14 75,5.736198448394496
15,5.736198448394496
16,5.736198448394496
16 25,6.0238805208462765
19,5.513054897080286
19 50,6.0238805208462765
24,6.0238805208462765
25,1.6418538861723948
25 years,1.6460292575828754
30,6.0238805208462765
30 75,6.0238805208462765
50,2.0535886072941545
50 years,2.0535886072941545
75,2.633856439782246
75 years,2.633856439782246
academic,3.0449553656086668
academic or,3.293851413025291
academic support,6.0238805208462765
academic writing,3.8643962714929043
accepting,6.0238805208462765
accepting feedback,6.0238805208462765
accompanying,4.232121051618222
accompanying and,4.232121051618222
account,5.176582660459073
account manager,5.176582660459073
accounting,4.819907716520341
accounting assistant,4.9252682321781664
activities,3.0449553656086668
activities cleaning,6.0238805208462765
activities developing,5.736198448394496
activities directing,6.0238805208462765
activities duration,3.3848231912310176
activities serving,6.0238805208462765
activities supervising,6.0238805208462765
activities using,6.0238805208462765
activity,5.330733340286331
activity analysing,6.0238805208462765
activity leader,6.0238805208462765
administering,5.176582660459073
administering human,5.176582660459073
administrative,2.6565846908598023
administrative assistant,3.790288299339182
administrative tasks,2.6565846908598023
administrator,4.819907716520341
administrator skills,4.819907716520341
advertising,5.736198448394496
advertising copywriter,6.0238805208462765
advice,4.637586159726386
advice promoting,5.330733340286331
advising,3.538973871058276
advising on,3.5671447480249725
advocating,4.724597536716015
advocating for,4.724597536716015
agent,4.724597536716015
agent skills,4.724597536716015
agreements,4.483435479899128
agreements developing,6.0238805208462765
agreements maintaining,5.176582660459073
allocating,5.176582660459073
allocating and,5.176582660459073
analysing,3.0449553656086668
analysing and,5.330733340286331
analysing business,3.2512917986064953
analysing financial,4.557543452052849
analysis,5.513054897080286
analysis and,5.513054897080286
analyst,5.330733340286331
analyst skills,5.330733340286331
and,1.1640681164846043
and activities,4.03145035615607
and activity,5.736198448394496
and administering,5.176582660459073
and administrative,2.6565846908598023
and agreements,4.483435479899128
and asking,5.330733340286331
and clients,3.8643962714929043
and composing,4.9252682321781664
and controlling,5.176582660459073
and coordinating,5.330733340286331
and creative,5.513054897080286
and creativity,5.330733340286331
and data,5.330733340286331
and decorations,3.4589311633847397
and disposing,5.736198448394496
and documentation,6.0238805208462765
and drinks,3.6567569067146595
and economic,4.557543452052849
and enforcing,4.819907716520341
and evaluating,3.0449553656086668
and exterior,4.724597536716015
and hiring,4.724597536716015
and images,3.596132284898225
and interpreting,5.513054897080286
and leather,5.736198448394496
and liaising,3.538973871058276
and logistics,5.513054897080286
and management,5.513054897080286
and managing,4.483435479899128
and materials,4.637586159726386
and mechanical,6.0238805208462765
and mentoring,3.6567569067146595
and metal,5.736198448394496
and motivating,5.736198448394496
and nursing,5.736198448394496
and personal,4.557543452052849
and precision,5.330733340286331
and presentation,5.736198448394496
and procedures,4.9252682321781664
and productivity,3.6885056050292397
and products,6.0238805208462765
and programmes,2.91780019012342
and repairing,5.330733340286331
and resolving,5.330733340286331
and safety,4.03145035615607
and scheduling,4.03145035615607
and services,3.9869985935852363
and storing,2.963609726154714
and testing,6.0238805208462765
and textile,6.0238805208462765
and training,3.6567569067146595
and transforming,4.28927946545817
and treatment,6.0238805208462765
and unloading,6.0238805208462765
and welcoming,4.232121051618222
animator,4.819907716520341
animator skills,4.819907716520341
applications,4.557543452052849
applications duration,5.176582660459073
applications or,5.736198448394496
area,5.736198448394496
area of,5.736198448394496
art,6.0238805208462765
artist,6.0238805208462765
artist skills,6.0238805208462765
artistic,3.2723452078043276
artistic and,5.513054897080286
artistic designs,3.338303175596125
artistic or,5.330733340286331
artistic visual,5.736198448394496
asking,5.330733340286331
asking questions,5.330733340286331
assistance,3.5115748968701617
assistance to,3.5115748968701617
assistant,2.4403615823901665
assistant lecturer,6.0238805208462765
assistant skills,2.4590537154023187
assisting,4.819907716520341
assisting people,6.0238805208462765
assisting with,5.04305126783455
at,6.0238805208462765
attendant,5.736198448394496
attendant skills,5.736198448394496
audio,4.637586159726386
audio visual,4.637586159726386
auditor,5.736198448394496
auditor skills,5.736198448394496
babysitter,5.736198448394496
babysitter skills,5.736198448394496
bachelor,1.733421079697885
bakery,5.736198448394496
bakery specialised,5.736198448394496
bartender,5.736198448394496
bartender skills,5.736198448394496
biology,6.0238805208462765
biology teacher,6.0238805208462765
bookkeeper,6.0238805208462765
bookkeeper skills,6.0238805208462765
boxing,6.0238805208462765
boxing instructor,6.0238805208462765
budgets,3.408920742810078
budgets analysing,4.724597536716015
budgets duration,5.736198448394496
budgets executing,4.724597536716015
budgets maintaining,6.0238805208462765
budgets or,3.8643962714929043
building,6.0238805208462765
building and,6.0238805208462765
buildings,4.724597536716015
buildings duration,5.176582660459073
buildings promoting,6.0238805208462765
business,2.9481055396187488
business consultant,6.0238805208462765
business developer,5.736198448394496
business operations,3.2512917986064953
business or,3.8643962714929043
calculations,4.819907716520341
calculations duration,6.0238805208462765
calculations promoting,5.176582660459073
call,4.9252682321781664
call centre,4.9252682321781664
camping,6.0238805208462765
camping ground,6.0238805208462765
care,4.178053830347945
care coordinator,6.0238805208462765
care duration,6.0238805208462765
care home,6.0238805208462765
care worker,4.724597536716015
caring,4.178053830347945
caring for,4.178053830347945
cashier,5.176582660459073
cashier skills,5.176582660459073
centre,4.724597536716015
centre agent,5.330733340286331
centre information,6.0238805208462765
centre manager,6.0238805208462765
chain,4.349904087274605
chain assistant,4.414442608412176
child,5.176582660459073
child care,5.330733340286331
children,4.178053830347945
children collaborating,5.736198448394496
children duration,5.736198448394496
children monitoring,5.736198448394496
children performing,6.0238805208462765
