d1_role_id,d1_role_title,d1_masco_unit_group_code,stem_roles_in_same_unit_group,d11_scope_rule,relationship
R01,Software Developer,2512,3,all roles listed in the official eMASCO STEM category,D1 seed role retained as lineage where applicable; D11 scope is not limited to this group
R02,Data Analyst,2524,3,all roles listed in the official eMASCO STEM category,D1 seed role retained as lineage where applicable; D11 scope is not limited to this group
R03,Human Resources Officer,2423,0,all roles listed in the official eMASCO STEM category,D1 seed role retained as lineage where applicable; D11 scope is not limited to this group
R04,Online Marketing Specialist,2431,2,all roles listed in the official eMASCO STEM category,D1 seed role retained as lineage where applicable; D11 scope is not limited to this group
R05,Translator,2833,0,all roles listed in the official eMASCO STEM category,D1 seed role retained as lineage where applicable; D11 scope is not limited to this group
R06,Graphic Designer,2543,6,all roles listed in the official eMASCO STEM category,D1 seed role retained as lineage where applicable; D11 scope is not limited to this group
R07,Accounting & Bookkeeping Clerk,4311,10,all roles listed in the official eMASCO STEM category,D1 seed role retained as lineage where applicable; D11 scope is not limited to this group
R08,Customer Contact Centre Officer,4222,0,all roles listed in the official eMASCO STEM category,D1 seed role retained as lineage where applicable; D11 scope is not limited to this group
R09,Secretary / Administrative Assistant,4121,0,all roles listed in the official eMASCO STEM category,D1 seed role retained as lineage where applicable; D11 scope is not limited to this group
R10,Tutor,2311,2,all roles listed in the official eMASCO STEM category,D1 seed role retained as lineage where applicable; D11 scope is not limited to this group
