role_id,role_title,masco_code,masco_source_page_pdf,rated_task_count,remote_capable_tasks,remote_onsite_tasks,remote_unclear_tasks,remote_pre_rating,ai_exposable_tasks,ai_exposure_share,ai_pre_rating,independent_raters_required,reconciliation_status,release_use,task_source_level,source_url
M111201,Senior Government Officials,111201,,10,3,0,7,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1112-01
M112104,Chief Technical Officer,112104,,10,4,0,6,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1121-04
M121101,Budgeting/Financial Accounting Manager,121101,,8,5,0,3,medium,3,0.375,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1211-01
M121102,Audit and Risk Management Manager,121102,,10,7,0,3,medium,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1211-02
M121103,Credit Manager,121103,,9,4,0,5,medium,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1211-03
M121104,Insurance Manager,121104,,10,4,0,6,medium,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1211-04
M121105,Fund/Portfolio Manager,121105,,7,5,0,2,medium,3,0.4286,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1211-05
M121107,Tax Manager,121107,,7,1,0,6,medium,0,0.0,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1211-07
M121108,Claims Manager,121108,,9,2,0,7,medium,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1211-08
M121109,Actuarial Valuation Manager,121109,,9,4,0,5,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1211-09
M121111,Transfer Pricing Manager,121111,,9,5,0,4,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1211-11
M121202,Occupational Safety and Health Manager,121202,,8,2,0,6,medium,3,0.375,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1212-02
M121404,Supply Chain and Logistics Management Manager,121404,,10,3,0,7,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1214-04
M121408,Technology Manager,121408,,9,3,0,6,medium,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1214-08
M121409,Chief Business Officer,121409,,9,4,0,5,medium,1,0.1111,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1214-09
M122301,Research and Development Manager,122301,,9,5,0,4,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1223-01
M131101,Forestry Manager,131101,,10,5,0,5,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1311-01
M131102,Agricultural Manager,131102,,9,2,1,6,low,1,0.1111,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1311-02
M131103,Veterinary Manager,131103,,9,0,2,7,low,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1311-03
M131104,Field Manager (Grass),131104,,9,0,2,7,low,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1311-04
M131201,Aquaculture and Fisheries Production/Operation Manager,131201,,10,2,1,7,low,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1312-01
M132101,Manufacturing Manager,132101,,10,2,0,8,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1321-01
M132102,Electrical Manager,132102,,7,3,0,4,medium,0,0.0,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1321-02
M132103,Energy Manager,132103,,9,1,0,8,medium,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1321-03
M132104,Production Manager (Manufacturing),132104,,9,3,1,5,low,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1321-04
M132105,Ship Hull Manager,132105,,10,3,0,7,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1321-05
M132106,Mechanical Manager,132106,,9,2,2,5,low,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1321-06
M132107,Welding Manager,132107,,9,1,1,7,low,1,0.1111,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1321-07
M132108,Oil Mill Manager,132108,,9,2,2,5,low,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1321-08
M132109,Manager (Halal Food Manufacturing),132109,,8,1,0,7,medium,0,0.0,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1321-09
M132111,Power Generation Plant Manager,132111,,10,7,2,1,low,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1321-11
M132201,Production and Operation Manager (Mine),132201,,10,3,2,5,low,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1322-01
M132202,Production and Operation Manager (Oil and Gas Extraction),132202,,9,1,1,7,low,0,0.0,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1322-02
M132203,Offshore Installation Manager,132203,,10,2,0,8,medium,0,0.0,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1322-03
M132205,Metallurgy Manager,132205,,9,2,2,5,low,0,0.0,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1322-05
M132301,Construction Manager,132301,,10,4,2,4,low,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1323-01
M132302,Building and Architecture Manager,132302,,9,4,0,5,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1323-02
M132303,Land Surveyor Manager,132303,,9,4,0,5,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1323-03
M132401,Railway Station Master,132401,,9,1,1,7,low,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1324-01
M132402,Transport Manager,132402,,9,3,0,6,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1324-02
M132404,Port/Shipping Operations Manager,132404,,9,2,0,7,medium,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1324-04
M132405,Halal Logistics Operation Manager,132405,,9,1,0,8,medium,0,0.0,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1324-05
M151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,151101,,9,8,0,1,medium,7,0.7778,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-01
M151102,Information Systems Manager,151102,,10,4,0,6,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-02
M151103,Village Community Center Manager (Information Technology),151103,,10,4,0,6,medium,6,0.6,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-03
M151104,Internet Service Provider,151104,,8,2,0,6,medium,1,0.125,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-04
M151105,Network/Communications/Infrastructure Manager,151105,,10,6,0,4,medium,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-05
M151106,Audio Visual Manager,151106,,8,3,1,4,low,2,0.25,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-06
