role_id,task_rank,masco_task_id,masco_code,task,task_source_level,source,source_page_pdf,source_url,source_retrieved_at
M111201,1,EMASCO_111201_01,111201,"Plan, formulate and implement government policies, strategies and programmes at federal and state levels.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1112-01,2026-08-29T10:41:52+00:00
M111201,2,EMASCO_111201_02,111201,"Provide strategic advice to the government on policy, legal, financial, economic and administrative matters.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1112-01,2026-08-29T10:41:52+00:00
M111201,3,EMASCO_111201_03,111201,"Coordinate, direct and monitor the implementation of policies and activities across departments, agencies and statutory bodies.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1112-01,2026-08-29T10:41:52+00:00
M111201,4,EMASCO_111201_04,111201,"Manage public sector administration, including planning, control and evaluation of organisational performance.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1112-01,2026-08-29T10:41:52+00:00
M111201,5,EMASCO_111201_05,111201,"Ensure accountability, transparency and integrity in public financial management through auditing and regulatory oversight.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1112-01,2026-08-29T10:41:52+00:00
M111201,6,EMASCO_111201_06,111201,"Develop and manage fiscal, financial and accounting policies, including the preparation and monitoring of government budgets.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1112-01,2026-08-29T10:41:52+00:00
M111201,7,EMASCO_111201_07,111201,"Safeguard national security and public order, including law enforcement and national defence.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1112-01,2026-08-29T10:41:52+00:00
M111201,8,EMASCO_111201_08,111201,"Deliver and ensure the effectiveness of public services, including health, safety and public welfare.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1112-01,2026-08-29T10:41:52+00:00
M111201,9,EMASCO_111201_09,111201,"Represent the government in diplomatic relations, international negotiations, and protect national interests and citizens abroad.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1112-01,2026-08-29T10:41:52+00:00
M111201,10,EMASCO_111201_10,111201,"Collect, analyse and disseminate information and data to support national planning and policy formulation.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1112-01,2026-08-29T10:41:52+00:00
M112104,1,EMASCO_112104_01,112104,Develop and implement technology strategies to support business objectives.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1121-04,2026-08-29T10:41:52+00:00
M112104,2,EMASCO_112104_02,112104,Coordinate cross-functional alignment to ensure products and services meet customer and market needs.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1121-04,2026-08-29T10:41:52+00:00
M112104,3,EMASCO_112104_03,112104,Lead and manage research and development (R&D) teams to drive innovation.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1121-04,2026-08-29T10:41:52+00:00
M112104,4,EMASCO_112104_04,112104,"Oversee and govern software, hardware, and system development processes.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1121-04,2026-08-29T10:41:52+00:00
M112104,5,EMASCO_112104_05,112104,Evaluate and integrate new technologies to enhance products or services.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1121-04,2026-08-29T10:41:52+00:00
M112104,6,EMASCO_112104_06,112104,Establish and enforce cybersecurity policies to protect company data and IT systems.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1121-04,2026-08-29T10:41:52+00:00
M112104,7,EMASCO_112104_07,112104,"Develop long-term technology plans, including staff training and development.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1121-04,2026-08-29T10:41:52+00:00
M112104,8,EMASCO_112104_08,112104,Manage technical budgets and allocate resources effectively.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1121-04,2026-08-29T10:41:52+00:00
M112104,9,EMASCO_112104_09,112104,Collaborate with stakeholders to align technology initiatives with business goals.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1121-04,2026-08-29T10:41:52+00:00
M112104,10,EMASCO_112104_10,112104,Monitor emerging technology trends to maintain competitive advantage.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1121-04,2026-08-29T10:41:52+00:00
M121101,1,EMASCO_121101_01,121101,"Develop, monitor, and update organisational budgets in alignment with strategic objectives.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-01,2026-08-29T10:41:52+00:00
M121101,2,EMASCO_121101_02,121101,"Prepare financial reports, forecasts, and projections to support planning and decision-making.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-01,2026-08-29T10:41:52+00:00
M121101,3,EMASCO_121101_03,121101,"Analyse financial performance, trends, and variances against budgets and targets.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-01,2026-08-29T10:41:52+00:00
M121101,4,EMASCO_121101_04,121101,Control and monitor expenditures to ensure efficient and cost-effective use of resources.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-01,2026-08-29T10:41:52+00:00
M121101,5,EMASCO_121101_05,121101,"Provide financial analysis and advisory support to management on budgeting, costing, and investment decisions.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-01,2026-08-29T10:41:52+00:00
M121101,6,EMASCO_121101_06,121101,Coordinate with internal departments to develop financial plans and assess resource requirements.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-01,2026-08-29T10:41:52+00:00
M121101,7,EMASCO_121101_07,121101,"Ensure the accuracy, completeness, and timeliness of financial statements and budgetary information.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-01,2026-08-29T10:41:52+00:00
M121101,8,EMASCO_121101_08,121101,Manage capital expenditure planning and evaluate funding or investment proposals.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-01,2026-08-29T10:41:52+00:00
M121102,1,EMASCO_121102_01,121102,"Plan, organise, and oversee audits and risk assessments across the organisation.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-02,2026-08-29T10:41:52+00:00
M121102,2,EMASCO_121102_02,121102,Develop and implement audit programmes and risk management strategies.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-02,2026-08-29T10:41:52+00:00
M121102,3,EMASCO_121102_03,121102,"Conduct audits of financial records, operations, and internal controls to ensure compliance with laws, regulations, and corporate governance standards.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-02,2026-08-29T10:41:52+00:00
M121102,4,EMASCO_121102_04,121102,"Identify and assess potential financial, operational, and strategic risks, and recommend mitigation measures.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-02,2026-08-29T10:41:52+00:00
