role_id,role_title,masco_code,masco_code_printed,masco_unit_group_code,d11_esco_code,d11_esco_comparison_codes,chosen_esco_code,chosen_esco_title,chosen_esco_uri,chosen_esco_isco_group,mapping_status,mapping_method,mapping_authority,title_match_type,title_match_score,review_status,use_in_role_skills,production_ready,coverage_note
M111201,Senior Government Officials,111201,1112-01,1112,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M112104,Chief Technical Officer,112104,1121-04,1121,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121101,Budgeting/Financial Accounting Manager,121101,1211-01,1211,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121102,Audit and Risk Management Manager,121102,1211-02,1211,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121103,Credit Manager,121103,1211-03,1211,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121104,Insurance Manager,121104,1211-04,1211,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121105,Fund/Portfolio Manager,121105,1211-05,1211,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121107,Tax Manager,121107,1211-07,1211,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121108,Claims Manager,121108,1211-08,1211,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121109,Actuarial Valuation Manager,121109,1211-09,1211,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121111,Transfer Pricing Manager,121111,1211-11,1211,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121202,Occupational Safety and Health Manager,121202,1212-02,1212,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121404,Supply Chain and Logistics Management Manager,121404,1214-04,1214,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
