role_id,role_title,masco_code,masco_unit_group_code,candidate_rank,candidate_esco_code,candidate_esco_title,candidate_esco_uri,matched_label,matched_label_type,title_similarity,candidate_status,mapping_status,review_decision,reviewer,review_notes
M111201,Senior Government Officials,111201,1112,1,1112.1,central bank governor,http://data.europa.eu/esco/occupation/9e4269d5-e10e-4f49-ac99-65c833f933a2,national bank governors,altLabel,0.480000,review_only_not_used,no_unique_exact_esco_title_match,,,
M111201,Senior Government Officials,111201,1112,2,1112.4,fire commissioner,http://data.europa.eu/esco/occupation/f2413988-f76a-4636-a4b1-9952517aa21f,chief fire officer,altLabel,0.444444,review_only_not_used,no_unique_exact_esco_title_match,,,
M111201,Senior Government Officials,111201,1112,3,1112.6,public administration manager,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,government department manager,altLabel,0.428571,review_only_not_used,no_unique_exact_esco_title_match,,,
M112104,Chief Technical Officer,112104,1121,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M121101,Budgeting/Financial Accounting Manager,121101,1211,1,1211.1.1,accounting manager,http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,financial accounting manager,altLabel,0.848485,review_only_not_used,no_unique_exact_esco_title_match,,,
M121101,Budgeting/Financial Accounting Manager,121101,1211,2,1211.1.3,budget manager,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,budget and planning manager,altLabel,0.676923,review_only_not_used,no_unique_exact_esco_title_match,,,
M121101,Budgeting/Financial Accounting Manager,121101,1211,3,1211.1,financial manager,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,financial manager,preferredLabel,0.618182,review_only_not_used,no_unique_exact_esco_title_match,,,
M121102,Audit and Risk Management Manager,121102,1211,1,1211.1.3,budget manager,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,budget and planning manager,altLabel,0.633333,review_only_not_used,no_unique_exact_esco_title_match,,,
M121102,Audit and Risk Management Manager,121102,1211,2,1211.1,financial manager,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,financial manager,preferredLabel,0.520000,review_only_not_used,no_unique_exact_esco_title_match,,,
M121102,Audit and Risk Management Manager,121102,1211,3,1211.1.1,accounting manager,http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,accounting department manager,altLabel,0.516129,review_only_not_used,no_unique_exact_esco_title_match,,,
M121103,Credit Manager,121103,1211,1,1211.1.3,budget manager,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,budget manager,preferredLabel,0.714286,review_only_not_used,no_unique_exact_esco_title_match,,,
