role_id,skill_id,skill_name,skill_type,importance
M122301,5da3c765-10a3-49eb-934c-ec401ceb1a34,analyse business plans,skill/competence,100
M122301,750caee5-12a0-46ba-b8aa-1e56370deaf9,analyse consumer buying trends,skill/competence,50
M122301,5f302d63-048e-451c-b150-97c124a5a26b,analyse economic trends,skill/competence,50
M122301,ce5b1446-b5e3-4f05-a5ac-83f2ee142a44,analyse external factors of companies,skill/competence,100
M122301,eb8babfb-ab91-4937-a032-6a79f82e9b7f,analyse financial risk,skill/competence,50
M122301,91816e1a-d026-4d21-9b1c-59ca5cf488de,analyse internal factors of companies,skill/competence,100
M122301,292549e6-08ec-456c-b008-eba7a0a68428,analyse market financial trends,skill/competence,50
M122301,f1b5800e-b763-4740-9586-3fef30568e81,analyse production processes for improvement,skill/competence,50
M122301,b363bb5f-2c79-40af-94da-33e06f9dee9f,apply blended learning,skill/competence,50
M122301,5f0082ab-2131-49b5-94d6-a1821daf57d6,apply for research funding,skill/competence,50
M122301,833289fa-3646-4010-9d9e-93ba8c9ef2d8,apply research ethics and scientific integrity principles in research activities,skill/competence,50
M122301,7a34b3d9-bd3b-4f4e-a0f6-f97439901cb7,apply scientific methods,skill/competence,50
M122301,21056f6a-8a85-4eb0-b709-468578b809e0,assess the feasibility of implementing developments,skill/competence,100
M122301,d6179c4b-ff5a-4bbb-a3c8-e0acf0de1f56,assist scientific research,skill/competence,50
M122301,0aa02c52-077d-45f8-8c2d-7132c11ac16e,carry out strategic research,skill/competence,100
M122301,94b2c46e-6338-4a1d-950a-d44eef018c53,collaborate with engineers,skill/competence,50
M122301,d63c2bad-817d-4116-b4d8-b927cb01212d,commercial law,knowledge,50
M122301,ff64e9fc-36dd-4035-872a-83aa41dc1ad9,communicate with a non-scientific audience,skill/competence,50
M122301,f7b071bf-4882-4cfc-ae0a-7e0e0ab94c61,conduct research across disciplines,skill/competence,50
M122301,896563fc-6255-4419-89c2-ffed30159ad6,conduct research interview,skill/competence,50
M122301,3c6cd54b-e206-47a4-90c8-d19ff4523f34,contact scientists,skill/competence,50
M122301,66db424f-2abe-420d-8e5b-186607266b61,corporate social responsibility,knowledge,100
M122301,7d35602d-bc94-4975-aa7c-f4e8e05ce8e0,cost management,knowledge,50
M122301,56ff27ef-2565-45bf-a70c-f06d78d2a480,create a financial plan,skill/competence,50
M122301,4134622c-c3fb-4a41-beb6-6d58ba5107db,demonstrate disciplinary expertise,skill/competence,50
M122301,fd4386c5-96f0-4c6e-970c-c08729ae0cc6,develop product design,skill/competence,50
M122301,3d1b1cfe-a182-480a-b4dd-f482c6b4e6a4,develop product policies,skill/competence,50
M122301,cc61f9e5-d4fc-470e-8606-1ce865ff8386,develop professional network with researchers and scientists,skill/competence,50
M122301,2b1e2927-3542-48da-9063-02925e7562c1,disseminate results to the scientific community,skill/competence,50
M122301,00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft scientific or academic papers and technical documentation,skill/competence,50
M122301,68269b0a-35c5-4867-bc17-a0b0230fe60c,ensure finished product meet requirements,skill/competence,50
M122301,39f67488-cfd3-4370-8d7e-da98163102d9,evaluate research activities,skill/competence,50
M122301,3556c075-eee0-4549-b730-48ae70cb5af9,funding methods,knowledge,50
M122301,68698869-c13c-4563-adc7-118b7644f45d,identify customer's needs,skill/competence,50
M122301,d207a30b-2f80-4138-9b77-f88d549b8768,identify new business opportunities,skill/competence,100
M122301,4d39b27a-b34f-4c89-8d46-df844d42f728,increase the impact of science on policy and society,skill/competence,50
M122301,ec6df9cb-be92-4027-80fa-83b70aabce58,industrial research and development,knowledge,100
M122301,2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,knowledge,100
M122301,cd50d616-1f8b-481e-983f-68d2674ff82d,integrate gender dimension in research,skill/competence,50
M122301,ae23d0a7-6670-4ac2-b165-13c697407763,integrate shareholders' interests in business plans,skill/competence,50
M122301,2ad081e6-0a3f-4612-ac15-7ace75d39e26,intellectual property law,knowledge,100
M122301,20a8fe89-d4eb-4698-8521-8881c13377e0,interact professionally in research and professional environments,skill/competence,100
M122301,66d47084-9437-48b2-819b-c4c8214ed650,interview people,skill/competence,50
M122301,324f0243-1a21-4f5c-9f71-52eebc2596ed,interview techniques,knowledge,50
M122301,efda73b4-5212-40a7-b2f8-d2f754ffdf2b,keep up with trends,skill/competence,50
M122301,7f70572d-f0c1-4039-9954-b57dc69981f6,keep updated on innovations in various business fields,skill/competence,50
M122301,21c5790c-0930-4d74-b3b0-84caf5af12ea,manage budgets,skill/competence,100
