role_id,role_title,masco_code,esco_code,esco_occupation_title,esco_occupation_uri,mapping_status,mapping_review_status,skill_id,skill_uri,skill_name,relation_type,skill_type,importance,source_version,production_ready
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,5da3c765-10a3-49eb-934c-ec401ceb1a34,http://data.europa.eu/esco/skill/5da3c765-10a3-49eb-934c-ec401ceb1a34,analyse business plans,essential,skill/competence,100,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,750caee5-12a0-46ba-b8aa-1e56370deaf9,http://data.europa.eu/esco/skill/750caee5-12a0-46ba-b8aa-1e56370deaf9,analyse consumer buying trends,optional,skill/competence,50,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,5f302d63-048e-451c-b150-97c124a5a26b,http://data.europa.eu/esco/skill/5f302d63-048e-451c-b150-97c124a5a26b,analyse economic trends,optional,skill/competence,50,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,ce5b1446-b5e3-4f05-a5ac-83f2ee142a44,http://data.europa.eu/esco/skill/ce5b1446-b5e3-4f05-a5ac-83f2ee142a44,analyse external factors of companies,essential,skill/competence,100,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,eb8babfb-ab91-4937-a032-6a79f82e9b7f,http://data.europa.eu/esco/skill/eb8babfb-ab91-4937-a032-6a79f82e9b7f,analyse financial risk,optional,skill/competence,50,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,91816e1a-d026-4d21-9b1c-59ca5cf488de,http://data.europa.eu/esco/skill/91816e1a-d026-4d21-9b1c-59ca5cf488de,analyse internal factors of companies,essential,skill/competence,100,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,292549e6-08ec-456c-b008-eba7a0a68428,http://data.europa.eu/esco/skill/292549e6-08ec-456c-b008-eba7a0a68428,analyse market financial trends,optional,skill/competence,50,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,f1b5800e-b763-4740-9586-3fef30568e81,http://data.europa.eu/esco/skill/f1b5800e-b763-4740-9586-3fef30568e81,analyse production processes for improvement,optional,skill/competence,50,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,b363bb5f-2c79-40af-94da-33e06f9dee9f,http://data.europa.eu/esco/skill/b363bb5f-2c79-40af-94da-33e06f9dee9f,apply blended learning,optional,skill/competence,50,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,5f0082ab-2131-49b5-94d6-a1821daf57d6,http://data.europa.eu/esco/skill/5f0082ab-2131-49b5-94d6-a1821daf57d6,apply for research funding,optional,skill/competence,50,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,833289fa-3646-4010-9d9e-93ba8c9ef2d8,http://data.europa.eu/esco/skill/833289fa-3646-4010-9d9e-93ba8c9ef2d8,apply research ethics and scientific integrity principles in research activities,optional,skill/competence,50,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,7a34b3d9-bd3b-4f4e-a0f6-f97439901cb7,http://data.europa.eu/esco/skill/7a34b3d9-bd3b-4f4e-a0f6-f97439901cb7,apply scientific methods,optional,skill/competence,50,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,21056f6a-8a85-4eb0-b709-468578b809e0,http://data.europa.eu/esco/skill/21056f6a-8a85-4eb0-b709-468578b809e0,assess the feasibility of implementing developments,essential,skill/competence,100,ESCO v1.2.1,False
M122301,Research and Development Manager,122301,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,unique_exact_preferred_title_same_isco_group,pending_domain_owner_review,d6179c4b-ff5a-4bbb-a3c8-e0acf0de1f56,http://data.europa.eu/esco/skill/d6179c4b-ff5a-4bbb-a3c8-e0acf0de1f56,assist scientific research,optional,skill/competence,50,ESCO v1.2.1,False
