skill_id,alias,alias_source
000bb1e4-89f0-4b86-be05-05ece3641724,apply toxicological testing methods,esco_altLabel
000bb1e4-89f0-4b86-be05-05ece3641724,carry out toxicological studies,esco_altLabel
000bb1e4-89f0-4b86-be05-05ece3641724,perform toxicological study,esco_altLabel
000bb1e4-89f0-4b86-be05-05ece3641724,perform toxicological tests,esco_altLabel
000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell techniques,esco_altLabel
00506f28-e884-4496-800c-3477c67eb355,exercise and sports medicine,esco_altLabel
00506f28-e884-4496-800c-3477c67eb355,sports injury medicine,esco_altLabel
00506f28-e884-4496-800c-3477c67eb355,sports injury treatment,esco_altLabel
00506f28-e884-4496-800c-3477c67eb355,sports medicine,esco_altLabel
0058526a-11e9-40a1-ab33-7c5ffdf5da05,carry out research on flora,esco_altLabel
0058526a-11e9-40a1-ab33-7c5ffdf5da05,flora research,esco_altLabel
0058526a-11e9-40a1-ab33-7c5ffdf5da05,perform research on flora,esco_altLabel
0058526a-11e9-40a1-ab33-7c5ffdf5da05,research on flora,esco_altLabel
0058526a-11e9-40a1-ab33-7c5ffdf5da05,run research on flora,esco_altLabel
00b9a3aa-7070-4bb5-8020-f228a97cf42f,create technical documentation,esco_altLabel
00b9a3aa-7070-4bb5-8020-f228a97cf42f,create technical documentation and academic writings,esco_altLabel
00b9a3aa-7070-4bb5-8020-f228a97cf42f,write scientific and academic papers,esco_altLabel
00b9a3aa-7070-4bb5-8020-f228a97cf42f,write technical documentation,esco_altLabel
013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop 4.0.0,esco_hiddenLabel
013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop 4.6.0,esco_hiddenLabel
013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop 4.7.0,esco_hiddenLabel
013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop 5.0.0,esco_hiddenLabel
013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop platform,esco_altLabel
013441c1-1f13-47e9-80c4-9a53e8e1bc05,kdevplatform,esco_altLabel
01755f08-4df4-4cf0-8d22-08f94cad68b5,labour organising,esco_altLabel
01755f08-4df4-4cf0-8d22-08f94cad68b5,organise workers,esco_altLabel
01755f08-4df4-4cf0-8d22-08f94cad68b5,organising labour,esco_altLabel
01755f08-4df4-4cf0-8d22-08f94cad68b5,organising workers,esco_altLabel
01755f08-4df4-4cf0-8d22-08f94cad68b5,organize labor,esco_altLabel
01755f08-4df4-4cf0-8d22-08f94cad68b5,worker organising,esco_altLabel
01755f08-4df4-4cf0-8d22-08f94cad68b5,workers organising,esco_altLabel
01c03003-516d-43c6-8477-45c472413521,advise about construction materials,esco_altLabel
01c03003-516d-43c6-8477-45c472413521,advise regarding construction materials,esco_altLabel
01c03003-516d-43c6-8477-45c472413521,give advice on construction materials,esco_altLabel
01c03003-516d-43c6-8477-45c472413521,giving advice on construction materials,esco_altLabel
01c03003-516d-43c6-8477-45c472413521,giving of advice on construction materials,esco_altLabel
01c03003-516d-43c6-8477-45c472413521,provide advice on construction materials,esco_altLabel
01d80f57-3906-44e9-8592-fd1bd8a35808,dentistry medico-biological and medical sciences,esco_altLabel
01d80f57-3906-44e9-8592-fd1bd8a35808,dentistry-related medico-biological and medical sciences,esco_altLabel
01d80f57-3906-44e9-8592-fd1bd8a35808,medico-biological and medical aspects of dentistry,esco_altLabel
01d80f57-3906-44e9-8592-fd1bd8a35808,medico-biological and medical principles relevant for dentistry,esco_altLabel
02058de6-4b98-449f-8a45-8588b0eb2446,network architecture,esco_altLabel
020918ef-4b55-47c1-8430-ab7b8f6a7377,drift existing data,esco_altLabel
020b3c27-bae1-4b85-9d6f-eccee0f5ed99,control and monitor supplies,esco_altLabel
020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supply chain,esco_altLabel
020b3c27-bae1-4b85-9d6f-eccee0f5ed99,monitor and control supplies,esco_altLabel
020b3c27-bae1-4b85-9d6f-eccee0f5ed99,plan supplies,esco_altLabel
020b3c27-bae1-4b85-9d6f-eccee0f5ed99,supplies management,esco_altLabel
020b3c27-bae1-4b85-9d6f-eccee0f5ed99,supplies managing,esco_altLabel
020b3c27-bae1-4b85-9d6f-eccee0f5ed99,supplies planning,esco_altLabel
020b3c27-bae1-4b85-9d6f-eccee0f5ed99,supply chain management,esco_altLabel
02137a68-6860-45e8-8e4d-38db467bb8b6,human factors regarding health and safety,esco_altLabel
02137a68-6860-45e8-8e4d-38db467bb8b6,human health and safety considerations,esco_altLabel
02137a68-6860-45e8-8e4d-38db467bb8b6,human health and safety implications,esco_altLabel
02137a68-6860-45e8-8e4d-38db467bb8b6,human safety considerations,esco_altLabel
02137a68-6860-45e8-8e4d-38db467bb8b6,human safety factors,esco_altLabel
02137a68-6860-45e8-8e4d-38db467bb8b6,human safety implications,esco_altLabel
022dc430-872a-473a-9cf4-fed4895e58ad,define database physical storage structure,esco_altLabel
023e4b09-a193-4c2b-9009-f7dc9326a19b,accomplish oral health diagnosis,esco_altLabel
023e4b09-a193-4c2b-9009-f7dc9326a19b,carry out oral health diagnosis,esco_altLabel
023e4b09-a193-4c2b-9009-f7dc9326a19b,conduct oral health diagnosis,esco_altLabel
023e4b09-a193-4c2b-9009-f7dc9326a19b,diagnose a patient's oral health,esco_altLabel
023e4b09-a193-4c2b-9009-f7dc9326a19b,execute oral health diagnosis,esco_altLabel
023e4b09-a193-4c2b-9009-f7dc9326a19b,fulfill oral health diagnosis,esco_altLabel
023e4b09-a193-4c2b-9009-f7dc9326a19b,record oral health diagnosis,esco_altLabel
023e4b09-a193-4c2b-9009-f7dc9326a19b,record patient's oral and dental state,esco_altLabel
023f4870-b417-4bd2-b0ae-78e61587c79f,the study of Earth’s surface,esco_altLabel
0295b2a4-fb86-495f-9547-d479532fc4c2,oversee financial transactions,esco_altLabel
0295b2a4-fb86-495f-9547-d479532fc4c2,trace financial transaction,esco_altLabel
0295b2a4-fb86-495f-9547-d479532fc4c2,tracing financial transactions,esco_altLabel
0295b2a4-fb86-495f-9547-d479532fc4c2,track financial transactions,esco_altLabel
02b6350e-433a-42b1-b620-92fc53b9a14d,control remote sensing equipment,esco_altLabel
02b6350e-433a-42b1-b620-92fc53b9a14d,employ remote sensing equipment,esco_altLabel
02b6350e-433a-42b1-b620-92fc53b9a14d,operation of remote sensing equipment,esco_altLabel
02b6350e-433a-42b1-b620-92fc53b9a14d,remote sensing equipment operation,esco_altLabel
02b6350e-433a-42b1-b620-92fc53b9a14d,run remote sensing equipment,esco_altLabel
