skill_id,concept_uri,preferred_label,skill_type,official_skill_type_raw,reuse_level,status,modified_date,definition_source_field,embedding_text,embedding_model,embedding_dimensions,l2_normalized,source_version
6e53fd99-b646-4327-9580-ac062ab21188,http://data.europa.eu/esco/skill/6e53fd99-b646-4327-9580-ac062ab21188,3D lighting,knowledge,knowledge,sector-specific,released,2024-02-09T17:29:09.009Z,description,3D lighting. The arrangement or digital effect which simulates lighting in a 3D environment.,sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
97965983-0da4-4902-9daf-d5cd2693ef73,http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73,3D modelling,knowledge,knowledge,cross-sector,released,2023-07-11T15:24:28.916Z,description,3D modelling. The process of developing a mathematical representation of any three-dimensional surface of an object via specialised software. The product is called a 3D model. It can be displayed as a two-dimensional image through a process called 3D rendering or used in a computer simulation of physical phenomena. The model can also be physically created using 3D printing devices.,sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
eb0e5615-1575-4a86-a1a2-7d39595033c5,http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,ABAP,knowledge,knowledge,sector-specific,released,2025-06-25T08:20:05.218Z,description,"ABAP. The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ABAP.",sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
9a35cb50-8106-45f9-8aba-2df99dd6f913,http://data.europa.eu/esco/skill/9a35cb50-8106-45f9-8aba-2df99dd6f913,ABBYY FineReader,knowledge,knowledge,sector-specific,released,2025-06-25T08:20:05.218Z,description,"ABBYY FineReader. The computer program ABBYY FineReader is software that electronically converts printed and typed images into machine-encoded text so that documents can be electronically stored, edited and digitally displayed.",sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
c0ccbd15-36f3-4515-ae0b-b4062d225ee2,http://data.europa.eu/esco/skill/c0ccbd15-36f3-4515-ae0b-b4062d225ee2,abide by regulations on banned materials,skill/competence,skill/competence,sector-specific,released,2024-02-09T17:29:15.235Z,description,"abide by regulations on banned materials. Comply with regulations banning heavy metals in solder, flame retardants in plastics, and phthalate plasticisers in plastics and wiring harness insulations, under EU RoHS/WEEE Directives and China RoHS legislation.",sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
f90d4810-8bac-4e5e-b870-3e35a4138ff7,http://data.europa.eu/esco/skill/f90d4810-8bac-4e5e-b870-3e35a4138ff7,accept own accountability,skill/competence,skill/competence,sector-specific,released,2024-02-09T17:29:15.968Z,description,accept own accountability. Accept accountability for one`s own professional activities and recognise the limits of one`s own scope of practice and competencies.,sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
ecc18804-a466-40d9-98b4-fba5cd67dd4b,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,knowledge,knowledge,cross-sector,released,2024-02-09T17:29:09.009Z,description,accounting. The documentation and processing of data regarding financial activities.,sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
08371fe9-c658-4f6a-966f-71dbb0ab683d,http://data.europa.eu/esco/skill/08371fe9-c658-4f6a-966f-71dbb0ab683d,accounting department processes,knowledge,knowledge,sector-specific,released,2024-02-09T17:29:10.678Z,description,"accounting department processes. The different processes, duties, jargon, role in an organisation, and other specificities of the accounting department within an organisation such as bookkeeping, invoices, recording, and taxing.",sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
880c54f9-866e-4f37-b5fa-25ef8a7d49b6,http://data.europa.eu/esco/skill/880c54f9-866e-4f37-b5fa-25ef8a7d49b6,accounting techniques,knowledge,knowledge,cross-sector,released,2024-02-09T17:29:11.47Z,description,"accounting techniques. The techniques of recording and summarising business and financial transactions and analysing, verifying, and reporting the results.",sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
c09bf6d4-f8a7-40f3-aead-ef01643f2352,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,achieve sales targets,skill/competence,skill/competence,cross-sector,released,2024-02-09T17:29:13.7Z,description,"achieve sales targets. Reach set sales goals, measured in revenue or sold units. Reach the target within a specific timeframe, prioritise sold products and services accordingly and plan in advance.",sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
26879b10-1df9-4071-a4c5-cb8e32eddb99,http://data.europa.eu/esco/skill/26879b10-1df9-4071-a4c5-cb8e32eddb99,acoustics,knowledge,knowledge,cross-sector,released,2024-02-09T17:29:09.009Z,description,"acoustics. The study of sound, its reflection, amplification and absorption in a space.",sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
c9f4efcd-e16a-4515-a0cb-60c6c479853d,http://data.europa.eu/esco/skill/c9f4efcd-e16a-4515-a0cb-60c6c479853d,actuarial science,knowledge,knowledge,sector-specific,released,2024-02-09T17:29:14.494Z,description,"actuarial science. The rules of applying mathematical and statistical techniques to determine potential or existing risks in various industries, such as finance or insurance.",sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
409b165c-ddae-4366-aeac-fa95c79e57a9,http://data.europa.eu/esco/skill/409b165c-ddae-4366-aeac-fa95c79e57a9,adapt artistic plan to location,skill/competence,skill/competence,sector-specific,released,2024-02-09T17:29:09.009Z,description,adapt artistic plan to location. Adjust plans to other locations with regards to the artistic concept.,sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
f191c306-f0eb-4cb8-82fb-3331adbbc6f1,http://data.europa.eu/esco/skill/f191c306-f0eb-4cb8-82fb-3331adbbc6f1,adapt energy distribution schedules,skill/competence,skill/competence,sector-specific,released,2024-02-09T17:29:10.678Z,description,"adapt energy distribution schedules. Monitor the procedures involved in the distribution of energy in order to assess whether energy supply must be increased or decreased depending on changes in demand, and incorporate these changes into the distribution schedule. Ensure that the changes are complied with.",sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
c0733631-0c5e-4b5c-a291-aad52ca493ce,http://data.europa.eu/esco/skill/c0733631-0c5e-4b5c-a291-aad52ca493ce,adapt existing designs to changed circumstances,skill/competence,skill/competence,sector-specific,released,2024-02-09T17:29:12.952Z,description,adapt existing designs to changed circumstances. Adapt an existing design to changed circumstances and ensure that the artistic quality of the original design is reflected in the final result.,sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
9fec670e-4427-482f-b2ce-6355cba6b68e,http://data.europa.eu/esco/skill/9fec670e-4427-482f-b2ce-6355cba6b68e,adapt hearing tests,skill/competence,skill/competence,sector-specific,released,2024-02-09T17:29:09.009Z,description,adapt hearing tests. Adapt hearing tests to suit the age and ability of the patient.,sentence-transformers/all-MiniLM-L6-v2,384,True,ESCO v1.2.1
