"role_id","masco_code","role_title","candidate_rank","candidate_esco_code","candidate_esco_title","candidate_esco_uri","retrieval_score","title_cosine","profile_cosine","same_four_digit_group","selected_primary","status","score_is_probability"
"M111201","111201","Senior Government Officials","1","1112.6","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","0.634097","0.634152","0.679243","True","True","selected","False"
"M111201","111201","Senior Government Officials","2","1111.2","government minister","http://data.europa.eu/esco/occupation/404a50e9-61ce-448d-a695-bbfc697a0727","0.617867","0.610363","0.632517","False","False","alternative_not_used","False"
"M111201","111201","Senior Government Officials","3","2422.13","political affairs officer","http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a","0.568744","0.604501","0.543493","False","False","alternative_not_used","False"
"M111201","111201","Senior Government Officials","4","1120.3","chief executive officer","http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2","0.566888","0.57167","0.550906","False","False","alternative_not_used","False"
"M111201","111201","Senior Government Officials","5","2422.12.6","fiscal affairs policy officer","http://data.europa.eu/esco/occupation/50e00fda-ac7c-4bc5-9f19-69a33ff3d6e7","0.55329","0.56131","0.596286","False","False","alternative_not_used","False"
"M111201","111201","Senior Government Officials","6","3353.2.1","pensions administrator","http://data.europa.eu/esco/occupation/6724e558-2d75-4116-a473-91a4c14d4c69","0.53887","0.564261","0.528574","False","False","alternative_not_used","False"
"M111201","111201","Senior Government Officials","7","3343.1","administrative assistant","http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652","0.532521","0.583102","0.487879","False","False","alternative_not_used","False"
"M111201","111201","Senior Government Officials","8","2422.12","policy officer","http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8","0.532111","0.575741","0.551489","False","False","alternative_not_used","False"
"M112104","112104","Chief Technical Officer","1","1330.3","chief technology officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","0.839385","0.918905","0.720779","False","True","selected","False"
"M112104","112104","Chief Technical Officer","2","1330.2","chief information officer","http://data.europa.eu/esco/occupation/82f90e87-de92-4678-adae-61d3e5f7e1e4","0.715333","0.811149","0.599308","False","False","alternative_not_used","False"
"M112104","112104","Chief Technical Officer","3","1223.3","chief product officer","http://data.europa.eu/esco/occupation/8a0afc76-4a09-449a-9e7b-a33495889f95","0.704726","0.810876","0.562901","False","False","alternative_not_used","False"
"M112104","112104","Chief Technical Officer","4","2529.1","chief ICT security officer","http://data.europa.eu/esco/occupation/276ba420-ef09-4a0e-b215-2c2e2f80ad28","0.685966","0.756947","0.56368","False","False","alternative_not_used","False"
"M112104","112104","Chief Technical Officer","5","1120.3","chief executive officer","http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2","0.673751","0.816892","0.441243","False","False","alternative_not_used","False"
"M112104","112104","Chief Technical Officer","6","1221.3","chief marketing officer","http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321","0.67115","0.771318","0.469183","False","False","alternative_not_used","False"
"M112104","112104","Chief Technical Officer","7","1330.1","chief data officer","http://data.europa.eu/esco/occupation/e297ec12-4712-40a4-ad98-ba004cacb205","0.670814","0.754441","0.504343","False","False","alternative_not_used","False"
"M112104","112104","Chief Technical Officer","8","1120.4","chief operating officer","http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3","0.648999","0.807784","0.402169","False","False","alternative_not_used","False"
"M121101","121101","Budgeting/Financial Accounting Manager","1","1211.1.1","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.794106","0.789975","0.733846","True","True","selected","False"
"M121101","121101","Budgeting/Financial Accounting Manager","2","1211.1.3","budget manager","http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f","0.784817","0.785397","0.787371","True","False","alternative_not_used","False"
"M121101","121101","Budgeting/Financial Accounting Manager","3","1211.1","financial manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.710142","0.716126","0.69815","True","False","alternative_not_used","False"
