"role_id","role_title","masco_code","masco_unit_group_code","chosen_esco_code","chosen_esco_title","chosen_esco_uri","mapping_relation","mapping_confidence","mapping_rationale","review_status","production_ready","cleaned_masco_title","masco_description","masco_tasks","esco_description","esco_alternate_labels","matched_esco_label","matched_label_type","retrieval_score","retrieval_score_is_probability","source_quality_flag","masco_source_url","esco_source_url"
"M111201","Senior Government Officials","111201","1112","1112.6","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","broader_proxy","medium","Public-sector administration responsibilities; Malaysian rank is not represented.","assistant_drafted_pending_domain_validation","False","Senior Government Officials","Senior Government Officials refer to high-level public sector leaders responsible for overseeing national and state administration, providing strategic advice, and ensuring the effective implementation of government policies, laws, and programmes. They play key roles in managing public institutions, safeguarding financial and legal accountability, maintaining national security and public order, delivering essential public services, and representing the government in diplomatic and international relations. Their responsibilities also include coordinating across agencies, advising political leadership, and ensuring that governance is carried out efficiently, transparently, and in accordance with established laws and constitutional provisions to support national development and public well-being.","Plan, formulate and implement government policies, strategies and programmes at federal and state levels. Provide strategic advice to the government on policy, legal, financial, economic and administrative matters. Coordinate, direct and monitor the implementation of policies and activities across departments, agencies and statutory bodies. Manage public sector administration, including planning, control and evaluation of organisational performance. Ensure accountability, transparency and integrity in public financial management through auditing and regulatory oversight. Develop and manage fiscal, financial and accounting policies, including the preparation and monitoring of government budgets. Safeguard national security and public order, including law enforcement and national defence. Deliver and ensure the effectiveness of public services, including health, safety and public welfare. Represent the government in diplomatic relations, international negotiations, and protect national interests and citizens abroad. Collect, analyse and disseminate information and data to support national planning and policy formulation.","Public administration managers direct, monitor and evaluate the implementation of government policies. They supervise staff and manage resources used for implementation, and write reports on the implementation process. They also communicate with government officials and the public to inform them on the policies. Public administration managers may also participate in the design and creation of public policies.","chief of staff
government department manager
public institution director
public service administrator
public administration director
city administrator
public administrator
public body administrator
local authority officer
district council manager
public body manager
public service director
civil service administrator
county council manager","government department manager","alternate","0.634097","False","","https://emasco.mohr.gov.my/masco/1112-01","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d"
"M112104","Chief Technical Officer","112104","1121","1330.3","chief technology officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","close_match","medium","Technical strategy and technology leadership align with chief technology officer.","assistant_drafted_pending_domain_validation","False","Chief Technical Officer","Chief Technical Officer (CTO) leads the company’s technology strategy, overseeing the development, implementation, and maintenance of systems and products that support business objectives. They plan for future technological advancements, drive innovation, and manage relationships with external technology partners to ensure effective and efficient technological solutions.","Develop and implement technology strategies to support business objectives. Coordinate cross-functional alignment to ensure products and services meet customer and market needs. Lead and manage research and development (R&D) teams to drive innovation. Oversee and govern software, hardware, and system development processes. Evaluate and integrate new technologies to enhance products or services. Establish and enforce cybersecurity policies to protect company data and IT systems. Develop long-term technology plans, including staff training and development. Manage technical budgets and allocate resources effectively. Collaborate with stakeholders to align technology initiatives with business goals. Monitor emerging technology trends to maintain competitive advantage.","Chief technology officers contribute to a company's technical vision and lead all aspects of technology development, according to its strategic direction and growth objectives. They match technology with business needs.","chief technology officers
IT director
chief digital officer
information technology director
CTO","chief technology officer","preferred","0.839385","False","","https://emasco.mohr.gov.my/masco/1121-04","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f"
"M121101","Budgeting/Financial Accounting Manager","121101","1211","1211.1.1","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","partial_proxy","low","Accounting management selected as primary; budgeting is an additional component.","assistant_drafted_pending_domain_validation","False","Budgeting/Financial Accounting Manager","Budgeting/Financial Accounting Manager oversees and manages an organisation’s financial planning, budgeting, and expenditure operations, ensuring that resources are allocated efficiently and financial activities comply with regulations. The manager assesses financial proposals, monitors spending, and provides insights to optimise costs and supports decision-making, while collaborating with departments to track performance, forecast budgets, and evaluates the financial impact of projects. The manager’s role also involves supervising accounting activities, preparing management reports, and contributing to business growth through effective financial oversight and strategic planning.","Develop, monitor, and update organisational budgets in alignment with strategic objectives. Prepare financial reports, forecasts, and projections to support planning and decision-making. Analyse financial performance, trends, and variances against budgets and targets. Control and monitor expenditures to ensure efficient and cost-effective use of resources. Provide financial analysis and advisory support to management on budgeting, costing, and investment decisions. Coordinate with internal departments to develop financial plans and assess resource requirements. Ensure the accuracy, completeness, and timeliness of financial statements and budgetary information. Manage capital expenditure planning and evaluate funding or investment proposals.","Accounting managers assume responsibility for all accounting activities relating to financial reporting. They develop and maintain accounting principles and procedures to ensure timely and accurate financial statements, supervise accounting staff and manage the accounting activities within the appropriate time frame and budget.","financial director
head of accounts
accounts payable manager
financial accounts supervisor
accounting office manager
accounting department manager
accounting director
group accounting manager
financial accounting manager
cost accounting manager","financial accounting manager","alternate","0.794106","False","","https://emasco.mohr.gov.my/masco/1211-01","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b"
"M121102","Audit and Risk Management Manager","121102","1211","2412.3","corporate risk manager","http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0","partial_proxy","low","Organisation-wide risk and governance; audit management is only partly represented.","assistant_drafted_pending_domain_validation","False","Audit and Risk Management Manager","Audit and Risk Management Manager plans, organises, and oversees the organisation’s audit and risk management functions, ensuring compliance with financial regulations and internal controls. They lead audit and risk assessment activities, evaluate operational and financial performance, identify potential risks, and recommend measures to mitigate losses or non-compliance. The role includes supervising teams, managing client or departmental relationships, preparing reports, and providing strategic advice to senior management to enhance governance and business processes.","Plan, organise, and oversee audits and risk assessments across the organisation. Develop and implement audit programmes and risk management strategies. Conduct audits of financial records, operations, and internal controls to ensure compliance with laws, regulations, and corporate governance standards. Identify and assess potential financial, operational, and strategic risks, and recommend mitigation measures. Monitor the effectiveness of risk management and corrective action plans. Prepare and present audit and risk management reports, including findings and recommendations, to senior management and stakeholders. Lead, mentor, and train audit and risk management teams to enhance performance and compliance. Manage relationships with clients, regulatory authorities, and internal departments regarding audit and risk matters. Ensure organisational readiness for crises and implement business continuity plans. Advise management on improving internal controls, governance, and operational efficiency.","Corporate risk managers identify and assess potential threats and opportunities to a company, and give advice on how to deal with them. They create preventive plans to avoid and reduce risks, and put plans in place for when the company is threatened. They coordinate risk management aspects across the different functions of an organisation and are responsible for technical activities such as risk assessment, risk mapping and insurance purchase. They report on risk issues to the senior management and the company's board.","risk and insurance consultant
corporate risk department manager
operational risk manager
chief risk executive
chief risk officer
risk management director
risk management specialist","corporate risk department manager","alternate","0.706749","False","","https://emasco.mohr.gov.my/masco/1211-02","http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0"
"M121103","Credit Manager","121103","1211","3312.3","credit manager","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae","close_match","high","Credit policy, lending control and credit-team management.","assistant_drafted_pending_domain_validation","False","Credit Manager","Credit Manager plans, organises, leads, and oversees an organisation’s credit operations, developing and implementing credit policies and procedures. The manager assesses the creditworthiness of clients, monitors credit risk, ensures compliance with credit limits, and advises senior management on exposure, while managing a team of credit officers and maintaining strong customer relationships to support business growth.","Plan, organise, lead, control, and coordinate credit operations. Review and assess credit applications and associated risks. Establish and manage customer credit limits. Develop and implement organisational credit policies. Monitor customer payment behaviour and resolve overdue accounts. Analyse financial statements to determine creditworthiness. Manage and train a team of credit officers. Consult with senior management and departmental managers on credit matters. Prepare reports for senior management on credit status and outstanding payments.","Credit managers oversee the application of credit policy in the bank. They decide the credit limits to be imposed, the reasonable levels of risk accepted and the conditions and terms of payment made to the customers. They control the collection of payments from their customers and manage the credit department of a bank.","consumer credit manager
credit controller
loan and credit manager
credit administration manager
credit control manager
credit policy manager
credit control supervisor
credit and collection manager
credit department manager
senior credit officer
branch credit administrator","credit manager","preferred","0.926923","False","","https://emasco.mohr.gov.my/masco/1211-03","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae"
"M121104","Insurance Manager","121104","1211","1346.4","insurance agency manager","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0","broader_proxy","medium","Insurance operations management; exact organisational scope may differ.","assistant_drafted_pending_domain_validation","False","Insurance Manager","Insurance Manager coordinates, oversees insurance operations, and manages the daily activities of a company or department to ensure efficient service delivery. The manager leads underwriters and agents, develops insurance products, sets performance targets, and ensures compliance with regulations. The manager’s role also involves strategic planning, risk assessment, handling claims and disputes, and maintaining customer relationships to support business growth and operational effectiveness.","Coordinate and supervise overall insurance operations to ensure efficiency and service quality. Design, implement, and monitor insurance products and services. Ensure compliance with relevant laws and regulations. Set and achieve insurance sales and performance targets. Analyse and monitor company performance and financial operations. Oversee training and development of underwriters, agents, and service teams. Oversee the resolution of complex customer complaints, claims, and disputes on insurance matters. Plan budgets and perform financial forecasting for insurance products and services. Report department performance and strategic initiatives to senior management. Develop and maintain partnerships with brokers, agents, and key stakeholders to expand business opportunities.","Insurance agency managers coordinate and oversee the operations of an institution or a branch of an institution that offers insurance services. They provide clients with advice on insurance products.","insurance company manager
life insurance agency manager
insurance institution manager
insurance agency road assistance manager
car insurance agency manager
insurance agent
insurance services branch manager
home insurance agency manager
rental agency insurance manager
insurance company manager s","insurance agency manager","preferred","0.875087","False","","https://emasco.mohr.gov.my/masco/1211-04","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0"
"M121105","Fund/Portfolio Manager","121105","1211","2412.7","investment fund manager","http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358","close_match","medium","Investment fund and portfolio management.","assistant_drafted_pending_domain_validation","False","Fund/Portfolio Manager","Fund/Portfolio Manager oversees and manages an investment or insurance portfolio, ensuring alignment with organisational objectives and client goals. The manager directs portfolio strategy, including fund allocation across various assets, underwriting, and risk assessment, while monitoring performance and market trends to optimise returns. The manager’s role involves leading teams of analysts and underwriters, developing policies and guidelines, and engaging with clients and partners to report performance and implement strategic adjustments.","Develop and implement investment and portfolio strategies based on market trends, economic conditions, and client objectives. Analyse financial data, asset performance, and market information to support investment decisions. Monitor and adjust portfolios to optimise returns and manage investment risks. Conduct portfolio risk assessments and ensure compliance with relevant financial regulations and policies. Communicate with clients and stakeholders, providing updates and discussing portfolio performance. Prepare and present investment reports to clients or senior management. Collaborate with analysts, traders, and internal teams to support investment decision-making.","Investment fund managers implement and monitor the investment strategy of a fund. They manage the fund's portfolio trading activities and supervise the financial, securities, and investment analysts in charge to perform research on the investments and then make buying and selling recommendations. They make decisions on when to buy or sell the assets included in a portfolio. Investment fund managers works in a variety of settings such as banks, investment vehicles and stockbroking companies, working closely with the investment analyst. This occupation manages strategy and does not always work with relations between shareholders or investors.","fund director
investment fund adviser
fixed income portfolio manager
fund directors
fund manager
fund managers
portfolio managers
investments fund manager
investment managers
investments manager
portfolio administrators
investment fund coordinator
portfolio administrator
investment fund portfolio manager
investment fund advisor","portfolio managers","alternate","0.857774","False","","https://emasco.mohr.gov.my/masco/1211-05","http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358"
"M121107","Tax Manager","121107","1211","2411.1.12","tax advisor","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723","broader_proxy","medium","Tax advisory and compliance proxy; managerial level and transfer-pricing specialty need local enrichment.","assistant_drafted_pending_domain_validation","False","Tax Manager","Tax Manager plans, manages, and oversees an organisation’s tax affairs to ensure compliance with applicable laws and regulations while supporting effective tax outcomes. The manager is responsible for coordinating tax compliance, reporting, and advisory activities across areas such as corporate and indirect taxation, transfer pricing, and statutory filings, and for managing engagements with tax authorities. The manager’s role also involves advising senior management on the tax implications of business decisions and strategies to support lawful tax efficiency.","Deliver comprehensive tax services, ensuring compliance with applicable laws and regulations within established deadlines. Oversee tax compliance, including the preparation and submission of tax returns and corporate filings. Provide tax planning advice and review complex income tax returns. Identify, assess, and mitigate tax risks across organisational operations. Liaise with external auditors and tax authorities to address tax-related matters and ensure compliance. Review financial statements to assess tax implications and resolve any discrepancies. Mentor and supervise junior tax staff, including reviewing their work for accuracy and compliance.","Tax advisors use their expertise in tax legislation to provide commercially-focused advisory and consultancy services to a wide range of clients from all economic sectors. They explain complicated tax-related legislation to their clients and assist them in ensuring the most efficient and beneficial payment of taxes by devising tax-efficient strategies. They also inform them of fiscal changes and developments and may specialise in tax strategies concerning mergers or multinational reconstruction for business clients, trust and estate taxes for individual clients etc.","fiscal advisor
tax specialist
tax expert
tax evaluator
tax preparer
tax adviser
tax consultant
tax advisors
chartered tax adviser
corporate tax preparer
tax examiner
licensed tax consultant","tax examiner","alternate","0.735558","False","","https://emasco.mohr.gov.my/masco/1211-07","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723"
"M121108","Claims Manager","121108","1211","1346.5","insurance claims manager","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b","close_match","medium","Insurance claims management.","assistant_drafted_pending_domain_validation","False","Claims Manager","Claims Manager oversees and manages an insurance claims processing unit to ensure claims are investigated, assessed, and settled accurately and efficiently in accordance with organisational policies, regulatory requirements, and legal standards. The manager plans and coordinates operations, supervises and guides staff, and monitors workflows to manage financial exposure and mitigate risk. The manager also liaises with senior management and relevant functions to resolve complex claims issues and support effective claims governance.","Review, assess, and approve claims in accordance with policy coverage, investigation findings, and legal guidelines. Supervise and lead a team of claims adjusters or officers to ensure efficient and timely claims handling. Negotiate claim settlements with claimants, policyholders, or third parties in line with policy terms and legal requirements. Provide technical expertise to resolve complex or high-value claims. Ensure compliance with industry regulations and company procedures in all claims activities. Conduct claims-related reviews and investigations to support accurate and fair claims resolution. Develop and implement strategies to prevent fraudulent claims and manage associated risks. Monitor claims operations to ensure accuracy in claims processing and financial reporting. Analyse claims performance and recommend improvements to processes and policies.","Insurance claims managers lead the team of insurance claims officers to ensure they handle insurance claims properly and efficiently. They deal with more complex customer complains and assist with fraudulent cases. Insurance claims managers work with insurance brokers, agents, loss adjusters and customers.","insurance claims service manager
head of insurance claims office
insurance claims director
claims director
insurance claims administrator
insurance claims coordinator
claims manager
insurance claim supervisor
insurance and claims manager","claims manager","alternate","0.92","False","","https://emasco.mohr.gov.my/masco/1211-08","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b"
"M121109","Actuarial Valuation Manager","121109","1211","2120.1","actuarial consultant","http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482","broader_proxy","medium","Actuarial valuation work; management responsibility is not fully represented.","assistant_drafted_pending_domain_validation","False","Actuarial Valuation Manager","The Actuarial Valuation Manager leads and oversees actuarial valuation activities to assess the financial impact of risks and liabilities, particularly within insurance companies, pension funds, and related financial institutions. The role applies actuarial and statistical methods to evaluate current and future obligations, ensuring valuations are accurate, compliant with regulatory and professional standards, and suitable for financial reporting. It also provides analytical and strategic insights to support organisational decision-making and regulatory submissions.","Lead and manage actuarial valuation teams, ensuring effective delivery of valuation activities. Conduct periodic actuarial valuations of pension schemes, insurance contracts, and other financial liabilities. Ensure compliance with regulatory requirements and accounting standards, including IFRS 17 and Solvency II. Develop and implement actuarial valuation methodologies and frameworks to support accurate financial assessments. Analyse actuarial and financial data using statistical models and ICT tools to identify trends, correlations, and risks. Prepare detailed actuarial reports for senior management, regulators, and auditors. Collaborate with finance and risk management functions to support integrated financial planning and decision-making. Identify and assess actuarial and financial risks that may impact organisational outcomes, and implement mitigation measures. Supervise and mentor junior actuaries and analysts.","Actuarial consultants analyse, manage and provide guidance on financial impact of risks. They can work in fields related to insurance, pension, investment, banking, healthcare etc. Actuarial consultants apply technical and statistical models and theories to give strategic, commercial, and financial advice.","insurance actuaries
health actuaries
actuarial mathematician
actuarial adviser
actuarial clerks
actuarial analyst
actuarial clerk
insurance actuary
actuaries
actuarial mathematicians
actuarial advisor
consulting actuaries
actuarial analysts
actuarial advisors
consulting actuary
health actuary
actuary","actuarial mathematician","alternate","0.635495","False","","https://emasco.mohr.gov.my/masco/1211-09","http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482"
