"role_id","role_title","masco_code","masco_unit_group_code","chosen_esco_code","chosen_esco_title","chosen_esco_uri","mapping_relation","mapping_confidence","mapping_rationale","review_status","production_ready","masco_code_printed","chosen_esco_isco_group","d11_esco_code","d11_esco_comparison_codes","d11_esco_comparison_titles","previous_d13_esco_code","previous_d13_mapping_status","change_type","mapping_status","mapping_method","mapping_authority","title_match_type","title_match_score","score_interpretation","same_four_digit_group","use_in_role_skills","specialty_skills_complete","coverage_note","source_quality_flag","masco_source_url","esco_source_url"
"M111201","Senior Government Officials","111201","1112","1112.6","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","broader_proxy","medium","Public-sector administration responsibilities; Malaysian rank is not represented.","assistant_drafted_pending_domain_validation","False","1112-01","1112","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.428571","Lexical similarity, not probability or equivalence confidence","True","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1112-01","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d"
"M112104","Chief Technical Officer","112104","1121","1330.3","chief technology officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","close_match","medium","Technical strategy and technology leadership align with chief technology officer.","assistant_drafted_pending_domain_validation","False","1121-04","1330","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.851064","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1121-04","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f"
"M121101","Budgeting/Financial Accounting Manager","121101","1211","1211.1.1","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","partial_proxy","low","Accounting management selected as primary; budgeting is an additional component.","assistant_drafted_pending_domain_validation","False","1211-01","1211","","","","","no_unique_exact_esco_title_match","new_mapping","project_partial_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.848485","Lexical similarity, not probability or equivalence confidence","True","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1211-01","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b"
"M121102","Audit and Risk Management Manager","121102","1211","2412.3","corporate risk manager","http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0","partial_proxy","low","Organisation-wide risk and governance; audit management is only partly represented.","assistant_drafted_pending_domain_validation","False","1211-02","2412","","","","","no_unique_exact_esco_title_match","new_mapping","project_partial_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.636364","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1211-02","http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0"
"M121103","Credit Manager","121103","1211","3312.3","credit manager","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae","close_match","high","Credit policy, lending control and credit-team management.","assistant_drafted_pending_domain_validation","False","1211-03","3312","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","exact_preferred_label","1","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1211-03","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae"
"M121104","Insurance Manager","121104","1211","1346.4","insurance agency manager","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0","broader_proxy","medium","Insurance operations management; exact organisational scope may differ.","assistant_drafted_pending_domain_validation","False","1211-04","1346","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.829268","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1211-04","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0"
"M121105","Fund/Portfolio Manager","121105","1211","2412.7","investment fund manager","http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358","close_match","medium","Investment fund and portfolio management.","assistant_drafted_pending_domain_validation","False","1211-05","2412","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.85","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1211-05","http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358"
"M121107","Tax Manager","121107","1211","2411.1.12","tax advisor","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723","broader_proxy","medium","Tax advisory and compliance proxy; managerial level and transfer-pricing specialty need local enrichment.","assistant_drafted_pending_domain_validation","False","1211-07","2411","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.695652","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1211-07","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723"
"M121108","Claims Manager","121108","1211","1346.5","insurance claims manager","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b","close_match","medium","Insurance claims management.","assistant_drafted_pending_domain_validation","False","1211-08","1346","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","exact_alternate_label","1","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1211-08","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b"
"M121109","Actuarial Valuation Manager","121109","1211","2120.1","actuarial consultant","http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482","broader_proxy","medium","Actuarial valuation work; management responsibility is not fully represented.","assistant_drafted_pending_domain_validation","False","1211-09","2120","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.64","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1211-09","http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482"
"M121111","Transfer Pricing Manager","121111","1211","2411.1.12","tax advisor","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723","broader_proxy","medium","Tax advisory and compliance proxy; managerial level and transfer-pricing specialty need local enrichment.","assistant_drafted_pending_domain_validation","False","1211-11","2411","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.444444","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1211-11","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723"
"M121202","Occupational Safety and Health Manager","121202","1212","1213.7","health safety and environmental manager","http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b","close_match","medium","Management of workplace health, safety and environmental programmes.","assistant_drafted_pending_domain_validation","False","1212-02","1213","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.649351","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1212-02","http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b"
"M121404","Supply Chain and Logistics Management Manager","121404","1214","1324.8","supply chain manager","http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74","close_match","medium","Supply-chain and logistics planning and coordination.","assistant_drafted_pending_domain_validation","False","1214-04","1324","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.727273","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1214-04","http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74"
"M121408","Technology Manager","121408","1214","1330.5","ICT operations manager","http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc","broader_proxy","medium","D11 description concerns IT infrastructure and services, not generic product technology.","assistant_drafted_pending_domain_validation","False","1214-08","1330","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.585366","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1214-08","http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc"
"M121409","Chief Business Officer","121409","1214","1120.3","chief executive officer","http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2","partial_proxy","low","Business leadership proxy; chief business officer is not identical to chief executive.","assistant_drafted_pending_domain_validation","False","1214-09","1120","","","","","no_unique_exact_esco_title_match","new_mapping","project_partial_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.755556","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1214-09","http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2"
"M122301","Research and Development Manager","122301","1223","1223.2","research and development manager","http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440","close_match","high","Research and development leadership, not a narrower product-manager alias.","assistant_drafted_pending_domain_validation","False","1223-01","1223","","","","1223.2","unique_exact_preferred_title_same_isco_group","retained_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","exact_preferred_label","1","Lexical similarity, not probability or equivalence confidence","True","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1223-01","http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440"
"M131101","Forestry Manager","131101","1311","1311.1","forester","http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f","close_match","medium","ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","assistant_drafted_pending_domain_validation","False","1311-01","1311","","","","1311.1","unique_exact_alternate_title_same_isco_group","retained_mapping","project_close_match","reviewed_existing_or_retrieved_candidate","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","exact_alternate_label","1","Lexical similarity, not probability or equivalence confidence","True","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1311-01","http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f"
"M131102","Agricultural Manager","131102","1311","6130.1","farm manager","http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19","broader_proxy","medium","Agricultural production and farm operations management.","assistant_drafted_pending_domain_validation","False","1311-02","6130","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","exact_alternate_label","1","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1311-02","http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19"
"M131103","Veterinary Manager","131103","1311","1120.1","animal facility manager","http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85","partial_proxy","low","Animal-facility operations and staff management; veterinary clinical oversight requires enrichment. D11 task text appears to describe turf maintenance and is excluded from this decision.","assistant_drafted_pending_domain_validation","False","1311-03","1120","","","","","no_unique_exact_esco_title_match","new_mapping","project_partial_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.487805","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","D11 task_summary describes turf maintenance whereas the title/description concerns veterinary management. Mapping uses title and description only.","https://emasco.mohr.gov.my/masco/1311-03","http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85"
"M131104","Field Manager (Grass)","131104","1311","6113.3","horticulture production team leader","http://data.europa.eu/esco/occupation/8e24c53a-9dc6-46d1-986b-48a93f20df2a","partial_proxy","low","Turf maintenance and field-team supervision; horticulture proxy does not imply a tree-only occupation.","assistant_drafted_pending_domain_validation","False","1311-04","6113","","","","","no_unique_exact_esco_title_match","new_mapping","project_partial_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.444444","Lexical similarity, not probability or equivalence confidence","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://emasco.mohr.gov.my/masco/1311-04","http://data.europa.eu/esco/occupation/8e24c53a-9dc6-46d1-986b-48a93f20df2a"
