"role_id","skill_id","skill_name","skill_type","importance"
"M111201","03b9b491-fc9b-4868-914a-bf7cd47b5041","create solutions to problems","skill/competence","100"
"M111201","15c57a2c-b5be-4187-89cf-1b9e02af4822","offer assistance to national citizens","skill/competence","50"
"M111201","2111dff8-f830-46ad-80ce-7885893b3134","coordinate events","skill/competence","50"
"M111201","21c5790c-0930-4d74-b3b0-84caf5af12ea","manage budgets","skill/competence","100"
"M111201","237db40b-4600-47c0-837f-4a2c4f3014ab","project management principles","knowledge","50"
"M111201","2839f191-cd94-49a9-ac16-46018066b8b2","liaise with local authorities","skill/competence","100"
"M111201","2be699a7-416a-4f32-967c-4edc65027b71","government policy implementation","knowledge","100"
"M111201","33406020-ae9d-495f-a635-0b97e5346d8c","legislation procedure","knowledge","100"
"M111201","339ac029-066a-4985-9f9d-b3d7c8fea0bb","manage staff","skill/competence","100"
"M111201","387ee646-0aaa-4161-ab3b-cde87ec09fdf","public finance","knowledge","50"
"M111201","3a876d1c-3dd5-45ed-9a27-47cdbee46ce7","ensure information transparency","skill/competence","50"
"M111201","43b13058-68d0-40c6-8031-caf5a7b7d20c","keep task records","skill/competence","50"
"M111201","496932f1-0b6b-4f73-9432-d95c7ddcd43b","recruit employees","skill/competence","50"
"M111201","5e9de344-2bea-40dc-8410-f940121330e4","maintain relationships with government agencies","skill/competence","100"
"M111201","5fa6cd2f-9bab-4afa-a184-2d2f1401b770","write meeting reports","skill/competence","50"
"M111201","626326d5-1cee-4729-9381-3debc87ddac4","good governance","knowledge","50"
"M111201","6c870993-9341-438b-91c0-c7fe4f96d8f5","apply strategic thinking","skill/competence","50"
"M111201","74688c5d-2af1-4f7a-9d1c-00e808eaa1e6","budgetary principles","knowledge","100"
"M111201","75e48971-3242-4ea5-a1ba-4deec48ad41c","manage teamwork","skill/competence","100"
"M111201","7a8fb784-67fa-41e9-a75c-6b491d91f800","develop strategy to solve problems","skill/competence","100"
"M111201","880c54f9-866e-4f37-b5fa-25ef8a7d49b6","accounting techniques","knowledge","50"
"M111201","906c9e66-bdee-4f8e-93d7-88d9fcf39a0a","fix meetings","skill/competence","50"
"M111201","9601b2a8-68e4-4906-9306-a23679b8f0b0","supervise staff","skill/competence","100"
"M111201","b216d9a2-7d4e-4312-8d05-e375f4ab44d8","ensure cross-department cooperation","skill/competence","100"
"M111201","b88fde8f-1b98-4a83-8a2e-75232be4f725","write situation reports","skill/competence","50"
"M111201","bf5d77ad-e18c-48d8-83f0-bc79c011c74a","develop professional network","skill/competence","50"
"M111201","cc3b901c-4d66-48f8-90b9-41883be1e1ed","plan medium to long term objectives","skill/competence","100"
"M111201","cd5efa8c-e44d-4cbc-91c6-796018dbed68","perform project management","skill/competence","50"
"M111201","cd74c564-57af-4aa2-b775-13e7609ffca1","liaise with politicians","skill/competence","100"
"M111201","d39022ab-d102-4720-b689-540d6f056b17","public administration","knowledge","100"
"M111201","e207163b-7963-4c3e-9494-7a4bb000211b","estimate duration of work","skill/competence","100"
"M111201","e2e15494-65b9-4af5-8b86-53fb51e7e022","manage accounts","skill/competence","50"
"M111201","efb523d0-c998-440d-8639-cd14ba841c4c","public law","knowledge","50"
"M111201","f5dd06b8-5d17-4932-9d03-957d0c4f5051","perform resource planning","skill/competence","50"
"M111201","f78d5c04-a440-4068-90c2-fab03409a911","manage government policy implementation","skill/competence","100"
"M111201","fd446407-b08e-49da-b8e3-7e7c79618c3f","conduct public presentations","skill/competence","50"
"M112104","000f1d3d-220f-4789-9c0a-cc742521fb02","Haskell","knowledge","50"
"M112104","034c29fa-c3ba-45ea-b8f3-bf8e3705e386","Erlang","knowledge","50"
"M112104","03ff0d53-573a-47a0-a0ad-1995815a4339","information structure","knowledge","50"
"M112104","04f1b938-d4d4-4cb1-a863-982af76b9d93","SAS language","knowledge","50"
"M112104","0868eef3-2213-4572-9343-74931345a7d3","administer ICT system","skill/competence","100"
"M112104","0a9acb6b-1139-4be9-b431-3a80a959f2f4","Agile project management","knowledge","50"
"M112104","0aa02c52-077d-45f8-8c2d-7132c11ac16e","carry out strategic research","skill/competence","100"
"M112104","0ccdfe98-f845-4598-84a1-3dca66e9d9a3","Ruby (computer programming)","knowledge","50"
