"role_id","masco_code","role_title","candidate_rank","candidate_esco_code","candidate_esco_title","candidate_esco_uri","retrieval_score","title_cosine","profile_cosine","matched_esco_label","exact_normalized_label","same_four_digit_group","selected_primary","query_masco_version","score_is_probability"
"M112104","112104","Chief Technical Officer","1","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","0.869104","0.918905","0.720779","Chief Technology Officer","false","false","true","2020","false"
"M112104","112104","Chief Technical Officer","2","1330.2","Chief Information Officer","http://data.europa.eu/esco/occupation/82f90e87-de92-4678-adae-61d3e5f7e1e4","0.747109","0.811149","0.599308","Chief Information Officer","false","false","false","2020","false"
"M112104","112104","Chief Technical Officer","3","1223.3","Chief Product Officer","http://data.europa.eu/esco/occupation/8a0afc76-4a09-449a-9e7b-a33495889f95","0.741922","0.810876","0.562901","Chief Product Officer","false","false","false","2020","false"
"M112104","112104","Chief Technical Officer","4","1120.3","Chief Executive Officer","http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2","0.730098","0.816892","0.441243","Chief Executive Officer","false","false","false","2020","false"
"M112104","112104","Chief Technical Officer","5","1221.3","Chief Marketing Officer","http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321","0.71647","0.771318","0.469183","Chief Commercial Officer","false","false","false","2020","false"
"M112104","112104","Chief Technical Officer","6","2529.1","Chief ICT Security Officer","http://data.europa.eu/esco/occupation/276ba420-ef09-4a0e-b215-2c2e2f80ad28","0.714956","0.756947","0.56368","Chief ICT Security Officer","false","false","false","2020","false"
"M112104","112104","Chief Technical Officer","7","1120.4","Chief Operating Officer","http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3","0.709841","0.807784","0.402169","Chief Operating Officer","false","false","false","2020","false"
"M112104","112104","Chief Technical Officer","8","1330.1","Chief Data Officer","http://data.europa.eu/esco/occupation/e297ec12-4712-40a4-ad98-ba004cacb205","0.708329","0.754441","0.504343","Chief Data Officer","false","false","false","2020","false"
"M112104","112104","Chief Technical Officer","9","2654.1.7","Technical Director","http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34","0.662094","0.716275","0.495078","Head of Technical","false","false","false","2020","false"
"M112104","112104","Chief Technical Officer","10","1349.7","Chief Fire Officer","http://data.europa.eu/esco/occupation/a05d0a6d-7b60-445a-8dcb-282c7d5a6852","0.616498","0.680251","0.322895","Chief Fire Officer","false","false","false","2020","false"
"M121104","121104","Budget Manager","1","1211.1.3","Budget Manager","http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f","0.995","1","0.839186","Budget Manager","true","true","true","2020","false"
"M121104","121104","Budget Manager","2","2411.1.4","Budget Analyst","http://data.europa.eu/esco/occupation/4e4a291d-1d38-4c5a-812a-5827d0691b11","0.757023","0.795079","0.665396","Budget Analyst","false","false","false","2020","false"
"M121104","121104","Budget Manager","3","1211.1","Financial Manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.68495","0.700031","0.684133","Finance Manager","false","true","false","2020","false"
"M121104","121104","Budget Manager","4","1211.1.1","Accounting Manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.648224","0.640018","0.692312","Accounting Manager","false","true","false","2020","false"
"M121104","121104","Budget Manager","5","2432.3","Fundraising Manager","http://data.europa.eu/esco/occupation/c2e6609d-0abe-4a38-b295-e06edbd52e82","0.629847","0.646203","0.549076","Fundraising Manager","false","false","false","2020","false"
"M121104","121104","Budget Manager","6","2412.7","Investment Fund Manager","http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358","0.625563","0.630676","0.501196","Fund Manager","false","false","false","2020","false"
"M121104","121104","Budget Manager","7","1213.5","Business Manager","http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7","0.624391","0.632138","0.517508","Business Manager","false","false","false","2020","false"
"M121104","121104","Budget Manager","8","2412.9","Programme Funding Manager","http://data.europa.eu/esco/occupation/de99886e-59e3-432d-ba53-9652dbe378d6","0.62329","0.619054","0.568811","Grants Manager","false","false","false","2020","false"
"M121104","121104","Budget Manager","9","1346.1","Bank Manager","http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce","0.616605","0.624663","0.533642","Bank Manager","false","false","false","2020","false"
"M121104","121104","Budget Manager","10","1219.4","Department Manager","http://data.europa.eu/esco/occupation/94e0bedd-e56e-42be-a5a4-b74a260f437c","0.61024","0.613358","0.480862","Unit Manager","false","false","false","2020","false"
"M121106","121106","Audit and Risk Management Manager","1","2412.5","Financial Risk Manager","http://data.europa.eu/esco/occupation/7a6ca615-a2bc-499d-8288-d186ce2594ea","0.720162","0.743455","0.68458","Financial Risk Department Manager","false","false","false","2020","false"
"M121106","121106","Audit and Risk Management Manager","2","2412.3","Corporate Risk Manager","http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0","0.712821","0.735838","0.695359","Corporate Risk Department Manager","false","false","true","2020","false"
"M121106","121106","Audit and Risk Management Manager","3","2411.1.2","Audit Supervisor","http://data.europa.eu/esco/occupation/cd4f41a5-87a6-4b3c-8ee3-14e6f457c365","0.647357","0.70158","0.62332","Audit Leader","false","false","false","2020","false"
"M121106","121106","Audit and Risk Management Manager","4","2519.2","ICT Auditor Manager","http://data.europa.eu/esco/occupation/76a1a76c-b014-4600-8901-56cb936de7ed","0.639893","0.689038","0.556242","ICT Auditor Manager","false","false","false","2020","false"
"M121106","121106","Audit and Risk Management Manager","5","2411.1.7","Financial Auditor","http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21","0.606461","0.632319","0.553358","Audit Manager","false","false","false","2020","false"
"M121106","121106","Audit and Risk Management Manager","6","1211.1.1","Accounting Manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.595851","0.643466","0.500895","Accounting Department Manager","false","true","false","2020","false"
"M121106","121106","Audit and Risk Management Manager","7","2529.8","Cybersecurity Risk Manager","http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f","0.593272","0.602738","0.600681","Cybersecurity Risk Manager","false","false","false","2020","false"
"M121106","121106","Audit and Risk Management Manager","8","1219.1.2","Security Manager","http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9","0.556977","0.563147","0.504656","Safety and Security Manager","false","false","false","2020","false"
"M121106","121106","Audit and Risk Management Manager","9","1211.1","Financial Manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.556665","0.584996","0.492087","Financial Manager","false","true","false","2020","false"
"M121106","121106","Audit and Risk Management Manager","10","1346.4","Insurance Agency Manager","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0","0.547191","0.585072","0.413419","Insurance Agency Manager","false","false","false","2020","false"
"M121107","121107","Credit Manager","1","3312.3","Credit Manager","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae","0.995","1","0.79121","Credit Manager","true","false","true","2020","false"
"M121107","121107","Credit Manager","2","3312.2","Credit Adviser","http://data.europa.eu/esco/occupation/1a87e487-6761-4374-b6db-100ac5a9ad5a","0.81518","0.867701","0.72016","Credit Adviser","false","false","false","2020","false"
"M121107","121107","Credit Manager","3","1346.3","Credit Union Manager","http://data.europa.eu/esco/occupation/45a28fe1-30a4-4175-af19-e451ada60858","0.805798","0.849862","0.649293","Credit Union Manager","false","false","false","2020","false"
"M121107","121107","Credit Manager","4","3312.2.1","Credit Analyst","http://data.europa.eu/esco/occupation/075e4d25-74b3-46fb-9b6e-6b53cdb196e7","0.721684","0.778783","0.541661","Credit Analyst","false","false","false","2020","false"
"M121107","121107","Credit Manager","5","1346.1","Bank Manager","http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce","0.68177","0.744805","0.488231","Retail Bank Manager","false","false","false","2020","false"
"M121107","121107","Credit Manager","6","3312.4","Credit Risk Analyst","http://data.europa.eu/esco/occupation/b3ce981c-5b32-4de2-8e53-502a6357b2bc","0.67365","0.66545","0.569172","Credit Risk Manager","false","false","false","2020","false"
"M121107","121107","Credit Manager","7","1211.1","Financial Manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.671959","0.724426","0.488169","Finance Manager","false","true","false","2020","false"
"M121107","121107","Credit Manager","8","3312.1","Bank Account Manager","http://data.europa.eu/esco/occupation/5e4d156a-1f05-4b2c-b0f0-5abb82d52ed6","0.642146","0.685324","0.483424","Account Managers","false","false","false","2020","false"
"M121107","121107","Credit Manager","9","2412.5","Financial Risk Manager","http://data.europa.eu/esco/occupation/7a6ca615-a2bc-499d-8288-d186ce2594ea","0.636819","0.66192","0.548983","Bank Risk Manager","false","false","false","2020","false"
"M121107","121107","Credit Manager","10","1211.1.1","Accounting Manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.635305","0.672726","0.521415","Accounting Manager","false","true","false","2020","false"
"M121108","121108","Insurance Manager","1","1346.4","Insurance Agency Manager","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0","0.896589","0.942196","0.798855","Insurance Agency Manager","false","false","true","2020","false"
"M121108","121108","Insurance Manager","2","1346.5","Insurance Claims Manager","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b","0.84599","0.875327","0.763186","Insurance Claims Manager","false","false","false","2020","false"
"M121108","121108","Insurance Manager","3","1223.1.1","Insurance Product Manager","http://data.europa.eu/esco/occupation/73856e9e-eca2-44c2-bb3c-aaedf4b25979","0.823821","0.856158","0.69909","Insurance Sales Manager","false","false","false","2020","false"
"M121108","121108","Insurance Manager","4","4312.4","Insurance Clerk","http://data.europa.eu/esco/occupation/9a39a143-d93c-4093-ba3b-47fb67ade318","0.744926","0.772174","0.605689","Insurance Agent","false","false","false","2020","false"
"M121108","121108","Insurance Manager","5","3321.1","Insurance Broker","http://data.europa.eu/esco/occupation/a198de8c-24b1-4002-982f-a57ae6d6c19c","0.737494","0.763903","0.59541","Insurance Agent","false","false","false","2020","false"
"M121108","121108","Insurance Manager","6","3321.2","Insurance Risk Consultant","http://data.europa.eu/esco/occupation/7bcafcd7-3f35-4a72-849c-c92b334927fd","0.71279","0.747335","0.561581","Insurance Analyst","false","false","false","2020","false"
"M121108","121108","Insurance Manager","7","1213.2","Policy Manager","http://data.europa.eu/esco/occupation/64e38ce7-3901-4261-bfee-77c7a77397f2","0.701687","0.730989","0.64885","Policy Manager","false","false","false","2020","false"
