"skill_id","alias","alias_display_title","raw_labels_json","all_alias_sources","normalization_rule","source_url"
"0007bdc2-dd15-4824-b7d6-416522c46f35","checking compliance with rolling stock regulations","Checking Compliance with Rolling Stock Regulations","[""checking compliance with rolling stock regulations""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35"
"0007bdc2-dd15-4824-b7d6-416522c46f35","compliance controls of railway vehicles regulations","Compliance Controls of Railway Vehicles Regulations","[""compliance controls of railway vehicles regulations""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35"
"0007bdc2-dd15-4824-b7d6-416522c46f35","conduct controls of compliance of railway vehicles regulations","Conduct Controls of Compliance of Railway Vehicles Regulations","[""conduct controls of compliance of railway vehicles regulations""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35"
"0007bdc2-dd15-4824-b7d6-416522c46f35","control compliance of regulations of rolling stock","Control Compliance of Regulations of Rolling Stock","[""control compliance of regulations of rolling stock""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35"
"0007bdc2-dd15-4824-b7d6-416522c46f35","ensuring compliance with railway vehicles regulations","Ensuring Compliance with Railway Vehicles Regulations","[""ensuring compliance with railway vehicles regulations""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35"
"0007bdc2-dd15-4824-b7d6-416522c46f35","inspection of compliance with rolling stock regulations","Inspection of Compliance with Rolling Stock Regulations","[""inspection of compliance with rolling stock regulations""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35"
"0007bdc2-dd15-4824-b7d6-416522c46f35","monitoring of compliance with railway vehicles regulations","Monitoring of Compliance with Railway Vehicles Regulations","[""monitoring of compliance with railway vehicles regulations""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35"
"0007bdc2-dd15-4824-b7d6-416522c46f35","monitoring of compliance with rolling stock regulations","Monitoring of Compliance with Rolling Stock Regulations","[""monitoring of compliance with rolling stock regulations""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35"
"000bb1e4-89f0-4b86-be05-05ece3641724","apply toxicological testing methods","Apply Toxicological Testing Methods","[""apply toxicological testing methods""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724"
"000bb1e4-89f0-4b86-be05-05ece3641724","carry out toxicological studies","Carry out Toxicological Studies","[""carry out toxicological studies""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724"
"000bb1e4-89f0-4b86-be05-05ece3641724","perform toxicological study","Perform Toxicological Study","[""perform toxicological study""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724"
"000bb1e4-89f0-4b86-be05-05ece3641724","perform toxicological tests","Perform Toxicological Tests","[""perform toxicological tests""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724"
"000f1d3d-220f-4789-9c0a-cc742521fb02","haskell techniques","Haskell Techniques","[""Haskell techniques""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02"
"001d46db-035e-4b92-83a3-ed8771e0c123","educate staff on food waste reduction","Educate Staff on Food Waste Reduction","[""educate staff on food waste reduction""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123"
"001d46db-035e-4b92-83a3-ed8771e0c123","educate workers on food recycling methods","Educate Workers on Food Recycling Methods","[""educate workers on food recycling methods""]","esco_altlabel","NFKC + collapsed whitespace + lowercase; canonical duplicates omitted","http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123"
