role_id,role_title,masco_code,masco_unit_group_code,chosen_esco_code,chosen_esco_title,chosen_esco_uri,mapping_relation,mapping_confidence,mapping_rationale,review_status,production_ready,masco_version,masco_code_printed,chosen_esco_isco_group,d11_esco_code,d11_esco_comparison_codes,d11_esco_comparison_titles,previous_d13_esco_code,previous_d13_esco_title,previous_d13_mapping_relation,original_pre2020_d13_esco_code,change_type,mapping_method,mapping_authority,title_match_type,title_match_score,score_interpretation,same_four_digit_group,use_in_role_skills,specialty_skills_complete,source_quality_flag,source_current_role_id,masco2020_remap_method,profile_basis,masco_source_url,profile_source_url,esco_source_url,display_case_policy
M112104,Chief Technical Officer,112104,1121,1330.3,Chief Technology Officer,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,close_match,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Technical strategy and technology leadership align with chief technology officer.,auto_approved_medium_or_high_test_mapping,false,2020,1121-04,1330,1330.3,,,1330.3,Chief Technology Officer,close_match,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.851064,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M112104,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317,https://emasco.mohr.gov.my/masco/1121-04,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,title_case_with_protected_acronyms_and_product_spellings
M121104,Budget Manager,121104,1211,1211.1.3,Budget Manager,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,close_match,high,Budget Manager has its own exact preferred ESCO occupation. Replace the inherited financial-accounting proxy.,auto_approved_medium_or_high_test_mapping,false,2020,1211-04,1211,1211.1.1,,,1211.1.1,Accounting Manager,inherited_test_proxy,,changed_esco_occupation,2020_title_and_duty_review,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,exact_preferred_label,1,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,true,true,Not established,,M121101,reviewed_functional_equivalent,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,https://emasco.mohr.gov.my/masco/1211-01,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,title_case_with_protected_acronyms_and_product_spellings
M121106,Audit and Risk Management Manager,121106,1211,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,partial_proxy,low,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Organisation-wide risk and governance; audit management is only partly represented.,pending_low_confidence_review,false,2020,1211-06,2412,2412.3,,,2412.3,Corporate Risk Manager,partial_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.636364,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,false,Not established,,M121102,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,https://emasco.mohr.gov.my/masco/1211-02,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,title_case_with_protected_acronyms_and_product_spellings
M121107,Credit Manager,121107,1211,3312.3,Credit Manager,http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae,close_match,high,Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.,auto_approved_medium_or_high_test_mapping,false,2020,1211-07,3312,3312.3,,,3312.3,Credit Manager,close_match,,retained_esco_occupation,2020_unique_preferred_title,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,exact_preferred_label,1,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M121103,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,https://emasco.mohr.gov.my/masco/1211-03,http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae,title_case_with_protected_acronyms_and_product_spellings
M121108,Insurance Manager,121108,1211,1346.4,Insurance Agency Manager,http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Insurance operations management; exact organisational scope may differ.,auto_approved_medium_or_high_test_mapping,false,2020,1211-08,1346,1346.4,,,1346.4,Insurance Agency Manager,broader_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.829268,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M121104,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,https://emasco.mohr.gov.my/masco/1211-04,http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0,title_case_with_protected_acronyms_and_product_spellings
M121109,Fund Manager,121109,1211,2412.7,Investment Fund Manager,http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358,close_match,medium,Fund Manager is an alternate label for investment fund manager; portfolio/fund duties support the same function.,auto_approved_medium_or_high_test_mapping,false,2020,1211-09,2412,2412.7,,,2412.7,Investment Fund Manager,inherited_test_proxy,,retained_esco_occupation,2020_title_and_duty_review,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,exact_alternate_label,1,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M121105,reviewed_functional_equivalent,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,https://emasco.mohr.gov.my/masco/1211-05,http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358,title_case_with_protected_acronyms_and_product_spellings
M121114,Tax Manager,121114,1211,2411.1.12,Tax Advisor,http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Tax advisory and compliance proxy; managerial level and transfer-pricing specialty need local enrichment.,auto_approved_medium_or_high_test_mapping,false,2020,1211-14,2411,2411.1.12,,,2411.1.12,Tax Advisor,broader_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.695652,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M121107,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,https://emasco.mohr.gov.my/masco/1211-07,http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723,title_case_with_protected_acronyms_and_product_spellings
M121115,Claim Manager,121115,1211,1346.5,Insurance Claims Manager,http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b,close_match,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Insurance claims management.,auto_approved_medium_or_high_test_mapping,false,2020,1211-15,1346,1346.5,,,1346.5,Insurance Claims Manager,close_match,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.962963,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M121108,title_variant,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,https://emasco.mohr.gov.my/masco/1211-08,http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b,title_case_with_protected_acronyms_and_product_spellings
M121123,Actuarial Valuation Manager,121123,1211,2120.1,Actuarial Consultant,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Actuarial valuation work; management responsibility is not fully represented.,auto_approved_medium_or_high_test_mapping,false,2020,1211-23,2120,2120.1,,,2120.1,Actuarial Consultant,broader_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.64,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M121109,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,https://emasco.mohr.gov.my/masco/1211-09,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,title_case_with_protected_acronyms_and_product_spellings
M121205,Occupational Safety and Health Manager,121205,1212,1213.7,Health Safety and Environmental Manager,http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b,close_match,medium,"Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Management of workplace health, safety and environmental programmes.",auto_approved_medium_or_high_test_mapping,false,2020,1212-05,1213,1213.7,,,1213.7,Health Safety and Environmental Manager,close_match,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.649351,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M121202,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,https://emasco.mohr.gov.my/masco/1212-02,http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b,title_case_with_protected_acronyms_and_product_spellings
