role_id,role_title,masco_code,masco_unit_group_code,chosen_esco_code,chosen_esco_title,chosen_esco_uri,mapping_relation,mapping_confidence,mapping_rationale,review_status,production_ready,priority,reviewer,review_date,review_decision,review_notes,masco_source_url,esco_source_url
M112104,Chief Technical Officer,112104,1121,1330.3,Chief Technology Officer,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,close_match,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Technical strategy and technology leadership align with chief technology officer.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f
M121104,Budget Manager,121104,1211,1211.1.3,Budget Manager,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,close_match,high,Budget Manager has its own exact preferred ESCO occupation. Replace the inherited financial-accounting proxy.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f
M121106,Audit and Risk Management Manager,121106,1211,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,partial_proxy,low,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Organisation-wide risk and governance; audit management is only partly represented.,pending_low_confidence_review,false,high,,,Pending Review,Below user-authorized Medium threshold. ESCO comparison retained; skill requirements held out.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0
M121107,Credit Manager,121107,1211,3312.3,Credit Manager,http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae,close_match,high,Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae
M121108,Insurance Manager,121108,1211,1346.4,Insurance Agency Manager,http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Insurance operations management; exact organisational scope may differ.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0
M121109,Fund Manager,121109,1211,2412.7,Investment Fund Manager,http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358,close_match,medium,Fund Manager is an alternate label for investment fund manager; portfolio/fund duties support the same function.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358
M121114,Tax Manager,121114,1211,2411.1.12,Tax Advisor,http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Tax advisory and compliance proxy; managerial level and transfer-pricing specialty need local enrichment.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723
M121115,Claim Manager,121115,1211,1346.5,Insurance Claims Manager,http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b,close_match,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Insurance claims management.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b
M121123,Actuarial Valuation Manager,121123,1211,2120.1,Actuarial Consultant,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Actuarial valuation work; management responsibility is not fully represented.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482
M121205,Occupational Safety and Health Manager,121205,1212,1213.7,Health Safety and Environmental Manager,http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b,close_match,medium,"Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Management of workplace health, safety and environmental programmes.",auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b
M121411,Supply Chain Manager,121411,1214,1324.8,Supply Chain Manager,http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74,close_match,high,The separated 2020 Supply Chain Manager matches the preferred ESCO title; no longer share its profile indiscriminately with logistics management.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319,http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74
