role_id,skill_id,skill_name,skill_type,importance,masco_code,masco_version,esco_code,esco_occupation_title,esco_occupation_uri,skill_uri,relation_type,official_skill_type_raw,mapping_relation,mapping_confidence,mapping_review_status,source_version,production_ready
M121106,00920055-eb50-4cb8-a23d-3deedbf3753e,Enterprise Risk Management,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,essential,knowledge,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
M121106,0d564cb6-98ef-4c18-9392-dd69e6724cbf,Risk Transfer,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/0d564cb6-98ef-4c18-9392-dd69e6724cbf,essential,knowledge,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
M121106,0efbe2dc-2770-47ec-b8f4-d1bdff6ac0a4,Advise on Risk Management,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/0efbe2dc-2770-47ec-b8f4-d1bdff6ac0a4,essential,skill/competence,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
M121106,1c08d63d-1c5e-4b9b-ad3e-f7ba7debb2d1,Forecast Organisational Risks,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/1c08d63d-1c5e-4b9b-ad3e-f7ba7debb2d1,essential,skill/competence,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
M121106,3d3ee5c3-4286-457f-9f76-1704011f7e11,Comply with Legal Regulations,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/3d3ee5c3-4286-457f-9f76-1704011f7e11,essential,skill/competence,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
M121106,64bd4157-5df0-4166-8259-ede237dd7cdf,Estimate Impact of Risks,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/64bd4157-5df0-4166-8259-ede237dd7cdf,essential,skill/competence,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
M121106,66db424f-2abe-420d-8e5b-186607266b61,Corporate Social Responsibility,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/66db424f-2abe-420d-8e5b-186607266b61,essential,knowledge,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
M121106,6eff134b-e34f-4d6e-a6e8-5e47cf2228d0,Risk Management,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/6eff134b-e34f-4d6e-a6e8-5e47cf2228d0,essential,knowledge,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
M121106,701f0a7d-1be9-4e98-b985-2652b2bf327a,Risk Financing Techniques,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/701f0a7d-1be9-4e98-b985-2652b2bf327a,essential,knowledge,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
M121106,773e217c-8b21-4d8c-b384-68752a2243a9,Quantitative Risk Analysis Techniques,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/773e217c-8b21-4d8c-b384-68752a2243a9,essential,knowledge,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
M121106,7e7bbf72-2bfb-49c2-a341-04c02932f916,Define Risk Policies,technical,100,121106,2020,2412.3,Corporate Risk Manager,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,http://data.europa.eu/esco/skill/7e7bbf72-2bfb-49c2-a341-04c02932f916,essential,skill/competence,partial_proxy,low,pending_low_confidence_review,ESCO v1.2.1,false
