role_id,skill_id,skill_name,skill_type,importance
M121106,00920055-eb50-4cb8-a23d-3deedbf3753e,Enterprise Risk Management,technical,100
M121106,0d564cb6-98ef-4c18-9392-dd69e6724cbf,Risk Transfer,technical,100
M121106,0efbe2dc-2770-47ec-b8f4-d1bdff6ac0a4,Advise on Risk Management,technical,100
M121106,1c08d63d-1c5e-4b9b-ad3e-f7ba7debb2d1,Forecast Organisational Risks,technical,100
M121106,3d3ee5c3-4286-457f-9f76-1704011f7e11,Comply with Legal Regulations,technical,100
M121106,64bd4157-5df0-4166-8259-ede237dd7cdf,Estimate Impact of Risks,technical,100
M121106,66db424f-2abe-420d-8e5b-186607266b61,Corporate Social Responsibility,technical,100
M121106,6eff134b-e34f-4d6e-a6e8-5e47cf2228d0,Risk Management,technical,100
M121106,701f0a7d-1be9-4e98-b985-2652b2bf327a,Risk Financing Techniques,technical,100
M121106,773e217c-8b21-4d8c-b384-68752a2243a9,Quantitative Risk Analysis Techniques,technical,100
M121106,7e7bbf72-2bfb-49c2-a341-04c02932f916,Define Risk Policies,technical,100
M121106,873f205a-05f8-45f8-b544-fe963a3edc1e,Address Identified Risks,technical,100
M121106,8744f28f-59a9-45af-8ef6-6944cb5a1473,Risk Identification,technical,100
M121106,8804d963-5a31-4609-b5df-f741b7199fb7,Internal Auditing,technical,100
M121106,88ec9e5e-8798-475d-81a3-dd5ea7e96215,Qualitative Risk Analysis Techniques,technical,100
M121106,91816e1a-d026-4d21-9b1c-59ca5cf488de,Analyse Internal Factors of Companies,technical,100
M121106,96a893b6-4520-4daa-89c1-b79487505da2,Key Risk Indicators,technical,100
M121106,ce5b1446-b5e3-4f05-a5ac-83f2ee142a44,Analyse External Factors of Companies,technical,100
M121106,d7b66759-c40c-44de-9f31-9418f84e10c5,Assess Risk Factors,technical,100
M121106,ee7f90cc-922e-4da7-a7ae-83c2688fed10,Align Efforts Towards Business Development,technical,100
M121106,f14ff4b7-be1e-4b55-b39b-520005f8a97e,Liaise with Managers,technical,100
M121106,f2c63b7a-ed6c-4890-9f8c-7685d172624c,Implement Corporate Governance,technical,100
M121106,f5bf985b-ac78-4d23-881a-18a359234528,Corporate Sustainability,technical,100
M121106,f5f5b244-6cea-4fbc-8a50-8f712791bc09,Follow Company Standards,technical,100
