"d1_role_id","d1_role_title","d1_masco_unit_group_code","stem_roles_in_same_unit_group","d11_scope_rule","relationship"
"R01","Software Developer","2512","3","Current eMASCO STEM membership intersected with reviewed MASCO 2020 occupation identities","D1 seed role retained as lineage where applicable; D11 scope is not limited to this group"
"R02","Data Analyst","2524","5","Current eMASCO STEM membership intersected with reviewed MASCO 2020 occupation identities","D1 seed role retained as lineage where applicable; D11 scope is not limited to this group"
"R03","Human Resources Officer","2423","0","Current eMASCO STEM membership intersected with reviewed MASCO 2020 occupation identities","D1 seed role retained as lineage where applicable; D11 scope is not limited to this group"
"R04","Online Marketing Specialist","2431","2","Current eMASCO STEM membership intersected with reviewed MASCO 2020 occupation identities","D1 seed role retained as lineage where applicable; D11 scope is not limited to this group"
"R05","Translator","2833","0","Current eMASCO STEM membership intersected with reviewed MASCO 2020 occupation identities","D1 seed role retained as lineage where applicable; D11 scope is not limited to this group"
"R06","Graphic Designer","2543","7","Current eMASCO STEM membership intersected with reviewed MASCO 2020 occupation identities","D1 seed role retained as lineage where applicable; D11 scope is not limited to this group"
"R07","Accounting & Bookkeeping Clerk","4311","9","Current eMASCO STEM membership intersected with reviewed MASCO 2020 occupation identities","D1 seed role retained as lineage where applicable; D11 scope is not limited to this group"
"R08","Customer Contact Centre Officer","4222","0","Current eMASCO STEM membership intersected with reviewed MASCO 2020 occupation identities","D1 seed role retained as lineage where applicable; D11 scope is not limited to this group"
"R09","Secretary / Administrative Assistant","4121","0","Current eMASCO STEM membership intersected with reviewed MASCO 2020 occupation identities","D1 seed role retained as lineage where applicable; D11 scope is not limited to this group"
"R10","Tutor","2311","2","Current eMASCO STEM membership intersected with reviewed MASCO 2020 occupation identities","D1 seed role retained as lineage where applicable; D11 scope is not limited to this group"
