"role_id","role_title","masco_code","masco_source_page_pdf","rated_task_count","remote_capable_tasks","remote_onsite_tasks","remote_unclear_tasks","remote_pre_rating","ai_exposable_tasks","ai_exposure_share","ai_pre_rating","independent_raters_required","reconciliation_status","release_use","task_source_level","source_url","source_current_role_id","source_current_masco_code","source_current_role_title","source_current_url","masco_reference_version","masco2020_remap_method","masco2020_remap_confidence","masco2020_source_pdf_page","masco2020_source_url","profile_basis","source_current_task_source_level"
"M112104","Chief Technical Officer","112104","317","10","4","0","6","medium","2","0.2","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1121-04","M112104","112104","Chief Technical Officer","https://emasco.mohr.gov.my/masco/1121-04","2020","exact_normalized_title","high","317","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M121104","Budget Manager","121104","318","8","5","0","3","medium","3","0.375","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1211-01","M121101","121101","Budgeting/Financial Accounting Manager","https://emasco.mohr.gov.my/masco/1211-01","2020","reviewed_functional_equivalent","medium","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M121106","Audit and Risk Management Manager","121106","318","10","7","0","3","medium","3","0.3","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1211-02","M121102","121102","Audit and Risk Management Manager","https://emasco.mohr.gov.my/masco/1211-02","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M121107","Credit Manager","121107","318","9","4","0","5","medium","2","0.2222","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1211-03","M121103","121103","Credit Manager","https://emasco.mohr.gov.my/masco/1211-03","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M121108","Insurance Manager","121108","318","10","4","0","6","medium","3","0.3","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1211-04","M121104","121104","Insurance Manager","https://emasco.mohr.gov.my/masco/1211-04","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M121109","Fund Manager","121109","318","7","5","0","2","medium","3","0.4286","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1211-05","M121105","121105","Fund/Portfolio Manager","https://emasco.mohr.gov.my/masco/1211-05","2020","reviewed_functional_equivalent","medium","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M121114","Tax Manager","121114","318","7","1","0","6","medium","0","0.0","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1211-07","M121107","121107","Tax Manager","https://emasco.mohr.gov.my/masco/1211-07","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M121115","Claim Manager","121115","318","9","2","0","7","medium","2","0.2222","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1211-08","M121108","121108","Claims Manager","https://emasco.mohr.gov.my/masco/1211-08","2020","title_variant","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M121123","Actuarial Valuation Manager","121123","318","9","4","0","5","medium","3","0.3333","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1211-09","M121109","121109","Actuarial Valuation Manager","https://emasco.mohr.gov.my/masco/1211-09","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M121205","Occupational Safety and Health Manager","121205","318","8","2","0","6","medium","3","0.375","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1212-02","M121202","121202","Occupational Safety and Health Manager","https://emasco.mohr.gov.my/masco/1212-02","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
