"role_id","role_title","masco_code","masco_unit_group_code","chosen_esco_code","chosen_esco_title","chosen_esco_uri","mapping_relation","mapping_confidence","mapping_rationale","review_status","production_ready","masco_code_printed","chosen_esco_isco_group","d11_esco_code","d11_esco_comparison_codes","d11_esco_comparison_titles","previous_d13_esco_code","previous_d13_mapping_status","change_type","mapping_status","mapping_method","mapping_authority","title_match_type","title_match_score","score_interpretation","same_four_digit_group","use_in_role_skills","specialty_skills_complete","coverage_note","source_quality_flag","masco_source_url","esco_source_url","source_current_role_id","source_current_masco_code","source_current_role_title","source_current_url","masco_reference_version","masco2020_remap_method","masco2020_remap_confidence","masco2020_source_pdf_page","masco2020_source_url","profile_basis","source_d13_mapping_relation","source_d13_mapping_confidence","all_source_current_role_ids","source_d13_same_four_digit_group","title_match_evidence_basis"
"M112104","Chief Technical Officer","112104","1121","1330.3","chief technology officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","close_match","medium","Technical strategy and technology leadership align with chief technology officer.","test_only_project_mapping_not_human_validated","False","1121-04","1330","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.851064","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","M112104","112104","Chief Technical Officer","https://emasco.mohr.gov.my/masco/1121-04","2020","exact_normalized_title","high","317","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","close_match","medium","M112104","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121104","Budget Manager","121104","1211","1211.1.1","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","inherited_test_proxy","low","Inherited current-role ESCO assignment, not independently revalidated for this MASCO 2020 identity. Budget planning, forecasting and expenditure control are the stated core duties; Budget Manager is the 2020 counterpart. Financial-accounting wording remains in the source-title audit. Original rationale: Accounting management selected as primary; budgeting is an additional component.","test_only_project_mapping_not_human_validated","False","1211-04","1211","","","","","no_unique_exact_esco_title_match","new_mapping","project_partial_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.848485","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","True","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","M121101","121101","Budgeting/Financial Accounting Manager","https://emasco.mohr.gov.my/masco/1211-01","2020","reviewed_functional_equivalent","medium","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","partial_proxy","low","M121101","True","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121106","Audit and Risk Management Manager","121106","1211","2412.3","corporate risk manager","http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0","partial_proxy","low","Organisation-wide risk and governance; audit management is only partly represented.","test_only_project_mapping_not_human_validated","False","1211-06","2412","","","","","no_unique_exact_esco_title_match","new_mapping","project_partial_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.636364","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0","M121102","121102","Audit and Risk Management Manager","https://emasco.mohr.gov.my/masco/1211-02","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","partial_proxy","low","M121102","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121107","Credit Manager","121107","1211","3312.3","credit manager","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae","close_match","high","Credit policy, lending control and credit-team management.","test_only_project_mapping_not_human_validated","False","1211-07","3312","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","exact_preferred_label","1","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae","M121103","121103","Credit Manager","https://emasco.mohr.gov.my/masco/1211-03","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","close_match","high","M121103","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121108","Insurance Manager","121108","1211","1346.4","insurance agency manager","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0","broader_proxy","medium","Insurance operations management; exact organisational scope may differ.","test_only_project_mapping_not_human_validated","False","1211-08","1346","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.829268","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0","M121104","121104","Insurance Manager","https://emasco.mohr.gov.my/masco/1211-04","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","broader_proxy","medium","M121104","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121109","Fund Manager","121109","1211","2412.7","investment fund manager","http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358","inherited_test_proxy","medium","Inherited current-role ESCO assignment, not independently revalidated for this MASCO 2020 identity. Fund and portfolio management denote the same investment-fund management occupation. Original rationale: Investment fund and portfolio management.","test_only_project_mapping_not_human_validated","False","1211-09","2412","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.85","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358","M121105","121105","Fund/Portfolio Manager","https://emasco.mohr.gov.my/masco/1211-05","2020","reviewed_functional_equivalent","medium","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","close_match","medium","M121105","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121114","Tax Manager","121114","1211","2411.1.12","tax advisor","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723","broader_proxy","medium","Tax advisory and compliance proxy; managerial level and transfer-pricing specialty need local enrichment.","test_only_project_mapping_not_human_validated","False","1211-14","2411","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.695652","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723","M121107","121107","Tax Manager","https://emasco.mohr.gov.my/masco/1211-07","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","broader_proxy","medium","M121107","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121115","Claim Manager","121115","1211","1346.5","insurance claims manager","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b","close_match","medium","Insurance claims management.","test_only_project_mapping_not_human_validated","False","1211-15","1346","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","exact_alternate_label","1","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b","M121108","121108","Claims Manager","https://emasco.mohr.gov.my/masco/1211-08","2020","title_variant","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","close_match","medium","M121108","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121123","Actuarial Valuation Manager","121123","1211","2120.1","actuarial consultant","http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482","broader_proxy","medium","Actuarial valuation work; management responsibility is not fully represented.","test_only_project_mapping_not_human_validated","False","1211-23","2120","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.64","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482","M121109","121109","Actuarial Valuation Manager","https://emasco.mohr.gov.my/masco/1211-09","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","broader_proxy","medium","M121109","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121205","Occupational Safety and Health Manager","121205","1212","1213.7","health safety and environmental manager","http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b","close_match","medium","Management of workplace health, safety and environmental programmes.","test_only_project_mapping_not_human_validated","False","1212-05","1213","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.649351","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b","M121202","121202","Occupational Safety and Health Manager","https://emasco.mohr.gov.my/masco/1212-02","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","close_match","medium","M121202","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121411","Supply Chain Manager","121411","1214","1324.8","supply chain manager","http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74","inherited_test_proxy","low","Inherited current-role ESCO assignment, not independently revalidated for this MASCO 2020 identity. Current title explicitly combines supply-chain and logistics management; retain the two printed 2020 identities. Original rationale: Supply-chain and logistics planning and coordination.","test_only_project_mapping_not_human_validated","False","1214-11","1324","","","","","no_unique_exact_esco_title_match","new_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.727273","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74","M121404","121404","Supply Chain and Logistics Management Manager","https://emasco.mohr.gov.my/masco/1214-04","2020","combined_title_split","medium","319","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","close_match","medium","M121404","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M121416","Technology Manager","121416","1214","1330.5","ICT operations manager","http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc","broader_proxy","medium","D11 description concerns IT infrastructure and services, not generic product technology.","test_only_project_mapping_not_human_validated","False","1214-16","1330","","","","","no_unique_exact_esco_title_match","new_mapping","project_broader_proxy","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","non_exact_title","0.585366","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","False","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc","M121408","121408","Technology Manager","https://emasco.mohr.gov.my/masco/1214-08","2020","exact_normalized_title","high","319","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","broader_proxy","medium","M121408","False","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M122301","Research and Development Manager","122301","1223","1223.2","research and development manager","http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440","close_match","high","Research and development leadership, not a narrower product-manager alias.","test_only_project_mapping_not_human_validated","False","1223-01","1223","","","","1223.2","unique_exact_preferred_title_same_isco_group","retained_mapping","project_close_match","curated_title_and_duty_decision","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","exact_preferred_label","1","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","True","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440","M122301","122301","Research and Development Manager","https://emasco.mohr.gov.my/masco/1223-01","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","close_match","high","M122301","True","Original current-role title, not the remapped 2020 title; retained for comparison only."
"M131102","Forestry Manager","131102","1311","1311.1","forester","http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f","close_match","medium","ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","test_only_project_mapping_not_human_validated","False","1311-02","1311","","","","1311.1","unique_exact_alternate_title_same_isco_group","retained_mapping","project_close_match","reviewed_existing_or_retrieved_candidate","ReRouteHer project-derived; NOT an official MASCO-ESCO crosswalk","exact_alternate_label","1","Inherited current-role retrieval score; not a probability or a new MASCO 2020 validation score.","True","True","Not established","ESCO skills inherited from one primary occupation. Essential/optional refers to ESCO, not a verified Malaysian requirement.","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f","M131101","131101","Forestry Manager","https://emasco.mohr.gov.my/masco/1311-01","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","close_match","medium","M131101","True","Original current-role title, not the remapped 2020 title; retained for comparison only."
