"role_id","role_title","masco_code","masco_unit_group_code","chosen_esco_code","chosen_esco_title","chosen_esco_uri","mapping_relation","mapping_confidence","mapping_rationale","review_status","production_ready","priority","review_decision","reviewer","review_date","review_notes","masco_source_url","esco_source_url","source_current_role_id","source_current_masco_code","source_current_role_title","source_current_url","masco_reference_version","masco2020_remap_method","masco2020_remap_confidence","masco2020_source_pdf_page","masco2020_source_url","profile_basis","retrieval_evidence_basis","source_d13_mapping_relation","source_d13_mapping_confidence","source_d13_mapping_rationale","source_d13_review_status","source_d13_production_ready"
"M112104","Chief Technical Officer","112104","1121","1330.3","chief technology officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","close_match","medium","Technical strategy and technology leadership align with chief technology officer.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","M112104","112104","Chief Technical Officer","https://emasco.mohr.gov.my/masco/1121-04","2020","exact_normalized_title","high","317","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","Technical strategy and technology leadership align with chief technology officer.","assistant_drafted_pending_domain_validation","False"
"M121104","Budget Manager","121104","1211","1211.1.1","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","inherited_test_proxy","low","Inherited current-role ESCO assignment, not independently revalidated for this MASCO 2020 identity. Budget planning, forecasting and expenditure control are the stated core duties; Budget Manager is the 2020 counterpart. Financial-accounting wording remains in the source-title audit. Original rationale: Accounting management selected as primary; budgeting is an additional component.","test_only_project_mapping_not_human_validated","False","high","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","M121101","121101","Budgeting/Financial Accounting Manager","https://emasco.mohr.gov.my/masco/1211-01","2020","reviewed_functional_equivalent","medium","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","partial_proxy","low","Accounting management selected as primary; budgeting is an additional component.","assistant_drafted_pending_domain_validation","False"
"M121106","Audit and Risk Management Manager","121106","1211","2412.3","corporate risk manager","http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0","partial_proxy","low","Organisation-wide risk and governance; audit management is only partly represented.","test_only_project_mapping_not_human_validated","False","high","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0","M121102","121102","Audit and Risk Management Manager","https://emasco.mohr.gov.my/masco/1211-02","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","partial_proxy","low","Organisation-wide risk and governance; audit management is only partly represented.","assistant_drafted_pending_domain_validation","False"
"M121107","Credit Manager","121107","1211","3312.3","credit manager","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae","close_match","high","Credit policy, lending control and credit-team management.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae","M121103","121103","Credit Manager","https://emasco.mohr.gov.my/masco/1211-03","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","high","Credit policy, lending control and credit-team management.","assistant_drafted_pending_domain_validation","False"
"M121108","Insurance Manager","121108","1211","1346.4","insurance agency manager","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0","broader_proxy","medium","Insurance operations management; exact organisational scope may differ.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0","M121104","121104","Insurance Manager","https://emasco.mohr.gov.my/masco/1211-04","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","broader_proxy","medium","Insurance operations management; exact organisational scope may differ.","assistant_drafted_pending_domain_validation","False"
"M121109","Fund Manager","121109","1211","2412.7","investment fund manager","http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358","inherited_test_proxy","medium","Inherited current-role ESCO assignment, not independently revalidated for this MASCO 2020 identity. Fund and portfolio management denote the same investment-fund management occupation. Original rationale: Investment fund and portfolio management.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358","M121105","121105","Fund/Portfolio Manager","https://emasco.mohr.gov.my/masco/1211-05","2020","reviewed_functional_equivalent","medium","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","Investment fund and portfolio management.","assistant_drafted_pending_domain_validation","False"
"M121114","Tax Manager","121114","1211","2411.1.12","tax advisor","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723","broader_proxy","medium","Tax advisory and compliance proxy; managerial level and transfer-pricing specialty need local enrichment.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723","M121107","121107","Tax Manager","https://emasco.mohr.gov.my/masco/1211-07","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","broader_proxy","medium","Tax advisory and compliance proxy; managerial level and transfer-pricing specialty need local enrichment.","assistant_drafted_pending_domain_validation","False"
"M121115","Claim Manager","121115","1211","1346.5","insurance claims manager","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b","close_match","medium","Insurance claims management.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b","M121108","121108","Claims Manager","https://emasco.mohr.gov.my/masco/1211-08","2020","title_variant","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","Insurance claims management.","assistant_drafted_pending_domain_validation","False"
"M121123","Actuarial Valuation Manager","121123","1211","2120.1","actuarial consultant","http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482","broader_proxy","medium","Actuarial valuation work; management responsibility is not fully represented.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482","M121109","121109","Actuarial Valuation Manager","https://emasco.mohr.gov.my/masco/1211-09","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","broader_proxy","medium","Actuarial valuation work; management responsibility is not fully represented.","assistant_drafted_pending_domain_validation","False"
"M121205","Occupational Safety and Health Manager","121205","1212","1213.7","health safety and environmental manager","http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b","close_match","medium","Management of workplace health, safety and environmental programmes.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b","M121202","121202","Occupational Safety and Health Manager","https://emasco.mohr.gov.my/masco/1212-02","2020","exact_normalized_title","high","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","Management of workplace health, safety and environmental programmes.","assistant_drafted_pending_domain_validation","False"
