"source_current_role_id","source_current_masco_code","source_current_role_title","status","masco2020_role_ids","d13_esco_code","d13_esco_title","d11_esco_code","d11_esco_comparison_codes","d11_esco_comparison_titles","previous_d13_esco_code","source_mapping_relation","source_mapping_confidence"
"M111201","111201","Senior Government Officials","excluded_from_active_dataset","","1112.6","public administration manager","","","","","broader_proxy","medium"
"M112104","112104","Chief Technical Officer","retained","M112104","1330.3","chief technology officer","","","","","close_match","medium"
"M121101","121101","Budgeting/Financial Accounting Manager","retained","M121104","1211.1.1","accounting manager","","","","","partial_proxy","low"
"M121102","121102","Audit and Risk Management Manager","retained","M121106","2412.3","corporate risk manager","","","","","partial_proxy","low"
"M121103","121103","Credit Manager","retained","M121107","3312.3","credit manager","","","","","close_match","high"
"M121104","121104","Insurance Manager","retained","M121108","1346.4","insurance agency manager","","","","","broader_proxy","medium"
"M121105","121105","Fund/Portfolio Manager","retained","M121109","2412.7","investment fund manager","","","","","close_match","medium"
"M121107","121107","Tax Manager","retained","M121114","2411.1.12","tax advisor","","","","","broader_proxy","medium"
"M121108","121108","Claims Manager","retained","M121115","1346.5","insurance claims manager","","","","","close_match","medium"
"M121109","121109","Actuarial Valuation Manager","retained","M121123","2120.1","actuarial consultant","","","","","broader_proxy","medium"
"M121111","121111","Transfer Pricing Manager","excluded_from_active_dataset","","2411.1.12","tax advisor","","","","","broader_proxy","medium"
"M121202","121202","Occupational Safety and Health Manager","retained","M121205","1213.7","health safety and environmental manager","","","","","close_match","medium"
"M121404","121404","Supply Chain and Logistics Management Manager","retained","M121411;M132405","1324.8","supply chain manager","","","","","close_match","medium"
"M121408","121408","Technology Manager","retained","M121416","1330.5","ICT operations manager","","","","","broader_proxy","medium"
"M121409","121409","Chief Business Officer","excluded_from_active_dataset","","1120.3","chief executive officer","","","","","partial_proxy","low"
"M122301","122301","Research and Development Manager","retained","M122301","1223.2","research and development manager","","","","1223.2","close_match","high"
"M131101","131101","Forestry Manager","retained","M131102","1311.1","forester","","","","1311.1","close_match","medium"
"M131102","131102","Agricultural Manager","retained","M131106","6130.1","farm manager","","","","","broader_proxy","medium"
"M131103","131103","Veterinary Manager","retained","M131111","1120.1","animal facility manager","","","","","partial_proxy","low"
"M131104","131104","Field Manager (Grass)","retained","M131114","6113.3","horticulture production team leader","","","","","partial_proxy","low"
"M131201","131201","Aquaculture and Fisheries Production/Operation Manager","retained","M131202;M131203","1312.3","aquaculture production manager","","","","","close_match","medium"
"M132101","132101","Manufacturing Manager","retained","M132101","1321.2","manufacturing manager","","","","1321.2","close_match","high"
"M132102","132102","Electrical Manager","retained","M132104","3123.1.11","electrical supervisor","","","","","partial_proxy","low"
"M132103","132103","Energy Manager","retained","M132105","1349.12","energy manager","","","","","close_match","high"
"M132104","132104","Production Manager (Manufacturing)","retained","M132102","1321.2.1","industrial production manager","","","","","close_match","medium"
"M132105","132105","Ship Hull Manager","retained","M132108","1321.2.1","industrial production manager","","","","","broader_proxy","medium"
"M132106","132106","Mechanical Manager","retained","M132109","1321.2","manufacturing manager","","","","","partial_proxy","low"
"M132107","132107","Welding Manager","retained","M132110","7212.4","welding coordinator","","","","","close_match","medium"
"M132108","132108","Oil Mill Manager","retained","M132111","1321.2.1.3","food production manager","","","","","broader_proxy","medium"
"M132109","132109","Manager (Halal Food Manufacturing)","retained","M132112","1321.2.1.3","food production manager","","","","","broader_proxy","medium"
"M132111","132111","Power Generation Plant Manager","retained","M132126","1219.5.3","power plant manager","","","","","close_match","medium"
"M132201","132201","Production and Operation Manager (Mine)","retained","M132201","1322.1.1","mine production manager","","","","","close_match","medium"
"M132202","132202","Production and Operation Manager (Oil and Gas Extraction)","retained","M132203","1322.1.2","oil and gas production manager","","","","","broader_proxy","medium"
"M132203","132203","Offshore Installation Manager","retained","M132207","1322.1.2","oil and gas production manager","","","","","broader_proxy","medium"
"M132205","132205","Metallurgy Manager","retained","M132210","1321.2.1.7","metallurgical manager","","","","","close_match","medium"
"M132301","132301","Construction Manager","retained","M132301","1323.1","construction manager","","","","1323.1","close_match","high"
"M132302","132302","Building and Architecture Manager","retained","M132310","1323.1","construction manager","","","","","broader_proxy","medium"
"M132303","132303","Land Surveyor Manager","retained","M132311","2165.4","land surveyor","","","","","broader_proxy","medium"
"M132401","132401","Railway Station Master","retained","M132401","1324.7","railway station manager","","","","","close_match","medium"
"M132402","132402","Transport Manager","retained","M132402","1324.3.1.5","road transport division manager","","","","","close_match","medium"
"M132404","132404","Port/Shipping Operations Manager","retained","M132414","4323.11","port coordinator","","","","","partial_proxy","low"
"M132405","132405","Halal Logistics Operation Manager","retained","M132416","1324.3","logistics and distribution manager","","","","","broader_proxy","medium"
"M151101","151101","Chief Information Officer/Chief Data Officer/Chief Information Security Officer","retained","M151101;M151102;M151103","1330.2","chief information officer","","","","","partial_proxy","low"
"M151102","151102","Information Systems Manager","retained","M151106","1330.5","ICT operations manager","","","","","broader_proxy","medium"
"M151103","151103","Village Community Center Manager (Information Technology)","retained","M151108","1330.5","ICT operations manager","","","","","broader_proxy","medium"
"M151104","151104","Internet Service Provider","retained","M151116","1330.9","telecommunications manager","","","","","close_match","medium"
"M151105","151105","Network/Communications/Infrastructure Manager","retained","M151117;M151123","1330.5","ICT operations manager","","","","","broader_proxy","medium"
"M151106","151106","Audio Visual Manager","retained","M151119","2654.1.7","technical director","","","","","partial_proxy","low"
"M151107","151107","Information Technology Project Manager","retained","M151122","1330.7","ICT project manager","","","","","close_match","medium"
"M151108","151108","Information Technology Programme Manager","retained","M151124","1330.7","ICT project manager","","","","","partial_proxy","low"
"M151109","151109","Bioinformatics Manager","retained","M151127","2131.3","bioinformatics scientist","","","","","broader_proxy","medium"
"M151110","151110","Creative Multimedia Manager","retained","M151128","2431.7","creative director","","","","","broader_proxy","medium"
"M151111","151111","Network Operations Manager","retained","M151130","1330.5","ICT operations manager","","","","","broader_proxy","medium"
"M151112","151112","Information Technology Business Development Manager","retained","M151132","2434.2","ICT business development manager","","","","","close_match","medium"
"M151113","151113","Software and Applications Manager","retained","M151112;M151135","1330.5.1","software manager","","","","","close_match","medium"
"M151118","151118","Data Manager","retained","M151113","1330.1","chief data officer","","","","","partial_proxy","low"
"M161201","161201","Phytonutrients Manager","retained","M161210","1223.2","research and development manager","","","","","partial_proxy","low"
"M161202","161202","Health Educator","retained","M161211","3253.1","community health worker","","","","","broader_proxy","medium"
"M161203","161203","Chief Nurse","retained","M161202","2221.2","nurse responsible for general care","","","","","broader_proxy","medium"
"M211101","211101","Physicist","retained","M211101","2111.3","physicist","","","","2111.3","close_match","high"
"M211102","211102","Astronaut","retained","M211129","3153.3","astronaut","","","","","close_match","high"
"M211201","211201","Meteorologist","retained","M211202","2112.1","meteorologist","","","","2112.1","close_match","high"
"M211202","211202","Meteorologist (Environmental)","retained","M211210","2112.1","meteorologist","","","","","broader_proxy","medium"
"M211203","211203","Meteorologist (Numerical Weather Prediction Modelling)","retained","M211211","2112.1","meteorologist","","","","","broader_proxy","medium"
"M211204","211204","Meteorological Officer Grade C9","retained","M211201","2112.1","meteorologist","","","","","broader_proxy","medium"
"M211301","211301","Chemist","retained","M211302","2113.1","chemist","","","","2113.1","close_match","high"
"M211401","211401","Geologist","retained","M211402","2114.1","geologist","","","","2114.1","close_match","high"
"M211402","211402","Hydrologist","retained","M211424","2114.1.5","hydrologist","","","","2114.1.5","close_match","high"
"M211403","211403","Geoscientist","retained","M211432","2114.1","geologist","","","","","broader_proxy","medium"
"M212101","212101","Mathematician","retained","M212102","2120.5","mathematician","","","","","close_match","high"
"M212102","212102","Statistician","retained","M212106","2120.6","statistician","","","","","close_match","high"
"M212103","212103","Actuary","retained","M212112;M212113","2120.1","actuarial consultant","","","","","close_match","medium"
"M212104","212104","Metrologist","retained","M212115","2112.2","metrologist","","","","","close_match","high"
"M212105","212105","Statistician Grade E9","retained","M212101","2120.6","statistician","","","","","close_match","high"
"M213101","213101","Microbiologist","retained","M213103","2131.4.10","microbiologist","","","","2131.4.10","close_match","high"
"M213102","213102","Serologist","retained","M213104","2131.6","immunologist","","","","","broader_proxy","medium"
"M213103","213103","Biologist","retained","M213108","2131.4","biologist","","","","2131.4","close_match","high"
"M213104","213104","Cytologist","retained","M213117","2269.13.1","cytotechnologist","","","","","partial_proxy","low"
"M213105","213105","Botanist","retained","M213120","2131.4.6","botanist","","","","2131.4.6","close_match","high"
"M213106","213106","Ecologist","retained","M213151","2133.5","ecologist","","","","","close_match","high"
"M213107","213107","Wildlife Officer Grade G9","retained","M213101","2133.9","nature conservation officer","","","","","broader_proxy","medium"
"M213201","213201","Agricultural Officer","retained","M213205","2132.2","agronomist","","","","","partial_proxy","low"
"M213202","213202","Farm Demonstrator","retained","M213209","2132.2","agronomist","","","","","partial_proxy","low"
"M213203","213203","Forestry Officer","retained","M213210","2132.5","forestry adviser","","","","","partial_proxy","low"
"M213204","213204","Aquaculture Executive","retained","M213214","1312.3","aquaculture production manager","","","","","broader_proxy","medium"
"M213206","213206","Conservator of Forests Grade G9","retained","M213202","2132.5","forestry adviser","","","","","partial_proxy","low"
"M213207","213207","Agricultural Officer Grade G9","retained","M213203","2132.2","agronomist","","","","","partial_proxy","low"
"M213208","213208","Land Planning Officer Grade G9","retained","M213204","2164.1","land planner","","","","","close_match","medium"
"M213301","213301","Agronomist","retained","M213302","2132.2","agronomist","","","","","close_match","high"
"M213302","213302","Agricultural Scientist","retained","M213304","2132.1","agricultural scientist","","","","","close_match","high"
"M213303","213303","Floriculturist","retained","M213305","6113.2","horticulture production manager","","","","","partial_proxy","low"
"M213304","213304","Horticulturist/Arborist","retained","M213306;M213169","6112.1","arboriculturist","","","","","partial_proxy","low"
"M213305","213305","Wood Analyst","retained","M213315","2149.11.2","wood technology engineer","","","","","partial_proxy","low"
"M213306","213306","Animal Scientist","retained","M213316","2250.9","veterinary scientist","","","","","partial_proxy","low"
"M213307","213307","Environmental Research Scientist","retained","M213317","2133.7","environmental scientist","","","","","close_match","medium"
"M213308","213308","Conservation Officer","retained","M213318","2133.9","nature conservation officer","","","","2133.9","close_match","medium"
"M213309","213309","Environmental Consultant","retained","M213322","2133.6","environmental programme coordinator","","","","2133.6","broader_proxy","medium"
"M213310","213310","Environmental Control Officer Grade C9","retained","M213301","3257.1","environmental health inspector","","","","","partial_proxy","low"
"M213401","213401","Biochemist","retained","M213402","2131.4.2","biochemist","","","","","close_match","high"
"M213402","213402","Endocrinologist","retained","M213409","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M213403","213403","Physiologist","retained","M213410","2131.4.11","physiologist","","","","","close_match","high"
"M213404","213404","Pharmacologist","retained","M213416","2131.7","pharmacologist","","","","","close_match","high"
"M213405","213405","Pathologist","retained","M213422","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M213406","213406","Bio-Fermentation Specialist","retained","M213433","2131.5","food biotechnologist","","","","","partial_proxy","low"
"M213407","213407","Bee Cultivation Specialist","retained","M213435","6123.1","bee breeder","","","","","close_match","medium"
"M213408","213408","Embryologist","retained","M213436","2131.4.8","geneticist","","","","","partial_proxy","low"
"M214101","214101","Automation Engineer","retained","M214101","2141.4.2.1","automation engineer","","","","2141.4.2.1","close_match","high"
"M214102","214102","Robotics Engineer","retained","M214102","2149.15","robotics engineer","","","","","close_match","high"
"M214103","214103","Industrial Engineer","retained","M214103","2141.4","industrial engineer","","","","2141.4","close_match","high"
"M214104","214104","Communication Analyst","retained","M214106","1222.1","communication manager","","","","","partial_proxy","low"
"M214105","214105","Systems Engineer (except Computers)","retained","M214110","2141.4","industrial engineer","","","","","broader_proxy","medium"
"M214106","214106","Systems Design Engineer (except Computers)","retained","M214111","2149.2.4","design engineer","","","","","broader_proxy","medium"
"M214107","214107","Cost Evaluation Engineer","retained","M214115","2411.1.5","cost analyst","","","","","partial_proxy","low"
"M214108","214108","Industrial and Production Technologist","excluded_from_active_dataset","","2141.4.2","production engineer","","","","","close_match","medium"
"M214109","214109","Ceramics Technologist","retained","M214120","2149.11","materials engineer","","","","","broader_proxy","medium"
"M214110","214110","Photonic Engineer","retained","M214142","2149.12.1","photonics engineer","","","","","close_match","medium"
"M214111","214111","Scada Engineer","retained","M214144","2141.4.2.1","automation engineer","","","","","broader_proxy","medium"
