"role_id","masco_code","role_title","unit_group_code","unit_group_title","source_current_role_ids","source_current_title","remap_method","remap_confidence","esco_code","masco2020_source_url"
"M112104","112104","Chief Technical Officer","1121","Managing Directors And Chief Executives","M112104","Chief Technical Officer","exact_normalized_title","high","1330.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317"
"M121104","121104","Budget Manager","1211","Finance Managers","M121101","Budgeting/Financial Accounting Manager","reviewed_functional_equivalent","medium","1211.1.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318"
"M121106","121106","Audit and Risk Management Manager","1211","Finance Managers","M121102","Audit and Risk Management Manager","exact_normalized_title","high","2412.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318"
"M121107","121107","Credit Manager","1211","Finance Managers","M121103","Credit Manager","exact_normalized_title","high","3312.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318"
"M121108","121108","Insurance Manager","1211","Finance Managers","M121104","Insurance Manager","exact_normalized_title","high","1346.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318"
"M121109","121109","Fund Manager","1211","Finance Managers","M121105","Fund/Portfolio Manager","reviewed_functional_equivalent","medium","2412.7","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318"
"M121114","121114","Tax Manager","1211","Finance Managers","M121107","Tax Manager","exact_normalized_title","high","2411.1.12","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318"
"M121115","121115","Claim Manager","1211","Finance Managers","M121108","Claims Manager","title_variant","high","1346.5","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318"
"M121123","121123","Actuarial Valuation Manager","1211","Finance Managers","M121109","Actuarial Valuation Manager","exact_normalized_title","high","2120.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318"
"M121205","121205","Occupational Safety and Health Manager","1212","Human Resource Managers","M121202","Occupational Safety and Health Manager","exact_normalized_title","high","1213.7","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318"
"M121411","121411","Supply Chain Manager","1214","Business Services Managers","M121404","Supply Chain and Logistics Management Manager","combined_title_split","medium","1324.8","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319"
"M121416","121416","Technology Manager","1214","Business Services Managers","M121408","Technology Manager","exact_normalized_title","high","1330.5","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319"
"M122301","122301","Research and Development Manager","1223","Research And Development Managers","M122301","Research and Development Manager","exact_normalized_title","high","1223.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320"
"M131102","131102","Forestry Manager","1311","Agricul Tural, Forestry And Livestock Production Managers","M131101","Forestry Manager","exact_normalized_title","high","1311.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320"
"M131106","131106","Agricultural Manager","1311","Agricul Tural, Forestry And Livestock Production Managers","M131102","Agricultural Manager","exact_normalized_title","high","6130.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320"
"M131111","131111","Veterinary Manager","1311","Agricul Tural, Forestry And Livestock Production Managers","M131103","Veterinary Manager","exact_normalized_title","high","1120.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320"
"M131114","131114","Field Manager, Grass","1311","Agricul Tural, Forestry And Livestock Production Managers","M131104","Field Manager (Grass)","exact_normalized_title","high","6113.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320"
"M131202","131202","Production and Operation Manager, Fishery","1312","Aquacul Ture And Fisheries Production Managers","M131201","Aquaculture and Fisheries Production/Operation Manager","combined_title_split","medium","1312.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320"
"M131203","131203","Aquaculture Production Manager","1312","Aquacul Ture And Fisheries Production Managers","M131201","Aquaculture and Fisheries Production/Operation Manager","combined_title_split","medium","1312.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320"
