"embedding_index","role_id"
"0","M112104"
"1","M121104"
"2","M121106"
"3","M121107"
"4","M121108"
"5","M121109"
"6","M121114"
"7","M121115"
"8","M121123"
"9","M121205"
"10","M121411"
"11","M121416"
"12","M122301"
"13","M131102"
"14","M131106"
"15","M131111"
"16","M131114"
"17","M131202"
"18","M131203"
"19","M132101"
"20","M132102"
"21","M132104"
"22","M132105"
"23","M132108"
"24","M132109"
"25","M132110"
"26","M132111"
"27","M132112"
"28","M132126"
"29","M132201"
"30","M132203"
"31","M132207"
"32","M132210"
"33","M132301"
"34","M132310"
"35","M132311"
"36","M132401"
"37","M132402"
"38","M132405"
"39","M132414"
"40","M132416"
"41","M151101"
"42","M151102"
"43","M151103"
"44","M151106"
"45","M151108"
"46","M151112"
"47","M151113"
"48","M151116"
"49","M151117"
"50","M151119"
"51","M151122"
"52","M151123"
"53","M151124"
"54","M151127"
"55","M151128"
"56","M151130"
"57","M151132"
"58","M151135"
"59","M161202"
"60","M161210"
"61","M161211"
"62","M211101"
"63","M211129"
"64","M211201"
"65","M211202"
"66","M211210"
"67","M211211"
"68","M211302"
"69","M211402"
"70","M211424"
"71","M211432"
"72","M212101"
"73","M212102"
"74","M212106"
"75","M212112"
"76","M212113"
"77","M212115"
"78","M213101"
"79","M213103"
"80","M213104"
"81","M213108"
"82","M213117"
"83","M213120"
"84","M213151"
"85","M213169"
"86","M213202"
"87","M213203"
"88","M213204"
"89","M213205"
"90","M213209"
"91","M213210"
"92","M213214"
"93","M213301"
"94","M213302"
"95","M213304"
"96","M213305"
"97","M213306"
"98","M213315"
"99","M213316"
"100","M213317"
"101","M213318"
"102","M213322"
"103","M213402"
"104","M213409"
"105","M213410"
"106","M213416"
"107","M213422"
"108","M213433"
"109","M213435"
"110","M213436"
"111","M214101"
"112","M214102"
"113","M214103"
"114","M214106"
"115","M214110"
"116","M214111"
"117","M214115"
"118","M214120"
"119","M214142"
"120","M214144"
"121","M214155"
"122","M214156"
"123","M214157"
"124","M214159"
"125","M214169"
"126","M214202"
"127","M214206"
"128","M214207"
"129","M214238"
"130","M214245"
"131","M214246"
"132","M214248"
"133","M214301"
"134","M214305"
"135","M214402"
"136","M214404"
"137","M214413"
"138","M214436"
"139","M214443"
"140","M214458"
"141","M214459"
"142","M214503"
"143","M214601"
"144","M214606"
"145","M214609"
"146","M214616"
"147","M214624"
"148","M214641"
"149","M214642"
"150","M214645"
"151","M214648"
"152","M214649"
"153","M214901"
"154","M214902"
"155","M214907"
"156","M214913"
"157","M214918"
"158","M214919"
"159","M214920"
"160","M214921"
"161","M214922"
"162","M214923"
"163","M215102"
"164","M215135"
"165","M215136"
"166","M215202"
"167","M215236"
"168","M215301"
"169","M215323"
"170","M215330"
"171","M216101"
"172","M216102"
"173","M216201"
"174","M216202"
"175","M216301"
"176","M216326"
"177","M216401"
"178","M216402"
"179","M216404"
"180","M216407"
"181","M216501"
"182","M216502"
"183","M216503"
"184","M216507"
"185","M216601"
"186","M217102"
"187","M217105"
"188","M217201"
"189","M217203"
"190","M217205"
"191","M217207"
"192","M217210"
"193","M217211"
"194","M217301"
"195","M217302"
"196","M217303"
"197","M217305"
"198","M217310"
"199","M217311"
"200","M217312"
"201","M217313"
"202","M217314"
"203","M217315"
"204","M217322"
"205","M217401"
"206","M217402"
"207","M217403"
"208","M217501"
"209","M218101"
"210","M218201"
"211","M218202"
"212","M218207"
"213","M218229"
"214","M218231"
"215","M218301"
"216","M221101"
"217","M221102"
"218","M221107"
"219","M221108"
"220","M221110"
"221","M221111"
"222","M221112"
"223","M221113"
"224","M221118"
"225","M221120"
"226","M221201"
"227","M221204"
"228","M221206"
"229","M221208"
"230","M221209"
"231","M221210"
"232","M221211"
"233","M221213"
"234","M221217"
"235","M221233"
"236","M221234"
"237","M221236"
"238","M221244"
"239","M221257"
"240","M221262"
"241","M221263"
"242","M221266"
"243","M222101"
"244","M222102"
"245","M222109"
"246","M222110"
"247","M222201"
"248","M224101"
"249","M225101"
"250","M225102"
"251","M226101"
"252","M226102"
"253","M226201"
"254","M226202"
"255","M226207"
"256","M226301"
"257","M226320"
"258","M226324"
"259","M226325"
"260","M226327"
"261","M226328"
"262","M226329"
"263","M226331"
"264","M226337"
"265","M226341"
"266","M226344"
"267","M226401"
"268","M226411"
"269","M226501"
"270","M226502"
"271","M226514"
"272","M226601"
"273","M226602"
"274","M226603"
"275","M226701"
"276","M226702"
"277","M226703"
"278","M226801"
"279","M226901"
"280","M226902"
"281","M231105"
"282","M231117"
"283","M232102"
"284","M238101"
"285","M238102"
"286","M238103"
"287","M238106"
"288","M238107"
"289","M238108"
"290","M238109"
"291","M238110"
"292","M238111"
"293","M238112"
"294","M239303"
"295","M242103"
"296","M242401"
"297","M242601"
"298","M242602"
"299","M242603"
"300","M242604"
"301","M242609"
"302","M242613"
"303","M243114"
"304","M243132"
"305","M243301"
"306","M243401"
"307","M243410"
"308","M251101"
"309","M251116"
"310","M251142"
"311","M251144"
"312","M251201"
"313","M251219"
"314","M251243"
"315","M251301"
"316","M251302"
"317","M251401"
"318","M251407"
"319","M251419"
"320","M251433"
"321","M251434"
"322","M251902"
"323","M251916"
"324","M252101"
"325","M252103"
"326","M252108"
"327","M252201"
"328","M252205"
"329","M252208"
"330","M252214"
"331","M252215"
"332","M252222"
"333","M252238"
"334","M252311"
"335","M252401"
"336","M252403"
"337","M252406"
"338","M252411"
"339","M252413"
"340","M253102"
"341","M253103"
"342","M253120"
"343","M253130"
"344","M253131"
"345","M253136"
"346","M253139"
"347","M254110"
"348","M254112"
"349","M254116"
"350","M254120"
"351","M254126"
"352","M254127"
"353","M254128"
"354","M254201"
"355","M254203"
"356","M254204"
"357","M254206"
"358","M254209"
"359","M254210"
"360","M254211"
"361","M254215"
"362","M254217"
"363","M254301"
"364","M254302"
"365","M254305"
"366","M254314"
"367","M254316"
"368","M254317"
"369","M254318"
"370","M261907"
"371","M282203"
"372","M282204"
"373","M282206"
"374","M282404"
"375","M282407"
"376","M291603"
"377","M291608"
"378","M311101"
"379","M311102"
"380","M311105"
"381","M311106"
"382","M311107"
"383","M311108"
"384","M311110"
"385","M311112"
