company_name,bursa_code,bursa_sector,report_title_year,report_url,source_page,onsite_childcare,childcare_subsidy,childcare_subsidy_amount,nursing_room,priority_parking_expectant,maternity_leave,paternity_leave,parental_childcare_leave,extended_unpaid_care_leave,remote_wfh,hybrid,part_time,flexible_hours,return_to_work_program,career_comeback_partner,benefit_raw_text,qa_checked_by
CIMB Group Holdings Berhad,1023,Financial Services,CIMB Sustainability Report 2025,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2025/cimb-sustainability-report-2025.pdf,147,Yes,Not disclosed,Not disclosed,Yes,Yes,180 days (first child; beyond statutory); 98 days + up to 90 days half-pay (subsequent children),30 days (first child); 7 days (subsequent children),Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Yes,Six-month maternity leave for first-time mothers | One-month paternity leave | Adoption leave | Onsite lactation rooms | Reserved parking bays | Onsite childcare centre | FLEX4ALL,Pending second-person QA
Malayan Banking Berhad (Maybank),1155,Financial Services,Maybank Sustainability and Environmental Report 2025,https://maybankfoundation.com/wp-content/uploads/2026/04/maybank-sustainability-and-environmental-report-2025.pdf,120,Yes,Yes,Not disclosed,Yes,Not disclosed,98 days (option to extend up to 365 days),Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,"Maternity and Parental Leave | 98 days of maternity leave | Childcare Benefits | leave, subsidies and child-friendly facilities | Childcare Centre | Nursing Room | Flexi Work Arrangements",Pending second-person QA
AMMB Holdings Berhad (AmBank Group),1015,Financial Services,AMMB Holdings Berhad Sustainability Report 2025,https://www.ambankgroup.com/docs/ambankgrouplibraries/sustainability/reports/ammb-sustainability-report-25.pdf,"121, 123, 141-142",Yes,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Yes,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,AmBank Little Explorers | Childcare Centre at Menara AmBank | Parental Leave | seven consecutive paid days | nursing rooms | Unpaid Leave | major life events,Pending second-person QA
Allianz Malaysia Berhad,1163,Financial Services,Allianz Malaysia Berhad Integrated Annual Report 2025,https://www.allianz.com.my/content/dam/onemarketing/azmb/wwwallianzcommy/pdf/investor-updates/2026/AllianzMalaysiaBerhad_IAR25.pdf,87,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,No,Our flexible work strategy supports better work-life integration | 60.9% of employees adopted hybrid work arrangements,Pending second-person QA
Kenanga Investment Bank Berhad,6483,Financial Services,Kenanga Investment Bank Berhad Sustainability Report 2025,https://www.kenanga.com.my/wp-content/themes/kenanga/sustainability-bitesite-2026/src/document/Kenanga-SR25.pdf,"107, 123",Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Yes (duration not stated),Yes (duration not stated),Yes,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,No,nursing rooms | enhanced maternity and paternity leave provisions | hybrid working arrangements | flexible working arrangement remained available | Parental Leave in 2025,Pending second-person QA
Alliance Bank Malaysia Berhad,2488,Financial Services,Alliance Bank Malaysia Berhad Sustainability Statement FY2026,https://www.alliancebank.com.my/Alliance/media/ABMB/IR-AnnualReports/2026/ar2026_sustainability-statement.pdf,"149, 165 (PDF pp.95, 111)",Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Yes (duration not stated),Yes (duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,nursing room | maternity leave | paternity leave,Pending second-person QA
Syarikat Takaful Malaysia Keluarga Berhad,6139,Financial Services,Integrated Annual Report 2025,https://www.takaful-malaysia.com.my/wp-content/uploads/2023/04/STMKB-IAR2025_FULL-DRAFT_21.04.2026-FINAL.pdf,99,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,parental and childcare leave | employees utilised parental leave,Pending second-person QA
RHB Bank Berhad,1066,Financial Services,RHB Sustainability Report 2025,https://www.rhbgroup.com/-/media/Assets/Corporate-Website/Document/Supported-Doc/General-Meetings/RHB-Sustainability-Report-2025.pdf,"99-100, 103",Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,parental leave | nursing rooms,Pending second-person QA
AEON Credit Service (M) Berhad,5139,Financial Services,Analyst Presentation Q4 FYE2026,https://aeoncredit.com.my/wp-content/uploads/AEON-Credit-Analyst-Presentation-Q4FYE2026.pdf,13,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,No,Family Care Leave | expanded Flexible Working Hours arrangements company-wide,Pending second-person QA
Public Bank Berhad,1295,Financial Services,Public Bank Careers - Career With Us (official secondary source; accessed 2026-09-10),https://www.publicbankgroup.com/careers/public-bank-berhad-career-with-us/,Web - Employee Benefits,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (extended; duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,extended maternity leave,Pending second-person QA
Telekom Malaysia Berhad,4863,Telecommunications & Media,Telekom Malaysia Berhad Integrated Annual Report 2025 - Sustainability Statement Part 2,https://www.tm.com.my/sites/default/files/2026-05/%5BSS%20-%20Part%202%2C%20Except%20SPD%5D%20Telekom%20Malaysia%20Berhad%20IAR25.pdf,"213, 215",Yes,Yes,"RM3,000/year (non-taxable; registered centres or babysitters)",Yes,Not disclosed,98 days,7 days,Not disclosed,Not disclosed,Yes,Yes,Not disclosed,Yes,Not disclosed,No,"On-site childcare facilities | breastfeeding breaks and facilities | Paid Maternity Leave | 98 days | Paid Paternity Leave | seven days | RM3,000 per annum | FlexiHours | hybrid | remote work",Pending second-person QA
