company_name,symbol,bursa_code,target_sector,actual_sector,selection_basis,evidence_status,report_title_year,report_url,source_page,family_support_pillar,parental_leave_pillar,flexible_work_pillar,returnship_pillar,pillar_count,benefit_raw_text,qa_checked_by,selection_source_url,sector_rank,source_id,local_report_file,source_download_status,source_sha256,source_pdf_pages
Gamuda Berhad,GAMUDA,5398,Construction,Construction,Existing report-qualified evidence,Report evidence completed,Gamuda ESG Impact Report 2025,https://gamuda.listedcompany.com/misc/esg_impact_report_2025.pdf,"53, 154",Yes,Yes,Yes,Not disclosed,3,childcare subsidies | 98 days maternity leave | parental leave | work from home | staggered hours | flexitime,Pending second-person QA,https://gamuda.listedcompany.com/misc/esg_impact_report_2025.pdf,1,SRC-001,SOURCE_FILES/SRC_001_Gamuda_Berhad.pdf,downloaded,fdff25d0675c100cd00e3060dceeadf12d01e1944bbcd24d4236c77918f97d8c,87
Sunway Construction Group Berhad,SUNCON,5263,Construction,Construction,Existing report-qualified evidence,Report evidence completed,Sunway Construction Integrated Annual Report 2025,https://ir2.chartnexus.com/suncon/doc/ar/ar2025.pdf,342,Not disclosed,Yes,Not disclosed,Not disclosed,1,social performance data | parental leave,Pending second-person QA,https://ir2.chartnexus.com/suncon/doc/ar/ar2025.pdf,2,SRC-002,SOURCE_FILES/SRC_002_Sunway_Construction_Group_Berhad.pdf,downloaded,5c2dbc3e0f7136d06170d55ef1fb9268a4908a586286ca46c8e1383c2b088441,193
IJM Corporation Berhad,IJM,3336,Construction,Construction,New official-report finding,Report evidence completed,IJM Corporation Integrated Annual Report 2025,https://www.ijm.com/wp-content/themes/ijm.2025/pdf/Social%20FY25.pdf,215,Not disclosed,Yes,Yes,Not disclosed,2,"IJM lists parental and family-care leave, flexi working hours, flexi lunch hours and flexible work arrangements among employee benefits.",Codex report review 2026-09-20,https://www.ijm.com/wp-content/themes/ijm.2025/pdf/Social%20FY25.pdf,3,SRC-003,SOURCE_FILES/SRC_003_IJM_Corporation_Berhad.pdf,downloaded,ee250501e373d38449741408083ee84e2fae1f176993e823a180ce820a088a5a,25
WCT Holdings Berhad,WCT,9679,Construction,Construction,New official-report finding,Report evidence completed,WCT Holdings Annual Report 2025,https://www.wct.com.my/annual/wct_annual_2025.pdf,116,Not disclosed,Yes,Not disclosed,Not disclosed,1,"FY2025 parental-leave data records 26 maternity and 35 paternity leave users, with 100% post-leave return and retention rates.",Codex report review 2026-09-20,https://www.wct.com.my/annual/wct_annual_2025.pdf,4,SRC-004,SOURCE_FILES/SRC_004_WCT_Holdings_Berhad.pdf,downloaded,7527a03d1036ba010882dc0373be1ee896a0f3d29c8e3e1f4e139f66ac5b4241,324
AME Elite Consortium Berhad,AME,5293,Construction,Construction,New official-report finding,Report evidence completed,AME Elite Consortium Annual Report 2025,https://ame-elite.investor.net.my/wp-content/uploads/2025/07/AME-Sustainability-Statement-2025.pdf,66,Not disclosed,Yes,Not disclosed,Not disclosed,1,"AME reports equal access to parental leave; in FY2025, ten men and nine women took parental leave.",Codex report review 2026-09-20,https://ame-elite.investor.net.my/wp-content/uploads/2025/07/AME-Sustainability-Statement-2025.pdf,5,SRC-005,SOURCE_FILES/SRC_005_AME_Elite_Consortium_Berhad.pdf,downloaded,d7b4be2305a424fb8a69d2de6372095b402edde22804e4264c0c642d29251e3c,58
JAKS Resources Berhad,JAKS,4723,Construction,Construction,Official-report replacement finding,Report evidence completed,JAKS Resources Berhad Annual Report 2025,https://www.insage.com.my/ir/cmn/downloading.aspx?sCompanyCode=JAKS&sFileName=26120000067458&sReportType=AR,73-74,Not disclosed,Yes,Not disclosed,Not disclosed,1,JAKS provides parental leave to both men and women; in FY2025 one employee used paternity leave and returned to work.,Codex report review 2026-09-20,https://www.insage.com.my/ir/cmn/downloading.aspx?sCompanyCode=JAKS&sFileName=26120000067458&sReportType=AR,6,SRC-006,SOURCE_FILES/SRC_006_JAKS_Resources_Berhad.pdf,downloaded,63444b3566c9f72ddf4b2fbdfc62caa6f069cdc8969520ad8aeeb7e1d0ffb340,285
Protasco Berhad,PRTASCO,5070,Construction,Construction,New official-report finding,Report evidence completed,Protasco Berhad Annual Report 2025,https://www.protasco.com.my/investors-governance/investors-reports,98,Not disclosed,Yes,Not disclosed,Not disclosed,1,"Protasco reports that 37 employees used parental leave in FY2025, comprising 24 paternity-leave and 13 maternity-leave users.",Codex report review 2026-09-20,https://www.protasco.com.my/investors-governance/investors-reports,7,SRC-007,SOURCE_FILES/SRC_007_Protasco_Berhad.pdf,downloaded,a07a020c5ef15d2be48d0eb249723f4dd08b4719b5c9a5f1f6415695d36130cb,328
Mudajaya Group Berhad,MUDAJYA,5085,Construction,Construction,Verified report finding,Report evidence completed,Mudajaya Annual Report 2024,https://www.mudajaya.com/wp-content/uploads/2025/05/Mudajaya_AR2024_Bursa.pdf,117,Not disclosed,Yes,Not disclosed,Not disclosed,1,FY2024 parental-leave participation and return-to-work data are disclosed.,Codex report review 2026-09-20,https://www.mudajaya.com/wp-content/uploads/2025/05/Mudajaya_AR2024_Bursa.pdf,8,SRC-008,SOURCE_FILES/SRC_008_Mudajaya_Group_Berhad.pdf,downloaded,04b5a37c67a4f2f2e157dd0c98319f7bec22accb877609f8685a61a78d12c2f3,253
Cheeding Holdings Berhad,CHEEDING,0372,Construction,Construction,Verified report finding,Report evidence completed,Cheeding Annual Report 2026,https://financialfilings.com/filings/cheeding-holdings-berhad/annual-report/2026/49847112/,Employee Welfare & Benefits / CSI 1 of 3,Not disclosed,Yes,Not disclosed,Not disclosed,1,Five employees took maternity or paternity leave in FYE2026.,Codex report review 2026-09-20,https://financialfilings.com/filings/cheeding-holdings-berhad/annual-report/2026/49847112/,9,SRC-009,SOURCE_FILES/SRC_009_Cheeding_Holdings_Berhad.pdf,downloaded,542803d51d77e01b43e47e781d2192f12cd4406dc9b4d41fd275f24fe8252ee0,177
Econpile Holdings Berhad,ECONBHD,5253,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,Econpile Annual Report 2025,https://ir.chartnexus.com/econpile/docs/ar/2025.pdf,31,Not disclosed,Yes,Not disclosed,Not disclosed,1,The employee-benefits disclosure includes maternity and paternity leave.,Codex report review 2026-09-20,https://ir.chartnexus.com/econpile/docs/ar/2025.pdf,10,SRC-010,SOURCE_FILES/SRC_010_Econpile_Holdings_Berhad.pdf,downloaded,4a2d465fcd597acadf10f5959f531378e5aeaf37e894efc4f0e6288b34e20d3e,131
