target_sector,companies,family_support_pillar,parental_leave_pillar,flexible_work_pillar,returnship_pillar,reports_downloaded
Construction,20,1,20,3,0,20
Consumer Products & Services,20,2,18,6,0,20
Energy,20,0,20,3,0,20
Financial Services,20,6,18,7,2,20
Health Care,20,4,17,5,0,20
Industrial Products & Services,20,3,18,6,2,20
Plantation,20,6,16,1,0,20
Property,20,4,19,5,0,20
Real Estate Investment Trusts,20,2,18,6,0,20
Technology,20,3,19,4,0,20
Telecommunications & Media,20,6,17,7,0,20
Transportation & Logistics,20,6,19,4,3,20
Utilities,20,3,18,5,0,20
