role_id,masco_code,role_title,expected_questions,actual_questions,expected_global_matches_minimum,actual_global_matches,actual_global_anchors,linked_open_qa_records,qa_status
M111201,111201,Senior Government Officials,12,12,1,2,11,0,PASS
M112104,112104,Chief Technical Officer,12,12,1,3,14,0,PASS
M121101,121101,Budgeting/Financial Accounting Manager,12,12,1,3,14,0,PASS
M121102,121102,Audit and Risk Management Manager,12,12,1,1,6,0,PASS
M121103,121103,Credit Manager,12,12,1,2,10,0,PASS
M121104,121104,Insurance Manager,12,12,1,1,6,0,PASS
M121105,121105,Fund/Portfolio Manager,12,12,1,2,13,0,PASS
M121107,121107,Tax Manager,12,12,1,1,6,0,PASS
M121108,121108,Claims Manager,12,12,1,1,6,0,PASS
M121109,121109,Actuarial Valuation Manager,12,12,1,1,6,0,PASS
M121111,121111,Transfer Pricing Manager,12,12,1,1,6,0,PASS
M121202,121202,Occupational Safety and Health Manager,12,12,1,4,14,0,PASS
M121404,121404,Supply Chain and Logistics Management Manager,12,12,1,2,13,0,PASS
M121408,121408,Technology Manager,12,12,1,2,13,0,PASS
M121409,121409,Chief Business Officer,12,12,1,3,14,0,PASS
M122301,122301,Research and Development Manager,12,12,1,3,14,0,PASS
M131101,131101,Forestry Manager,12,12,1,1,6,0,PASS
M131102,131102,Agricultural Manager,12,12,1,2,13,0,PASS
M131103,131103,Veterinary Manager,12,12,1,2,10,0,PASS
M131104,131104,Field Manager (Grass),12,12,1,1,6,0,PASS
M131201,131201,Aquaculture and Fisheries Production/Operation Manager,12,12,1,1,6,0,PASS
M132101,132101,Manufacturing Manager,12,12,1,3,14,0,PASS
M132102,132102,Electrical Manager,12,12,1,1,6,0,PASS
M132103,132103,Energy Manager,12,12,1,2,13,0,PASS
M132104,132104,Production Manager (Manufacturing),12,12,1,4,14,0,PASS
M132105,132105,Ship Hull Manager,12,12,1,1,6,0,PASS
M132106,132106,Mechanical Manager,12,12,1,1,6,0,PASS
M132107,132107,Welding Manager,12,12,1,1,6,0,PASS
M132108,132108,Oil Mill Manager,12,12,1,1,6,0,PASS
M132109,132109,Manager (Halal Food Manufacturing),12,12,1,2,11,0,PASS
M132111,132111,Power Generation Plant Manager,12,12,1,3,14,0,PASS
M132201,132201,Production and Operation Manager (Mine),12,12,1,1,6,0,PASS
M132202,132202,Production and Operation Manager (Oil and Gas Extraction),12,12,1,1,6,0,PASS
M132203,132203,Offshore Installation Manager,12,12,1,1,6,0,PASS
M132205,132205,Metallurgy Manager,12,12,1,1,6,0,PASS
M132301,132301,Construction Manager,12,12,1,4,14,0,PASS
M132302,132302,Building and Architecture Manager,12,12,1,2,11,0,PASS
M132303,132303,Land Surveyor Manager,12,12,1,3,14,0,PASS
