match_id,role_id,masco_code,masco_title,global_source_standard,global_source_code,global_source_title,mapping_method,title_similarity_0_100,mapping_confidence,source_record_id,source_url,license_id,source_description,review_status
M111201-M01,M111201,111201,Senior Government Officials,ESCO 1.2.1,1112.6,public administration manager,MASCO_crosswalk,100,not_established,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Public administration managers direct, monitor and evaluate the implementation of government policies. They supervise staff and manage resources used for implementation, and write reports on the implementation process. They also communicate with government officials and the public to inform them on the policies. Public administration managers may also participate in the design and creation of public policies.",crosswalk_reviewed_in_source_project
M111201-M02,M111201,111201,Senior Government Officials,NOC 2021 Version 1.0,00011,Senior government managers and officials,title_similarity,86,high,00011,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,"This group performs some or all of the following duties:; Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees; Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision",human_mapping_review_required
M112104-M01,M112104,112104,Chief Technical Officer,ESCO 1.2.1,1330.3,chief technology officer,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Chief technology officers contribute to a company's technical vision and lead all aspects of technology development, according to its strategic direction and growth objectives. They match technology with business needs.",crosswalk_reviewed_in_source_project
M112104-M02,M112104,112104,Chief Technical Officer,O*NET 31.0,11-1011.03,Chief Sustainability Officers,title_similarity,67,medium,11-1011.03,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",human_mapping_review_required
M112104-M03,M112104,112104,Chief Technical Officer,OSCA 2024 Version 1.0,113131,Chief Information Officer,title_similarity,67,medium,113131,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,"Plans, organises, directs, controls and coordinates the ICT strategies, plans and operations of an organisation to ensure the ICT infrastructure supports the organisation's overall operations and priorities",human_mapping_review_required
M121101-M01,M121101,121101,Budgeting/Financial Accounting Manager,ESCO 1.2.1,1211.1.1,accounting manager,MASCO_crosswalk,100,medium,http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Accounting managers assume responsibility for all accounting activities relating to financial reporting. They develop and maintain accounting principles and procedures to ensure timely and accurate financial statements, supervise accounting staff and manage the accounting activities within the appropriate time frame and budget.",crosswalk_reviewed_in_source_project
M121101-M03,M121101,121101,Budgeting/Financial Accounting Manager,NOC 2021 Version 1.0,10010,Financial managers,title_similarity,67,medium,10010,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,"This group performs some or all of the following duties:; Plan, organize, direct, control and evaluate the operation of an accounting, audit or other financial department; Develop and implement the financial policies, systems and procedures of an establishment",human_mapping_review_required
M121101-M02,M121101,121101,Budgeting/Financial Accounting Manager,O*NET 31.0,11-3031.00,Financial Managers,title_similarity,67,medium,11-3031.00,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",human_mapping_review_required
M121102-M01,M121102,121102,Audit and Risk Management Manager,ESCO 1.2.1,2412.3,corporate risk manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Corporate risk managers identify and assess potential threats and opportunities to a company, and give advice on how to deal with them. They create preventive plans to avoid and reduce risks, and put plans in place for when the company is threatened. They coordinate risk management aspects across the different functions of an organisation and are responsible for technical activities such as risk assessment, risk mapping and insurance purchase. They report on risk issues to the senior management and the company's board.",crosswalk_reviewed_in_source_project
M121103-M01,M121103,121103,Credit Manager,ESCO 1.2.1,3312.3,credit manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Credit managers oversee the application of credit policy in the bank. They decide the credit limits to be imposed, the reasonable levels of risk accepted and the conditions and terms of payment made to the customers. They control the collection of payments from their customers and manage the credit department of a bank.",crosswalk_reviewed_in_source_project
