question_id,role_id,masco_code,role_title,locale,category,difficulty,question_text,anchor_type,anchor_text,global_anchor_standard,global_anchor_record_id,global_anchor_url,global_anchor_license_id,interview_method_sources,authoring_method,answer_framework,answer_guidance,strong_evidence_signals,watch_out_for,follow_up_question,quality_score_100,review_status,safety_note
M111201-GQ01,M111201,111201,Senior Government Officials,en-MY,introduction,foundation,Give me a concise overview of your experience and explain how it prepares you for the Senior Government Officials role.,role_title,Senior Government Officials,MASCO 2020,M111201,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf,MASCO-RIGHTS-REVIEW,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_MASCO_role_title_and_global_structured_interview_method,concise-summary,"State your current professional focus, two relevant strengths, one evidence point, and why those fit this role.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",Which achievement best demonstrates your readiness?,78,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ02,M111201,111201,Senior Government Officials,en-MY,motivation,foundation,"Why are you interested in the Senior Government Officials role, and what value would you aim to deliver in the first six months?",role_title,Senior Government Officials,MASCO 2020,M111201,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf,MASCO-RIGHTS-REVIEW,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_MASCO_role_title_and_global_structured_interview_method,motivation-fit-evidence,"Connect your motivation to the work, show that you understand the role, and support the fit with evidence.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What would you need to learn first?,78,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ03,M111201,111201,Senior Government Officials,en-MY,behavioural,intermediate,"Tell me about a time your work involved this responsibility: budgetary principles. What did you do, and what changed as a result?",skill,budgetary principles,ESCO 1.2.1,http://data.europa.eu/esco/skill/74688c5d-2af1-4f7a-9d1c-00e808eaa1e6,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,STAR,"Describe the situation and your responsibility, explain your own actions and decisions, then give the result and learning.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What evidence shows that your action made a difference?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ04,M111201,111201,Senior Government Officials,en-MY,behavioural,advanced,"Describe a difficult decision connected to: Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees. How did you evaluate the options and consequences?",duty,"Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees",NOC 2021 Version 1.0,00011|main-duty:2,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,STAR,"Describe the situation and your responsibility, explain your own actions and decisions, then give the result and learning.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What would you do differently now?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ05,M111201,111201,Senior Government Officials,en-MY,behavioural,intermediate,Give an example of working with other people while responsible for: create solutions to problems. How did you handle different expectations?,skill,create solutions to problems,ESCO 1.2.1,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,STAR,"Describe the situation and your responsibility, explain your own actions and decisions, then give the result and learning.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How did you confirm alignment?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ06,M111201,111201,Senior Government Officials,en-MY,technical,intermediate,"Walk me through your approach to this area of work: Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision. What steps, tools, or standards would you use?",duty,Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision,NOC 2021 Version 1.0,00011|main-duty:3,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,approach-controls-evidence,"Explain the method step by step, name standards or checks, discuss trade-offs, and show how you validate the result.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How would you validate the result?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ07,M111201,111201,Senior Government Officials,en-MY,technical,advanced,What controls and quality checks would you apply when handling: develop strategy to solve problems? Explain the main trade-offs.,skill,develop strategy to solve problems,ESCO 1.2.1,http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,approach-controls-evidence,"Explain the method step by step, name standards or checks, discuss trade-offs, and show how you validate the result.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",Which failure mode would concern you most?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ08,M111201,111201,Senior Government Officials,en-MY,technical,advanced,"How would you measure performance and improve the way this work is done: Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members?",duty,"Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members",NOC 2021 Version 1.0,00011|main-duty:4,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,approach-controls-evidence,"Explain the method step by step, name standards or checks, discuss trade-offs, and show how you validate the result.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.","What data would you trust, and what are its limitations?",88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ09,M111201,111201,Senior Government Officials,en-MY,situational,intermediate,"A priority changes while you are responsible for: ensure cross-department cooperation. How would you reassess, communicate, and deliver?",skill,ensure cross-department cooperation,ESCO 1.2.1,http://data.europa.eu/esco/skill/b216d9a2-7d4e-4312-8d05-e375f4ab44d8,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,assess-act-communicate-review,"Clarify facts, prioritise risk, act within authority, communicate, escalate when needed, and confirm resolution.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What would cause you to escalate?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ10,M111201,111201,Senior Government Officials,en-MY,situational,advanced,"You notice a quality, safety, or compliance risk related to: A university degree or college diploma is usually required. What would you do first, and why?",requirement,A university degree or college diploma is usually required,NOC 2021 Version 1.0,00011|requirement:1,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,assess-act-communicate-review,"Clarify facts, prioritise risk, act within authority, communicate, escalate when needed, and confirm resolution.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How would you document and close the issue?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ11,M111201,111201,Senior Government Officials,en-MY,career_growth,foundation,"Which capability would you most need to strengthen to excel as a Senior Government Officials, and how would you develop it?",role_title,Senior Government Officials,MASCO 2020,M111201,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf,MASCO-RIGHTS-REVIEW,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_MASCO_role_title_and_global_structured_interview_method,capability-gap-plan,"Identify one relevant capability, explain why it matters, and give a specific learning and application plan.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How would you demonstrate progress?,78,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M111201-GQ12,M111201,111201,Senior Government Officials,en-MY,employer_question,foundation,What would you ask the interviewer to understand how success is measured for the Senior Government Officials role?,role_title,Senior Government Officials,MASCO 2020,M111201,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf,MASCO-RIGHTS-REVIEW,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_MASCO_role_title_and_global_structured_interview_method,informed-question,"Ask a concise question about expectations, measures of success, support, or near-term priorities.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How would the answer influence your priorities?,78,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ01,M112104,112104,Chief Technical Officer,en-MY,introduction,foundation,Give me a concise overview of your experience and explain how it prepares you for the Chief Technical Officer role.,role_title,Chief Technical Officer,MASCO 2020,M112104,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317,MASCO-RIGHTS-REVIEW,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_MASCO_role_title_and_global_structured_interview_method,concise-summary,"State your current professional focus, two relevant strengths, one evidence point, and why those fit this role.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",Which achievement best demonstrates your readiness?,78,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ02,M112104,112104,Chief Technical Officer,en-MY,motivation,foundation,"Why are you interested in the Chief Technical Officer role, and what value would you aim to deliver in the first six months?",role_title,Chief Technical Officer,MASCO 2020,M112104,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317,MASCO-RIGHTS-REVIEW,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_MASCO_role_title_and_global_structured_interview_method,motivation-fit-evidence,"Connect your motivation to the work, show that you understand the role, and support the fit with evidence.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What would you need to learn first?,78,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ03,M112104,112104,Chief Technical Officer,en-MY,behavioural,intermediate,"Tell me about a time your work involved this responsibility: administer ICT system. What did you do, and what changed as a result?",skill,administer ICT system,ESCO 1.2.1,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,STAR,"Describe the situation and your responsibility, explain your own actions and decisions, then give the result and learning.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What evidence shows that your action made a difference?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ04,M112104,112104,Chief Technical Officer,en-MY,behavioural,advanced,Describe a difficult decision connected to: Monitor and evaluate effectiveness of sustainability programs.. How did you evaluate the options and consequences?,task,Monitor and evaluate effectiveness of sustainability programs.,O*NET 31.0,11-1011.03|task:15382,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,STAR,"Describe the situation and your responsibility, explain your own actions and decisions, then give the result and learning.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What would you do differently now?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ05,M112104,112104,Chief Technical Officer,en-MY,behavioural,intermediate,Give an example of working with other people while responsible for: Analyses information needs and specifies technology to meet those needs. How did you handle different expectations?,task,Analyses information needs and specifies technology to meet those needs,OSCA 2024 Version 1.0,113131|task:1,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,STAR,"Describe the situation and your responsibility, explain your own actions and decisions, then give the result and learning.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How did you confirm alignment?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
