role_id,masco_code,role_title,locale,role_standard,crosswalk_status,crosswalk_confidence,mapped_masco2020_code,mapped_masco2020_title,global_sources,global_match_count,global_anchor_count,question_count,linked_open_qa_count,role_source_url,role_license_status
M111201,111201,Senior Government Officials,en-MY,MASCO 2020,excluded,not_established,,,ESCO 1.2.1; NOC 2021 Version 1.0,2,11,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf,official_source_rights_review_required_for_external_bulk_redistribution
M112104,112104,Chief Technical Officer,en-MY,MASCO 2020,retained,high,112104,Chief Technical Officer,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317,official_source_rights_review_required_for_external_bulk_redistribution
M121101,121101,Budgeting/Financial Accounting Manager,en-MY,MASCO 2020,retained,medium,121104,Budget Manager,ESCO 1.2.1; O*NET 31.0; NOC 2021 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,official_source_rights_review_required_for_external_bulk_redistribution
M121102,121102,Audit and Risk Management Manager,en-MY,MASCO 2020,retained,high,121106,Audit and Risk Management Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,official_source_rights_review_required_for_external_bulk_redistribution
M121103,121103,Credit Manager,en-MY,MASCO 2020,retained,high,121107,Credit Manager,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,official_source_rights_review_required_for_external_bulk_redistribution
M121104,121104,Insurance Manager,en-MY,MASCO 2020,retained,high,121108,Insurance Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,official_source_rights_review_required_for_external_bulk_redistribution
M121105,121105,Fund/Portfolio Manager,en-MY,MASCO 2020,retained,medium,121109,Fund Manager,ESCO 1.2.1; O*NET 31.0,2,13,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,official_source_rights_review_required_for_external_bulk_redistribution
M121107,121107,Tax Manager,en-MY,MASCO 2020,retained,high,121114,Tax Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,official_source_rights_review_required_for_external_bulk_redistribution
M121108,121108,Claims Manager,en-MY,MASCO 2020,retained,high,121115,Claim Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,official_source_rights_review_required_for_external_bulk_redistribution
M121109,121109,Actuarial Valuation Manager,en-MY,MASCO 2020,retained,high,121123,Actuarial Valuation Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,official_source_rights_review_required_for_external_bulk_redistribution
