anchor_id,role_id,masco_code,role_title,anchor_rank,anchor_type,anchor_text,source_standard,source_record_id,source_url,license_id
M111201-A01,M111201,111201,Senior Government Officials,1,skill,budgetary principles,ESCO 1.2.1,http://data.europa.eu/esco/skill/74688c5d-2af1-4f7a-9d1c-00e808eaa1e6,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO
M111201-A02,M111201,111201,Senior Government Officials,2,duty,"Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees",NOC 2021 Version 1.0,00011|main-duty:2,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE
M111201-A03,M111201,111201,Senior Government Officials,3,skill,create solutions to problems,ESCO 1.2.1,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO
M111201-A04,M111201,111201,Senior Government Officials,4,duty,Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision,NOC 2021 Version 1.0,00011|main-duty:3,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE
M111201-A05,M111201,111201,Senior Government Officials,5,skill,develop strategy to solve problems,ESCO 1.2.1,http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO
M111201-A06,M111201,111201,Senior Government Officials,6,duty,"Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members",NOC 2021 Version 1.0,00011|main-duty:4,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE
M111201-A07,M111201,111201,Senior Government Officials,7,skill,ensure cross-department cooperation,ESCO 1.2.1,http://data.europa.eu/esco/skill/b216d9a2-7d4e-4312-8d05-e375f4ab44d8,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO
M111201-A08,M111201,111201,Senior Government Officials,8,requirement,A university degree or college diploma is usually required,NOC 2021 Version 1.0,00011|requirement:1,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE
M111201-A09,M111201,111201,Senior Government Officials,9,skill,estimate duration of work,ESCO 1.2.1,http://data.europa.eu/esco/skill/e207163b-7963-4c3e-9494-7a4bb000211b,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO
M111201-A10,M111201,111201,Senior Government Officials,10,requirement,A graduate degree in a related field may be required,NOC 2021 Version 1.0,00011|requirement:2,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE
M111201-A11,M111201,111201,Senior Government Officials,11,skill,government policy implementation,ESCO 1.2.1,http://data.europa.eu/esco/skill/2be699a7-416a-4f32-967c-4edc65027b71,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO
M112104-A01,M112104,112104,Chief Technical Officer,1,skill,administer ICT system,ESCO 1.2.1,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO
M112104-A02,M112104,112104,Chief Technical Officer,2,task,Monitor and evaluate effectiveness of sustainability programs.,O*NET 31.0,11-1011.03|task:15382,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET
M112104-A03,M112104,112104,Chief Technical Officer,3,task,Analyses information needs and specifies technology to meet those needs,OSCA 2024 Version 1.0,113131|task:1,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS
