relative_path,provider,version_or_date,source_url,licence_or_reuse_note,bytes,sha256,acquired_on,scope_restriction
00_SOURCE_ARCHIVE/DigComp_2.2_JRC128415.pdf,European Commission Joint Research Centre,DigComp 2.2,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC128415/JRC128415_01.pdf,European Union reuse notice,5646079,9733ab7946f094be78c00f6a839e26be5486a00d6f953d93ddf42a5c135ab359,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/Dingel_Neiman_occupations_workathome.csv,Dingel and Neiman authors' repository,2020 repository result,https://github.com/jdingel/DingelNeiman-workathome,Repository terms; academic attribution required,45011,42ff3ae084478b554526671710b53a16d39f88c3eebb24f56f46372d7243bd40,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/.locks/models--qdrant--all-MiniLM-L6-v2-onnx/56c8c186de9040d4fea8daac2ca110f9d412bf04.lock,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/.locks/models--qdrant--all-MiniLM-L6-v2-onnx/61e23f16c75ff9995b1d2f251d720c6146d21338.lock,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/.locks/models--qdrant--all-MiniLM-L6-v2-onnx/9bbecc17cabbcbd3112c14d6982b51403b264bfa.lock,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/.locks/models--qdrant--all-MiniLM-L6-v2-onnx/bbd7b466f6d58e646fdc2bd5fd67b2f5e93c0b687011bd4548c420f7bd46f0c5.lock,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/.locks/models--qdrant--all-MiniLM-L6-v2-onnx/c17ed520ed8438736732a54957a69306b8822215.lock,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/CACHEDIR.TAG,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,191,f6572428f6d5e1575e73a1502895a8731f10757dfbb634909c6e154b849af91d,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/models--qdrant--all-MiniLM-L6-v2-onnx/blobs/56c8c186de9040d4fea8daac2ca110f9d412bf04,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,650,1b4d8e2a3988377ed8b519a31d8d31025a25f1c5f8606998e8014111438efcd7,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/models--qdrant--all-MiniLM-L6-v2-onnx/blobs/61e23f16c75ff9995b1d2f251d720c6146d21338,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,1433,bd2e06a5b20fd1b13ca988bedc8763d332d242381b4fbc98f8fead4524158f79,2026-08-27,non-resume reference
