"role_id","masco_code","role_title","rejected_esco_code","rejected_esco_title","chosen_esco_code","chosen_esco_title","reason","rejected_esco_source_url"
"M122301","122301","Research and Development Manager","1223.1","Product Manager","1223.2","Research and Development Manager","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890"
"M122301","122301","Research and Development Manager","1223.2.1","Product Development Manager","1223.2","Research and Development Manager","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/1488589a-7b83-471d-b094-492f5616f4e0"
"M132301","132301","Construction Manager","2161.1.1","Interior Architect","1323.1","Construction Manager","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/efa81635-9125-4276-8902-9deb12170ea7"
"M151117","151117","Network Manager","2522.1.1","ICT Network Administrator","1330.5","ICT Operations Manager","Network Manager directs services and infrastructure. Reject the operational Network Administrator alias as automatic equivalence because management authority differs; retain the broader ICT operations management profile.","http://data.europa.eu/esco/occupation/81480b40-a318-47f3-9b2c-56b69ed67d95"
"M211202","211202","Meteorologist","2112.1.1","Aviation Meteorologist","2112.1","Meteorologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/2960c96e-7228-4327-b0a1-85fc13691844"
"M211202","211202","Meteorologist","3111.8","Meteorology Technician","2112.1","Meteorologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/0d7ae791-653e-4297-9f61-8bad87f61d57"
"M211302","211302","Chemist","2113.1.1","Analytical Chemist","2113.1","Chemist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/574f3232-1d07-4034-8cac-c57ddbfff192"
"M211302","211302","Chemist","3141.2.1","Bacteriology Technician","2113.1","Chemist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/f3b99acc-b212-45cf-bb4f-7b83cc6f0d71"
"M211302","211302","Chemist","3141.2.2","Biochemistry Technician","2113.1","Chemist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/95324a4a-a5ea-4d89-8ede-4422ccb46a28"
"M211402","211402","Geologist","2114.1.6","Mine Geologist","2114.1","Geologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/1790c821-c582-4944-8597-d2d4a66f6a6d"
"M211402","211402","Geologist","2133.7","Environmental Scientist","2114.1","Geologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094"
"M211402","211402","Geologist","2143.2","Environmental Expert","2114.1","Geologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/a7358961-46d4-4715-ac1e-6148fd042510"
"M211402","211402","Geologist","3111.14","Soil Surveying Technician","2114.1","Geologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/84cb6e91-ce11-409e-9306-23c9698631af"
"M211402","211402","Geologist","3117.2","Geotechnician","2114.1","Geologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/e9665bdf-2989-4dc5-9aa9-7b791e489779"
"M212101","212101","Statistician Grade E41","3314.2","Statistical Assistant","2120.6","Statistician","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/d2e63d7e-2605-4af1-bb7d-b1ed9ad08825"
