"role_id","masco_code","role_title","previous_esco_code","previous_esco_title","chosen_esco_code","chosen_esco_title","esco_code_changed","previous_mapping_relation","mapping_relation","mapping_method","rationale"
"M112104","112104","Chief Technical Officer","1330.3","Chief Technology Officer","1330.3","Chief Technology Officer","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Technical strategy and technology leadership align with chief technology officer."
"M121104","121104","Budget Manager","1211.1.1","Accounting Manager","1211.1.3","Budget Manager","true","inherited_test_proxy","close_match","2020_title_and_duty_review","Budget Manager has its own exact preferred ESCO occupation. Replace the inherited financial-accounting proxy."
"M121106","121106","Audit and Risk Management Manager","2412.3","Corporate Risk Manager","2412.3","Corporate Risk Manager","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Organisation-wide risk and governance; audit management is only partly represented."
"M121107","121107","Credit Manager","3312.3","Credit Manager","3312.3","Credit Manager","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M121108","121108","Insurance Manager","1346.4","Insurance Agency Manager","1346.4","Insurance Agency Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Insurance operations management; exact organisational scope may differ."
"M121109","121109","Fund Manager","2412.7","Investment Fund Manager","2412.7","Investment Fund Manager","false","inherited_test_proxy","close_match","2020_title_and_duty_review","Fund Manager is an alternate label for investment fund manager; portfolio/fund duties support the same function."
"M121114","121114","Tax Manager","2411.1.12","Tax Advisor","2411.1.12","Tax Advisor","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Tax advisory and compliance proxy; managerial level and transfer-pricing specialty need local enrichment."
"M121115","121115","Claim Manager","1346.5","Insurance Claims Manager","1346.5","Insurance Claims Manager","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Insurance claims management."
"M121123","121123","Actuarial Valuation Manager","2120.1","Actuarial Consultant","2120.1","Actuarial Consultant","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Actuarial valuation work; management responsibility is not fully represented."
"M121205","121205","Occupational Safety and Health Manager","1213.7","Health Safety and Environmental Manager","1213.7","Health Safety and Environmental Manager","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Management of workplace health, safety and environmental programmes."
"M121411","121411","Supply Chain Manager","1324.8","Supply Chain Manager","1324.8","Supply Chain Manager","false","inherited_test_proxy","close_match","2020_title_and_duty_review","The separated 2020 Supply Chain Manager matches the preferred ESCO title; no longer share its profile indiscriminately with logistics management."
"M121416","121416","Technology Manager","1330.5","ICT Operations Manager","1330.5","ICT Operations Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: D11 description concerns IT infrastructure and services, not generic product technology."
"M122301","122301","Research and Development Manager","1223.2","Research and Development Manager","1223.2","Research and Development Manager","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M131102","131102","Forestry Manager","1311.1","Forester","1311.1","Forester","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent."
"M131106","131106","Agricultural Manager","6130.1","Farm Manager","6130.1","Farm Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Agricultural production and farm operations management."
"M131111","131111","Veterinary Manager","1120.1","Animal Facility Manager","1120.1","Animal Facility Manager","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Animal-facility operations and staff management; veterinary clinical oversight requires enrichment. D11 task text appears to describe turf maintenance and is excluded from this decision."
"M131114","131114","Field Manager, Grass","6113.3","Horticulture Production Team Leader","6113.3","Horticulture Production Team Leader","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Turf maintenance and field-team supervision; horticulture proxy does not imply a tree-only occupation."
"M131202","131202","Production and Operation Manager, Fishery","1312.3","Aquaculture Production Manager","1312.3","Aquaculture Production Manager","false","inherited_test_proxy","partial_proxy","2020_title_and_duty_review","Fishery production management retains an aquaculture-production proxy for testing. Capture fisheries and aquaculture are not exact equivalents; production management is closer in level than a fish-processing operator."
"M131203","131203","Aquaculture Production Manager","1312.3","Aquaculture Production Manager","1312.3","Aquaculture Production Manager","false","inherited_test_proxy","close_match","2020_title_and_duty_review","The separated Aquaculture Production Manager is an exact preferred ESCO occupation."
"M132101","132101","Manufacturing Manager","1321.2","Manufacturing Manager","1321.2","Manufacturing Manager","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M132102","132102","Production and Operation Manager, Manufacturing","1321.2.1","Industrial Production Manager","1321.2.1","Industrial Production Manager","false","inherited_test_proxy","close_match","2020_title_and_duty_review","Manufacturing production-and-operation management corresponds to industrial production management in the compared profiles."
"M132104","132104","Electrical Manager","3123.1.11","Electrical Supervisor","3123.1.11","Electrical Supervisor","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Electrical work supervision; ESCO supervisory seniority is below the managerial title."
"M132105","132105","Energy Manager","1349.12","Energy Manager","1349.12","Energy Manager","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M132108","132108","Ship Hull Manager","1321.2.1","Industrial Production Manager","1321.2.1","Industrial Production Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Shipyard hull production leadership; shipbuilding specialty is missing, not an onboard engineer."
"M132109","132109","Mechanical Manager","1321.2","Manufacturing Manager","1321.2","Manufacturing Manager","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Mechanical engineering and production management; technical mechanical-engineering content needs enrichment."
"M132110","132110","Welding Manager","7212.4","Welding Coordinator","7212.4","Welding Coordinator","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Coordination of welding quality, procedures and personnel."
"M132111","132111","Oil Mill Manager","1321.2.1.3","Food Production Manager","1321.2.1.3","Food Production Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Food-production management; palm-oil/halal specialty is absent from ESCO."
"M132112","132112","Manager, Halal Food Manufacturing","1321.2.1.3","Food Production Manager","1321.2.1.3","Food Production Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Food-production management; palm-oil/halal specialty is absent from ESCO."
"M132126","132126","Power Generation Plant Manager","1219.5.3","Power Plant Manager","1219.5.3","Power Plant Manager","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Power-plant management."
"M132201","132201","Production and Operation Manager, Mine","1322.1.1","Mine Production Manager","1322.1.1","Mine Production Manager","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Mine production management."
"M132203","132203","Production and Operation Manager, Oil and Gas Extraction","1322.1.2","Oil and Gas Production Manager","1322.1.2","Oil and Gas Production Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Oil/gas production operations; offshore installation duties need enrichment, not renewable-energy management."
"M132207","132207","Offshore Installation Manager","1322.1.2","Oil and Gas Production Manager","1322.1.2","Oil and Gas Production Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Oil/gas production operations; offshore installation duties need enrichment, not renewable-energy management."
"M132210","132210","Manager, Metallurgy","1321.2.1.7","Metallurgical Manager","1321.2.1.7","Metallurgical Manager","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Metallurgical production management."
"M132301","132301","Construction Manager","1323.1","Construction Manager","1323.1","Construction Manager","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M132310","132310","Building and Architecture Manager","1323.1","Construction Manager","1323.1","Construction Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Building and architectural construction management."
"M132311","132311","Land Surveyor Manager","2165.4","Land Surveyor","2165.4","Land Surveyor","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Land surveying function; managerial seniority is not represented."
"M132401","132401","Railway Station Master","1324.7","Railway Station Manager","1324.7","Railway Station Manager","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Railway station management."
"M132402","132402","Transport Manager","1324.3.1.5","Road Transport Division Manager","1324.3.1.5","Road Transport Division Manager","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: D11 tasks concern fleet, driver and road-transport operations."
"M132405","132405","Logistics Manager","1324.8","Supply Chain Manager","1324.3","Logistics and Distribution Manager","true","inherited_test_proxy","close_match","2020_title_and_duty_review","Logistics Manager is an ESCO alternate title and the duties concern storage, distribution and transport. Replace the shared supply-chain-manager assignment for this 2020 split."
