role_id,role_title,skill_name,script_line,matches_in_saved_active_core,skill_ids
M251116,Technical Specialist (.Net),Perform Scientific Research,20,1,4fabca9a-7435-4f33-b1da-3cdb00340fdc
M251116,Technical Specialist (.Net),Engineering Principles,20,1,209a5498-3449-4689-8ed9-bd08cab4fd78
M251116,Technical Specialist (.Net),Engineering Processes,20,1,72a74f69-5cf1-43c5-99b9-62a444578919
M251116,Technical Specialist (.Net),Manage Engineering Project,20,1,6a899482-8bcf-40ca-ae67-579a1cc467ab
M251116,Technical Specialist (.Net),Technical Drawings,20,1,59ea80e1-463a-4dba-82c6-d0b6d577d532
M251116,Technical Specialist (.Net),Use Technical Drawing Software,20,1,541561bc-510c-4a99-881c-2d8bf5a85462
M251201,Software Developer,Perform Scientific Research,21,1,4fabca9a-7435-4f33-b1da-3cdb00340fdc
M251201,Software Developer,Engineering Principles,21,1,209a5498-3449-4689-8ed9-bd08cab4fd78
M251201,Software Developer,Engineering Processes,21,1,72a74f69-5cf1-43c5-99b9-62a444578919
M251201,Software Developer,Manage Engineering Project,21,1,6a899482-8bcf-40ca-ae67-579a1cc467ab
M251201,Software Developer,Technical Drawings,21,1,59ea80e1-463a-4dba-82c6-d0b6d577d532
M251201,Software Developer,Use Technical Drawing Software,21,1,541561bc-510c-4a99-881c-2d8bf5a85462
M251401,Computer Programmer,Perform Scientific Research,22,1,4fabca9a-7435-4f33-b1da-3cdb00340fdc
M251401,Computer Programmer,Engineering Principles,22,1,209a5498-3449-4689-8ed9-bd08cab4fd78
M251401,Computer Programmer,Engineering Processes,22,1,72a74f69-5cf1-43c5-99b9-62a444578919
M251401,Computer Programmer,Manage Engineering Project,22,1,6a899482-8bcf-40ca-ae67-579a1cc467ab
M251401,Computer Programmer,Technical Drawings,22,1,59ea80e1-463a-4dba-82c6-d0b6d577d532
M251401,Computer Programmer,Use Technical Drawing Software,22,1,541561bc-510c-4a99-881c-2d8bf5a85462
M251419,C/C++ Programmer,Perform Scientific Research,23,1,4fabca9a-7435-4f33-b1da-3cdb00340fdc
M251419,C/C++ Programmer,Engineering Principles,23,1,209a5498-3449-4689-8ed9-bd08cab4fd78
M251419,C/C++ Programmer,Engineering Processes,23,1,72a74f69-5cf1-43c5-99b9-62a444578919
M251419,C/C++ Programmer,Manage Engineering Project,23,1,6a899482-8bcf-40ca-ae67-579a1cc467ab
M251419,C/C++ Programmer,Technical Drawings,23,1,59ea80e1-463a-4dba-82c6-d0b6d577d532
M251419,C/C++ Programmer,Use Technical Drawing Software,23,1,541561bc-510c-4a99-881c-2d8bf5a85462
M251916,Information Technology Auditor,Engineering Processes,26,1,72a74f69-5cf1-43c5-99b9-62a444578919
M252401,Data Scientist,Speak Different Languages,28,1,2de4572a-4724-4f76-afc2-72a568a264ac
M254204,Game Producer (Digital),Manage Gambling Finances,30,1,1c50435f-593c-4269-b111-36475599dccf
M254204,Game Producer (Digital),Manage Gaming Facilities,30,1,31910296-7c31-4b87-a00b-594ec072b6e5
M254204,Game Producer (Digital),Manage Gambling Game,30,1,4246db3e-b5e2-43d4-a0cf-f799743e534b
M254204,Game Producer (Digital),Follow Ethical Code of Conduct of Gambling,30,1,45205440-fa65-44e0-a719-e89278dd723a
M254204,Game Producer (Digital),Ensure Gambling Operational Standards,30,1,65227f84-5d33-44a4-ad4b-1e8571b415c0
M254204,Game Producer (Digital),Responsible Gambling,30,1,8f15b22d-930e-4842-80dc-5cab28ac71fc
M254204,Game Producer (Digital),Manage Gaming Cash Desk,30,1,abbf99aa-4969-4865-997e-450c1cf8b6e9
M254204,Game Producer (Digital),Manage Gambling Hospitality,30,1,f7e5e2a0-5039-4bee-b48c-b7a9c7287a43
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Lisp,35,1,0de61385-de6d-4146-ba32-1cc1bc102220
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Visual Basic,35,1,13bdd41a-2a18-441f-96db-41252c519413
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Java (Computer Programming),35,1,19a8293b-8e95-4de3-983f-77484079c389
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Computer Programming,35,1,21d2f96d-35f7-4e3f-9745-c533d2dd6e97
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Prolog (Computer Programming),35,1,2bde42ae-e776-41c1-9ded-b07b30bfe985
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),OpenEdge Advanced Business Language,35,1,300d432b-f457-4cd3-9cb1-1858c7d14954
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),JavaScript,35,1,3cd569a2-4f88-4c1e-9995-8dce8c5e51a7
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Perl,35,1,401eb8d8-6daa-4f8b-90ad-60afc71eb4f8
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Use Automatic Programming,35,1,7d10fcb2-b368-48ab-996b-7c9fafcf68ed
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Smalltalk (Computer Programming),35,1,42ed3bfb-1a01-4c8b-9758-fc6438865734
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),PHP,35,1,4350c38d-0fe9-4ca7-bab9-40ed7f72b04f
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Assembly (Computer Programming),35,1,47b9bbcf-356c-4782-83a4-7f5a1b2b51a3
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),C#,35,1,4c016b68-4116-468c-9dc6-42710c239e4a
